Over,Ball No.,Bowler,Batsman,Outcome,Runs,Length,Line,Shot Type,Position,Hit Type,Variation,Speed,Field Activity
19,6,sam curran,jadeja,2,2,Yorker,,,,,,,Misfield
19,5,sam curran,jadeja,2,2,Yorker,,,Square-leg,Bottom-edge,,,
19,4,sam curran,jadeja,â€¢,0,Full,,,Midwicket,,,,
19,3,sam curran,jadeja,4,4,Full,,,Square-leg,,,,
19,2,sam curran,jadeja,â€¢,0,Length,Outside-off,,Midwicket,,,Slower,
19,2,sam curran,jadeja,â€¢,0,Length,,,Midwicket,,,Slower,
19,2,sam curran,jadeja,1w,1,Full,Outside-off,,Leg-side,,,Slower,
19,2,sam curran,jadeja,1w,1,Full,,,Leg-side,,,,
19,1,sam curran,jadeja,2,2,Full,,,On-side,,,,
18,6,jordan,bhuvneshwar,W,0,Full,Outside-off,Drive,Extra-cover,,,,Catch
18,5,jordan,jadeja,1,1,Full,,,Mid-off,,,,
18,4,jordan,jadeja,4,4,Full,Outside-off,,Mid-off,,,,
18,3,jordan,jadeja,â€¢,0,Full,Leg-stump,,On-side,,,,
18,2,jordan,bhuvneshwar,1,1,Length,Outside-off,Cut,Cover,,,,
18,1,jordan,jadeja,1,1,Length,,,Midwicket,,,Slower,
17,6,gleeson,jadeja,1,1,Full,,,On-side,,,Slower,
17,5,gleeson,jadeja,2,2,Full,,,Midwicket,,,,
17,4,gleeson,jadeja,2,2,Full,Outside-off,Cut,Deep-cover,,,,Throw
17,3,gleeson,bhuvneshwar,1,1,Short,,,Square-leg,,,,
17,2,gleeson,bhuvneshwar,â€¢,0,Length,Outside-off,,Backward-point,,,,
17,1,gleeson,jadeja,1,1,Length,,,Deep-square-leg,,,,
16,6,jordan,harshal,W,0,Short,Outside-off,,Deep-third,,,,Catch
16,5,jordan,harshal,6,6,Short,,Pull,Long-on,,,Slower,
16,4,jordan,harshal,â€¢,0,Full,,Drive,Mid-on,,,,
16,3,jordan,harshal,2,2,Good,Outside-off,,Deep-third,,,Pace,
