Over,Ball No.,Bowler,Batsman,Outcome,Runs,Length,Line,Shot Type,Position,Hit Type,Variation,Speed,Field Activity
19,6,cummins,kohli,6,6,Full,Outside-off,,Long-off,,,Slower,
19,5,cummins,karthik,1lb,0,Length,,,Leg-side,,,,
19,4,cummins,karthik,4,4,Short,Outside-off,,Short-third-man,,,Slower,
19,3,cummins,karthik,4,4,Good,,Pull,Short-fine-leg,,,,
19,2,cummins,kohli,1,1,,,Hook,Mid-on,,,Slower,
19,1,cummins,dhoni,W,0,Short,,,Long-on,,,,Catch
19,1,cummins,dhoni,W,0,Short,,,Long-on,,,,Catch
19,1,cummins,dhoni,W,0,Short,,,Long-on,,,,Catch
19,1,cummins,dhoni,1w,1,Short,Outside-off,Cut,Long-off,,,Slower,Catch
19,1,cummins,dhoni,1w,1,Short,Outside-off,Cut,,,,Slower,
19,1,cummins,dhoni,1w,1,Short,Outside-off,Cut,,,,Slower,
19,1,cummins,dhoni,1w,1,Yorker,,,Long-off,,,,Catch
19,1,cummins,dhoni,1w,1,Yorker,,,,,,,
19,1,cummins,dhoni,1w,1,Yorker,,,,,,,
18,6,jhye richardson,kohli,4,4,Full,Outside-off,,,,,,
18,5,jhye richardson,kohli,2,2,,,Drive,Backward-point,,,,
18,4,jhye richardson,dhoni,1,1,Good,,,Long-on,,,Slower,
18,3,jhye richardson,kohli,1,1,,Outside-off,,Long-off,,,,
18,2,jhye richardson,kohli,6,6,Yorker,Outside-off,,Long-off,,,,
18,2,jhye richardson,kohli,6,6,Yorker,,,Long-off,,,,
18,2,jhye richardson,kohli,1w,1,Yorker,Outside-off,,,,,,
18,2,jhye richardson,kohli,1w,1,Yorker,,,,,,,
18,1,jhye richardson,kohli,â€¢,0,Full,Outside-off,,Cover,,,Slower,
17,6,djm short,dhoni,4,4,Short,,,Point,,,,
17,5,djm short,dhoni,6,6,Short,Outside-off,,Midwicket,,,,
17,4,djm short,kohli,1,1,Short,,,Long-off,,,,
17,3,djm short,dhoni,1,1,Short,,Pull,Short-fine-leg,,,,
17,2,djm short,dhoni,6,6,Short,,,Long-on,,,Spin,
17,1,djm short,kohli,1,1,Short,Leg-stump,,Midwicket,,,Slow,
16,6,zampa,dhoni,â€¢,0,Length,,Cut,Backward-point,,,,
