Over,Ball No.,Bowler,Batsman,Outcome,Runs,Length,Line,Shot Type,Position,Hit Type,Variation,Speed,Field Activity
16,6,stoinis,kuldeep,4,4,Short,,,Off-side,,,,Stop
16,5,stoinis,bhuvneshwar,1,1,Short,Outside-off,,Long-on,,,Slower,
16,5,stoinis,bhuvneshwar,1,1,Short,Outside-off,,Long-on,,,Slower,
16,5,stoinis,bhuvneshwar,1w,1,,,,Midwicket,,,Slower,
16,5,stoinis,bhuvneshwar,1w,1,Short,,,,,,Slower,
16,4,stoinis,karthik,W,0,Short,Outside-off,,Long-off,Top-edge,,Slower,
16,3,stoinis,krunal,W,0,,Outside-off,Sweep,Long-on,,,Slower,Catch
16,2,stoinis,krunal,â€¢,0,Full,Outside-off,,,,,,
16,1,stoinis,krunal,2,2,Short,Outside-off,Pull,Midwicket,,,Slower,Throw
15,6,tye,karthik,4,4,Full,,Sweep,Long-on,,,,Bowled
15,5,tye,karthik,â€¢,0,Short,Outside-off,,,,,,
15,4,tye,krunal,1lb,0,Short,,Hook,Square-leg,,,Pace,
15,3,tye,pant,W,0,Full,,Scoop,Point,,,,Bowled
15,2,tye,karthik,1,1,Length,,,Midwicket,,,,
15,2,tye,karthik,1,1,Length,Outside-off,,Midwicket,,,,
15,2,tye,karthik,1w,1,Length,Outside-off,,Off-side,,,,
15,2,tye,karthik,1w,1,Length,Outside-off,,Off-side,,,,
15,1,tye,karthik,4,4,Full,Outside-off,Cover-drive,Long-off,,,Slower,
14,6,stoinis,karthik,1,1,Length,Outside-off,Square-drive,Cover,,,Slower,
14,5,stoinis,pant,1,1,Short,Outside-off,,Long-off,,,Slower,
14,5,stoinis,pant,1,1,Short,Outside-off,,Long-off,,,Slower,
14,5,stoinis,pant,1nb,0,Full,Outside-off,,Leg-side,,,Slower,
14,5,stoinis,pant,1nb,0,Full,Outside-off,,,,,,
14,4,stoinis,karthik,1,1,Short,Outside-off,Drive,Short-third-man,Outside-edge,,Slower,
14,3,stoinis,karthik,4,4,,,Pull,Long-leg,,,Slower,Dive
14,2,stoinis,pant,1,1,Length,Outside-off,,Long-on,,,Slower,
14,1,stoinis,pant,2,2,Length,Outside-off,,Third-man,,,Slower,Bowled
13,6,tye,karthik,6,6,Full,,,Midwicket,,,,Catch
13,5,tye,karthik,4,4,Full,Outside-off,,Cover,Outside-edge,Off-cutter,,
13,5,tye,karthik,4,4,Full,Outside-off,,Cover,Outside-edge,,,
13,5,tye,karthik,1w,1,Length,Outside-off,,,Outside-edge,Off-cutter,,
13,5,tye,karthik,1w,1,Length,Outside-off,,,,,,
13,4,tye,karthik,2,2,Full,Outside-off,,Extra-cover,,,,
13,3,tye,pant,1,1,Short,Middle-stump,Pull,Midwicket,,,,
13,3,tye,pant,1,1,Short,Middle-stump,Pull,Midwicket,,,,
13,3,tye,pant,1w,1,Short,,Pull,Midwicket,,,,
13,3,tye,pant,1w,1,Short,,Pull,,,,,
13,2,tye,pant,4,4,Full,Leg-stump,,Long-on,,,,
13,1,tye,pant,6,6,Length,,,Fine-leg,,,,
12,6,zampa,pant,1,1,,,,Extra-cover,,Googly,,
12,5,zampa,karthik,1,1,Full,Outside-off,,Midwicket,,,,
12,4,zampa,pant,1,1,Full,Outside-off,,Long-off,,Googly,,Bowled
12,3,zampa,pant,2,2,Length,Middle-stump,,Long-on,,,,
12,2,zampa,pant,â€¢,0,Length,Leg-stump,Pull,,,Googly,,
12,1,zampa,pant,â€¢,0,Yorker,,,,,,,
11,6,stanlake,karthik,2,2,Short,Outside-off,,Third-man,,,,
11,5,stanlake,pant,1lb,0,Length,Leg-stump,,Leg-side,,,Slower,
11,5,stanlake,pant,1lb,0,Length,Leg-stump,,Leg-side,,,Slower,
11,5,stanlake,pant,1nb,0,Short,Leg-stump,,Leg-side,,,,
