Over,Ball No.,Bowler,Batsman,Outcome,Runs,Length,Line,Shot Type,Position,Hit Type,Variation,Speed,Field Activity
19,6,jordan,axar patel,1,1,Full,,Drive,Mid-off,,,,
19,5,jordan,axar patel,4,4,Short,,Pull,Short-third-man,Thick-edge,,Pace,
19,4,jordan,axar patel,2,2,Short,,,Leg-side,,,,
19,3,jordan,shreyas iyer,W,0,Short,,Pull,Leg-side,,,Pace,Catch
19,2,jordan,sundar,1,1,Full,Leg-stump,,Long-on,,,,
19,2,jordan,sundar,1,1,Full,Leg-stump,Pull,Long-on,,,Slower,
19,2,jordan,sundar,1w,1,Good,,,Long-on,,,Slower,
19,2,jordan,sundar,1w,1,Short,,Pull,,,,Slower,
19,1,jordan,shreyas iyer,1,1,Good,,Pull,Midwicket,,,,
18,6,sam curran,shreyas iyer,1,1,Short,,,Midwicket,,,,
18,5,sam curran,sundar,1,1,Full,,,Long-on,Inside-edge,,,
18,4,sam curran,shreyas iyer,1,1,,Outside-off,,,,,,
18,3,sam curran,shreyas iyer,4,4,Short,Outside-off,,Long-on,,,Pace,
18,2,sam curran,shreyas iyer,2,2,Length,,,Leg-side,,,,
18,1,sam curran,shreyas iyer,â€¢,0,Full,Outside-off,,Mid-off,,,,
17,6,archer,shreyas iyer,1,1,Length,,,Long-on,,,,
17,5,archer,shreyas iyer,â€¢,0,,,,,,,Pace,
17,4,archer,sundar,1,1,Short,Outside-off,,Backward-point,,,,
17,4,archer,sundar,1,1,Short,,,Backward-point,,,,
17,4,archer,sundar,1w,1,Short,Outside-off,,Off-side,,,,
17,4,archer,sundar,1w,1,Short,,,,,,,
17,3,archer,thakur,W,0,Short,,Pull,Deep-square,,,,
17,2,archer,hardik,W,0,Short,,,Mid-off,Mishit,,,Catch
17,1,archer,hardik,â€¢,0,Short,Outside-off,Pull,,Inside-edge,,,
16,6,jordan,shreyas iyer,6,6,Short,,Cut,Third-man,,,,
16,5,jordan,shreyas iyer,â€¢,0,Good,,Cut,,Inside-edge,,,
16,4,jordan,hardik,1,1,Short,,Cut,Deep-point,,,,
16,3,jordan,shreyas iyer,1,1,Good,,,Cover,,,,
16,2,jordan,hardik,1,1,Good,,Drive,Long-on,,,,
16,1,jordan,shreyas iyer,1,1,Length,Outside-off,,Cover,,,,
15,6,archer,hardik,â€¢,0,Short,,,Off-side,,,,
15,5,archer,hardik,â€¢,0,Good,,,,,,,
