Over,Ball No.,Bowler,Batsman,Outcome,Runs,Length,Line,Shot Type,Position,Hit Type,Variation,Speed,Field Activity
18,4,jordan,hardik,6,6,,,Straight-drive,Long-on,,,Slower,
18,3,jordan,hardik,â€¢,0,Length,Outside-off,,Cover,,,Slower,
18,2,jordan,rohit sharma,1,1,,,,Backward-point,,,Slower,
18,1,jordan,rohit sharma,4,4,Full,Outside-off,Drive,Deep-cover,,,,Bowled
17,6,willey,hardik,4,4,Length,Outside-off,,Short-third-man,,,,
17,5,willey,hardik,4,4,Good,Outside-off,,Off-side,,,,
17,4,willey,hardik,6,6,Full,Outside-off,,Long-off,,,,
17,3,willey,rohit sharma,1,1,Full,Outside-off,Drive,Deep-cover,,,,
17,2,willey,rohit sharma,4,4,Full,Outside-off,,Short-fine-leg,,,,
17,1,willey,hardik,1,1,Full,Outside-off,,Deep-cover,,,,
16,6,ball,hardik,1,1,Full,,,Third-man,,,,
16,5,ball,rohit sharma,1,1,Length,Outside-off,,Third-man,,,,
16,4,ball,rohit sharma,4,4,Short,Outside-off,Pull,Leg-side,,,,
16,3,ball,hardik,1,1,Short,,,Point,,,,
16,2,ball,hardik,4,4,Yorker,Outside-off,,Third-man,,,,
16,1,ball,hardik,4,4,Length,,,Mid-off,,,,
15,6,rashid,hardik,1,1,Full,,,Midwicket,,,,
15,5,rashid,rohit sharma,1,1,Short,Outside-off,Cut,Deep-cover,,,,
15,4,rashid,rohit sharma,â€¢,0,Length,,,Short-third-man,,,,
15,3,rashid,hardik,1,1,Full,,,Long-on,,,,Run-out
15,2,rashid,hardik,â€¢,0,Length,Outside-off,,,,,,
15,1,rashid,rohit sharma,1,1,,Outside-off,,Off-side,,,,
14,6,jordan,hardik,â€¢,0,Short,Outside-off,,Backward-point,,,Slower,
14,5,jordan,kohli,W,0,Full,,,,,,,Catch
14,4,jordan,rohit sharma,1,1,Full,,,Midwicket,,,,
14,3,jordan,rohit sharma,â€¢,0,Full,Leg-stump,,Cover,,,,
14,2,jordan,rohit sharma,â€¢,0,Full,Outside-off,,On-side,Inside-edge,,Slower,
14,1,jordan,kohli,1,1,Short,,Pull,Midwicket,,,Slower,
14,1,jordan,kohli,1,1,Short,Outside-off,Pull,Midwicket,,,Slower,
14,1,jordan,kohli,1w,1,Full,Outside-off,,,,,Slower,
14,1,jordan,kohli,1w,1,Full,Outside-off,,,,,,
13,6,plunkett,rohit sharma,4,4,Full,Outside-off,,Cover,,,,
13,5,plunkett,kohli,1,1,Full,Outside-off,,Long-on,,,,
13,4,plunkett,rohit sharma,1,1,Full,Outside-off,,Deep-cover,,,,
13,3,plunkett,kohli,1,1,Short,Outside-off,,Midwicket,,,,
13,2,plunkett,kohli,6,6,Full,Outside-off,Drive,Extra-cover,,,,
13,1,plunkett,kohli,â€¢,0,,,,Cover,,,,
12,6,jordan,rohit sharma,6,6,Full,,,Deep-square-leg,,,Slow,
12,5,jordan,rohit sharma,â€¢,0,Short,,Pull,,,,Slower,
12,4,jordan,kohli,1,1,Full,,,Long-on,,,,
12,3,jordan,rohit sharma,1,1,Length,Outside-off,,Third-man,,,Slower,
12,2,jordan,kohli,1,1,,,,Midwicket,,,Slower,
12,1,jordan,rohit sharma,1,1,Full,Outside-off,,Backward-point,,,,
11,6,rashid,rohit sharma,1,1,Short,,,Deep-cover,,,Slower,
11,5,rashid,kohli,1,1,,Leg-stump,,,,Googly,,
11,4,rashid,kohli,â€¢,0,,,,Midwicket,,,,
11,3,rashid,kohli,6,6,,Outside-off,,Long-on,,,,
11,2,rashid,kohli,â€¢,0,,,,Cover,,,,
11,1,rashid,rohit sharma,1,1,,,,Long-on,,,,Run-out
10,6,plunkett,rohit sharma,1,1,Full,,,Long-on,,,,
10,5,plunkett,rohit sharma,4,4,Good,,,,,,,
10,4,plunkett,rohit sharma,6,6,Short,Outside-off,,Midwicket,,,,
10,3,plunkett,kohli,1,1,Short,,,Deep-square,,,Pace,
10,2,plunkett,kohli,2,2,Short,,Pull,Deep-square,,,,
10,1,plunkett,kohli,2,2,Full,,,Long-leg,Inside-edge,,Slower,
9,6,rashid,rohit sharma,2,2,,,,Point,,,,
9,5,rashid,rohit sharma,â€¢,0,Good,,Sweep,,,Googly,,
9,4,rashid,rohit sharma,â€¢,0,Full,Outside-off,,Backward-point,,,,
9,3,rashid,kohli,1,1,,,,Midwicket,,,,
9,2,rashid,kohli,2,2,Full,,,Long-off,,,,
9,1,rashid,kohli,4,4,Short,,Square-cut,Backward-point,,,,
8,6,stokes,kohli,1,1,Full,,,Midwicket,,,,
8,5,stokes,rohit sharma,1,1,Good,Outside-off,,Off-side,,,,Dive
8,4,stokes,kohli,1,1,Good,,,Fine-leg,,,,
8,3,stokes,rohit sharma,1,1,Full,Outside-off,,Third-man,Outside-edge,,Slower,
8,2,stokes,rohit sharma,4,4,Short,,Pull,Fine-leg,,,Pace,
8,1,stokes,kohli,1,1,Full,Outside-off,,Third-man,,,,
7,6,rashid,kohli,1,1,Length,Outside-off,,Deep-cover,,,,
7,5,rashid,rohit sharma,1,1,,,,Midwicket,,Googly,,
7,4,rashid,rohit sharma,4,4,Short,Outside-off,Cut,Short-third-man,,,,
7,3,rashid,kohli,1,1,Short,,,Cover,,,,
7,2,rashid,rohit sharma,1,1,,Outside-off,,Deep-cover,,,,
7,1,rashid,rohit sharma,2,2,Short,Outside-off,Cut,Deep-cover,,,,Dive
6,6,stokes,kohli,â€¢,0,Good,Middle-stump,,Midwicket,,,,
6,5,stokes,rohit sharma,1,1,Full,Outside-off,,,,,,
6,4,stokes,rohit sharma,â€¢,0,Short,Outside-off,Cut,Backward-point,,,,
6,3,stokes,rohit sharma,â€¢,0,Full,,,,,,,
6,2,stokes,kohli,1,1,,,Cover-drive,Deep-cover,,,,
6,1,stokes,kohli,â€¢,0,Full,Outside-off,Square-drive,Backward-point,,,,Stop
5,6,ball,kohli,1,1,Short,Outside-off,,Third-man,,,,
5,5,ball,kohli,4,4,,Outside-off,,Midwicket,,,,Misfield
5,4,ball,kohli,2,2,Good,Outside-off,,Third-man,,,,
