Over,Ball No.,Bowler,Batsman,Outcome,Runs,Length,Line,Shot Type,Position,Hit Type,Variation,Speed,Field Activity
19,6,jordan,ravi bishnoi,W,0,Yorker,,,,,,,Bowled
19,5,jordan,ravi bishnoi,2,2,Yorker,Outside-off,,Cover,,,,
19,4,jordan,harshal,W,0,Yorker,,Scoop,Short-fine-leg,,,,
19,3,jordan,harshal,â€¢,0,Yorker,,,,,,,
19,2,jordan,harshal,â€¢,0,Full,,,Leg-side,,,,
19,1,jordan,avesh khan,1,1,Yorker,,,Long-on,,,,
18,6,moeen ali,harshal,4,4,Short,,,Square-leg,,,,
18,5,moeen ali,suryakumar,W,0,Length,,,Long-off,Mishit,,,
18,4,moeen ali,suryakumar,â€¢,0,,,Sweep,Leg-side,,,,
18,3,moeen ali,suryakumar,4,4,Short,Outside-off,,Backward-point,,,Spin,
18,3,moeen ali,suryakumar,4,4,,Outside-off,,Backward-point,,,Spin,
18,3,moeen ali,suryakumar,1w,1,Short,Outside-off,,Backward-point,,,,
18,3,moeen ali,suryakumar,1w,1,,Outside-off,,,,,,
18,2,moeen ali,suryakumar,6,6,Length,,,Long-on,,,Spin,
18,1,moeen ali,suryakumar,4,4,Good,,Drive,Third-man,,,Slow,
18,1,moeen ali,suryakumar,4,4,Short,,,Third-man,,,,
18,1,moeen ali,suryakumar,1w,1,Short,,Drive,Backward-point,,,Slow,
18,1,moeen ali,suryakumar,1w,1,Short,,,,,,,
17,6,gleeson,suryakumar,1,1,Yorker,Leg-stump,,On-side,,,,
17,5,gleeson,harshal,1,1,Yorker,,Cut,Long-off,,,,
17,4,gleeson,harshal,â€¢,0,Yorker,,,Cover,,,,
17,3,gleeson,jadeja,W,0,Yorker,,Sweep,Point,,,,
17,2,gleeson,jadeja,6,6,Full,Outside-off,Drive,Long-off,,,,
17,1,gleeson,jadeja,â€¢,0,Yorker,,,,,,,
16,6,willey,jadeja,1,1,Full,,,Leg-side,Inside-edge,,Slower,
16,5,willey,karthik,W,0,,Leg-stump,,Short-fine-leg,,,Spin,
16,4,willey,suryakumar,1,1,Full,,Sweep,Mid-on,,,,
16,3,willey,suryakumar,4,4,Full,,,Third-man,,,,
16,2,willey,karthik,1,1,Short,,Pull,Midwicket,,,,
16,2,willey,karthik,1,1,Yorker,Outside-off,Pull,Midwicket,,,,
16,2,willey,karthik,1w,1,Short,,,Third-man,,,,
16,2,willey,karthik,1w,1,Yorker,Outside-off,,Third-man,,,,
16,1,willey,karthik,4,4,Full,,Drive,Long-off,,,,
15,6,topley,suryakumar,4,4,Short,,,Third-man,,,,
15,5,topley,karthik,1,1,Short,,,Third-man,,,,
