Over,Ball No.,Bowler,Batsman,Outcome,Runs,Length,Line,Shot Type,Position,Hit Type,Variation,Speed,Field Activity
19,6,ball,dhoni,4,4,Length,,,Long-leg,,,,
19,5,ball,dhoni,4,4,Length,Outside-off,,Long-on,,,,
19,4,ball,hardik,1,1,Full,,,Cow-corner,,,,
19,4,ball,hardik,1,1,Full,,,Cow-corner,,,,
19,4,ball,hardik,5n-b,0,Short,,,Fine-leg,,,,
19,4,ball,hardik,5n-b,0,Short,,,Fine-leg,,,,
19,3,ball,dhoni,1,1,Good,Outside-off,,Cow-corner,,,,
19,3,ball,dhoni,1,1,Good,Outside-off,,Cow-corner,,,,
19,3,ball,dhoni,1w,1,Good,,,,,,,
19,3,ball,dhoni,1w,1,Good,,,,,,,
19,2,ball,dhoni,4,4,Length,,,Long-off,,,,
19,1,ball,dhoni,2,2,Length,,Pull,,,,,Stop
18,6,jordan,hardik,2,2,Yorker,,,Long-on,,,,
18,5,jordan,hardik,6,6,Length,Outside-off,,Long-on,,,,
18,4,jordan,hardik,â€¢,0,Yorker,Outside-off,,Point,,,,
18,3,jordan,hardik,â€¢,0,Yorker,,,,,,,Bowled
18,2,jordan,dhoni,1,1,Full,Outside-off,,Mid-off,,,,
18,1,jordan,dhoni,2,2,Full,Outside-off,,Mid-off,,,Slow,
17,6,willey,hardik,â€¢,0,Good,,,,,,,Dive
17,5,willey,hardik,2,2,Good,,,Fine-leg,,,,
17,4,willey,hardik,â€¢,0,Short,,,,,,Pace,
17,3,willey,dhoni,1,1,Good,,Pull,Fine-leg,,,,
17,2,willey,hardik,1,1,Length,,,Square-leg,,,,
17,1,willey,kohli,W,0,Length,,,Fine-leg,,,,Dive
16,6,jordan,dhoni,â€¢,0,Full,Outside-off,,,,,,
16,5,jordan,kohli,1,1,Full,Outside-off,,Cover,,,,
16,4,jordan,kohli,6,6,Full,,,Square-leg,,,,
16,3,jordan,dhoni,1,1,Full,Outside-off,,Cover,,,,
16,2,jordan,kohli,1,1,Full,Outside-off,,Point,,,,
16,1,jordan,dhoni,1,1,Yorker,,Drive,Long-on,,,,
15,6,willey,kohli,2,2,,Middle-stump,,Backward-square-leg,,,,
15,5,willey,dhoni,1lb,0,Length,Middle-stump,,Square-leg,,,,
15,4,willey,kohli,1,1,Good,,,Leg-side,Inside-edge,,,
15,3,willey,kohli,2,2,Good,,,Mid-on,,,,
15,2,willey,kohli,â€¢,0,Good,Leg-stump,,Short-third-man,,,,
15,1,willey,kohli,2,2,Length,,,Square-leg,,,,
14,6,rashid,dhoni,â€¢,0,Full,Outside-off,,,,,,
14,5,rashid,dhoni,4,4,,Middle-stump,,Cow-corner,,,,
14,4,rashid,dhoni,â€¢,0,Length,Outside-off,Pull,Midwicket,,,,
14,3,rashid,dhoni,â€¢,0,Length,,Cut,,Outside-edge,,,
14,2,rashid,dhoni,â€¢,0,Full,Outside-off,,Off-side,,,Slower,Bowled
14,1,rashid,dhoni,â€¢,0,Short,Middle-stump,,,,,,Dive
13,6,plunkett,kohli,â€¢,0,Full,Outside-off,Drive,Cover,,,Slower,
13,5,plunkett,kohli,2,2,Good,,,Leg-side,,,,
13,4,plunkett,dhoni,1,1,Length,,,,,,Slower,
13,3,plunkett,dhoni,â€¢,0,Full,Outside-off,Square-drive,Cover,,,,
13,2,plunkett,dhoni,4,4,Length,,Pull,Long-leg,,,Pace,
13,1,plunkett,dhoni,â€¢,0,Good,Outside-off,,Cover,,,,
12,6,rashid,dhoni,1,1,Length,Outside-off,Cut,Backward-point,,,Spin,Misfield
12,5,rashid,kohli,1,1,Full,Outside-off,,Short-third-man,,,,
12,4,rashid,kohli,â€¢,0,Length,,,,,Googly,,
12,3,rashid,dhoni,1,1,,Middle-stump,,Square-leg,,,,
12,2,rashid,raina,W,0,Length,Middle-stump,,Leg-side,,Wrong'un,,Bowled
12,1,rashid,raina,â€¢,0,,Middle-stump,,Midwicket,,,,
11,6,ball,raina,1,1,Full,Outside-off,Drive,Long-on,,,Slower,
11,5,ball,kohli,1,1,Short,,,Square-leg,,,Slower,
11,5,ball,kohli,1,1,Short,,,Square-leg,,,Slower,
11,5,ball,kohli,1w,1,Short,,,Long-on,,,Slower,
11,5,ball,kohli,1w,1,Short,,,,,,Slower,
11,4,ball,raina,1,1,Full,Middle-stump,,Long-on,,,,
11,3,ball,kohli,1,1,Short,Outside-off,Cut,Third-man,,,,Catch
