Over,Ball No.,Bowler,Batsman,Outcome,Runs,Length,Line,Shot Type,Position,Hit Type,Variation,Speed,Field Activity
19,6,archer,thakur,1,1,Full,,,Cover,,,Slower,
19,5,archer,thakur,4,4,Full,,,Long-on,,,,
19,5,archer,thakur,4,4,Full,,,Long-on,,,Slower,
19,5,archer,thakur,1w,1,,,,Long-on,,,Slower,
19,5,archer,thakur,1w,1,,,,,,,Slower,
19,4,archer,sundar,W,0,Short,,Upper-cut,Third-man,,,Pace,Catch
19,3,archer,sundar,4,4,Full,,,Third-man,,,,
19,2,archer,thakur,1,1,,,,Long-off,,,Slower,Bowled
19,1,archer,shreyas iyer,W,0,,,,Midwicket,,,,
18,6,wood,thakur,4,4,Good,Outside-off,Cut,Third-man,,,Pace,
18,5,wood,hardik,W,0,Length,,,Cover,,,,Catch
18,4,wood,hardik,â€¢,0,Short,,Upper-cut,Cover,,,,
18,3,wood,hardik,â€¢,0,Good,,,,,,,
18,2,wood,hardik,2,2,Good,Outside-off,Pull,Cover,Top-edge,,,
18,1,wood,shreyas iyer,1,1,Full,,Drive,Extra-cover,,,,
17,6,jordan,shreyas iyer,1,1,Full,,,Midwicket,,,,
17,5,jordan,shreyas iyer,6,6,Length,,,Cover,,,Pace,
17,4,jordan,shreyas iyer,4,4,Length,,,,,,,
17,3,jordan,shreyas iyer,â€¢,0,Full,,,,,,,Bowled
17,2,jordan,hardik,1,1,Good,,,Third-man,,,,
17,1,jordan,hardik,6,6,Short,,Pull,Fine-leg,,,,
16,6,archer,hardik,1,1,,,Pull,Leg-side,,,Slow,
16,5,archer,shreyas iyer,1,1,Good,,,Backward-square-leg,,,,
16,4,archer,shreyas iyer,2,2,Good,,,Leg-side,,,Slower,
16,3,archer,hardik,1,1,Full,Outside-off,,Cover,,,Slower,
16,2,archer,pant,W,0,Good,Middle-stump,,On-side,,,Pace,Bowled
16,1,archer,pant,4,4,Full,Outside-off,,Long-off,,,,
15,6,wood,shreyas iyer,4,4,Good,,,Third-man,,,,
15,5,wood,pant,1,1,Short,,,Leg-side,,,,
15,4,wood,shreyas iyer,1,1,Full,,,Long-on,,,,
15,3,wood,shreyas iyer,4,4,Short,,Pull,Long-on,,,,
15,2,wood,shreyas iyer,2,2,Yorker,Outside-off,Drive,Cover,,,,Slide
15,1,wood,shreyas iyer,â€¢,0,Full,,,,,,Pace,
14,6,jordan,shreyas iyer,1,1,Full,,,Midwicket,,,,
14,5,jordan,pant,1,1,Length,,Pull,Long-on,,,,
14,4,jordan,pant,4,4,,,,Leg-side,,,,
14,3,jordan,shreyas iyer,1,1,Good,,,Cover,,,Pace,
14,2,jordan,pant,1,1,Good,,,Off-side,,,Slower,
14,1,jordan,pant,â€¢,0,Good,Outside-off,Drive,Mid-off,,,,
13,6,sam curran,shreyas iyer,4,4,Good,,Cut,Third-man,,,,
13,5,sam curran,pant,1,1,Short,,Pull,Fine-leg,,,,
13,4,sam curran,shreyas iyer,1,1,Good,,,Off-side,,,,
13,3,sam curran,shreyas iyer,4,4,Good,,Cover-drive,Extra-cover,,,,
13,2,sam curran,suryakumar,W,0,,,Sweep,Fine-leg,,,,Catch
13,1,sam curran,suryakumar,6,6,,,,Fine-leg,,,,
12,6,stokes,pant,2,2,,,,Square-leg,,,Slower,Direct-hit
12,5,stokes,pant,â€¢,0,,,,,,,,
12,4,stokes,pant,4,4,Full,Outside-off,,Cover,,,Pace,
12,3,stokes,suryakumar,1,1,Full,,,Midwicket,,,Slower,
12,2,stokes,pant,1,1,Length,,,Mid-on,,,Slower,
12,1,stokes,pant,4,4,Good,Outside-off,Pull,Long-on,,,Slower,
11,6,rashid,suryakumar,4,4,Short,,Cut,Backward-point,,,,
11,5,rashid,pant,1,1,,,,Leg-side,,Googly,,
11,4,rashid,suryakumar,1,1,,Outside-off,,Deep-cover,,,,
11,3,rashid,suryakumar,2,2,Good,,Drive,Long-on,,Googly,,
11,2,rashid,suryakumar,4,4,,Outside-off,Sweep,Square-leg,,Googly,,
11,1,rashid,pant,1,1,Good,Leg-stump,,Deep-square-leg,,Googly,,
10,6,jordan,pant,1,1,,,Cut,Cover,,,,
10,5,jordan,pant,â€¢,0,Length,Outside-off,Drive,,,,,
10,4,jordan,suryakumar,1,1,Short,Outside-off,,Long-on,,,Slower,
10,3,jordan,suryakumar,â€¢,0,Short,,,Mid-off,,,,
10,2,jordan,pant,1,1,Good,,,Off-side,,,,
10,1,jordan,suryakumar,1,1,Yorker,Outside-off,Drive,Mid-on,,,Slow,
9,6,stokes,pant,2,2,Length,,,Deep-square-leg,,,,
9,5,stokes,suryakumar,1,1,Full,,,Long-on,,,Slower,
9,4,stokes,suryakumar,â€¢,0,Short,Outside-off,,Midwicket,,,Slower,
9,3,stokes,pant,1,1,,,,Mid-off,,,,
9,2,stokes,pant,â€¢,0,Full,Outside-off,Cover-drive,Cover,,,,
9,1,stokes,suryakumar,1,1,Good,Outside-off,,Square-leg,,,,
8,6,rashid,pant,â€¢,0,Short,,,Cover,,,,
8,5,rashid,pant,â€¢,0,,Outside-off,,Cover,,,,
8,4,rashid,kohli,W,0,,Leg-stump,,,Inside-edge,Googly,,Stumping
8,3,rashid,kohli,â€¢,0,Short,,Drive,Cover,,,,
8,2,rashid,kohli,2lb,0,,,,Fine-leg,,Googly,,
8,1,rashid,kohli,â€¢,0,,,,Off-side,,,,
7,6,stokes,suryakumar,4,4,Good,Outside-off,,Cover,,,,
7,5,stokes,kohli,1,1,Full,Outside-off,,Long-on,,,,
7,4,stokes,rahul,W,0,,,,Mid-off,,,Slower,
7,3,stokes,rahul,â€¢,0,,,,,,,Slower,
7,2,stokes,suryakumar,1,1,Good,,,Midwicket,,,,Dive
7,1,stokes,suryakumar,2,2,Full,,,Long-on,,,,
7,1,stokes,suryakumar,2,2,,,,Long-on,,,,
7,1,stokes,suryakumar,1w,1,Length,,,Long-on,,,,
7,1,stokes,suryakumar,1w,1,Length,,,Leg-side,,,,
6,6,rashid,suryakumar,1,1,Length,,,Long-off,,,,
6,5,rashid,suryakumar,6,6,,,,Extra-cover,,Googly,,
6,4,rashid,suryakumar,4,4,Full,Outside-off,Sweep,Fine-leg,,,,
6,3,rashid,rahul,1,1,,,,Midwicket,,,,
6,2,rashid,suryakumar,1,1,,,,Long-on,,,,
6,1,rashid,rahul,1,1,Length,Outside-off,Cut,Point,,,,
5,6,jordan,suryakumar,â€¢,0,Full,Outside-off,Cover-drive,Cover,,,,Stop
5,5,jordan,suryakumar,â€¢,0,Length,Outside-off,,,,,,
5,4,jordan,suryakumar,4,4,Full,Outside-off,,Point,,,Pace,
5,3,jordan,rahul,1,1,Length,Outside-off,,Cover,,,,
5,2,jordan,rahul,4,4,Full,Leg-stump,,Backward-square-leg,,,,
5,2,jordan,rahul,4,4,Full,Leg-stump,,Backward-square-leg,,,,Catch
5,2,jordan,rahul,1w,1,Length,,,,,,,
5,2,jordan,rahul,1w,1,Length,,,,,,,Catch
5,1,jordan,suryakumar,1,1,Good,Outside-off,,Point,Inside-edge,,,
4,6,wood,suryakumar,1,1,Short,,Pull-shot,Deep-square-leg,,,,
4,5,wood,suryakumar,â€¢,0,Length,,,Cover,,,,
4,4,wood,suryakumar,â€¢,0,Short,Outside-off,,Slip,,,,
4,4,wood,suryakumar,â€¢,0,Short,Outside-off,,Slip,,,,
