Over,Ball No.,Bowler,Batsman,Outcome,Runs,Length,Line,Shot Type,Position,Hit Type,Variation,Speed,Field Activity
19,6,boult,bhuvneshwar,1,1,Yorker,,,Long-on,,,,
19,5,boult,bumrah,1,1,,,,Fine-leg,Inside-edge,,Slower,
19,4,boult,bumrah,â€¢,0,Full,Outside-off,,Point,,,,
19,3,boult,dhoni,W,0,Short,,Pull-shot,Square-leg,,,,
19,2,boult,dhoni,â€¢,0,Full,Outside-off,,Long-off,,,,
19,1,boult,dhoni,6,6,Length,,,Midwicket,,,,
18,6,milne,dhoni,1,1,Short,Outside-off,,Long-on,,,Slower,
18,5,milne,dhoni,4,4,Full,Middle-stump,,Square-leg,,,,
18,5,milne,dhoni,4,4,Full,Middle-stump,Pull,Square-leg,,,Slower,
18,5,milne,dhoni,1w,1,Full,,,Backward-square-leg,,,Slower,
18,5,milne,dhoni,1w,1,,,Pull,,,,Slower,
18,4,milne,dhoni,2,2,Full,Outside-off,,Midwicket,,,,
18,3,milne,dhoni,2,2,Good,,Pull,Long-off,,,,
18,2,milne,dhoni,2,2,Full,,,Long-on,,,,
18,1,milne,dhoni,4,4,Short,Outside-off,,Extra-cover,,,,
17,6,boult,dhoni,1,1,Full,Outside-off,,Long-off,,,,
17,5,boult,bhuvneshwar,1,1,Length,Outside-off,,Midwicket,,,,
17,4,boult,bhuvneshwar,â€¢,0,Yorker,Outside-off,,,,,,
17,3,boult,axar patel,W,0,Short,,,Extra-cover,,,Pace,
17,2,boult,axar patel,4,4,Yorker,,,Fine-leg,,,,
17,1,boult,dhoni,1,1,Yorker,Outside-off,Drive,Deep-cover,,,,
16,6,santner,dhoni,1,1,,,,Deep-square-leg,,,,
16,5,santner,dhoni,â€¢,0,,,,,,,,
16,4,santner,axar patel,1,1,,,,Square-leg,,,,
16,3,santner,kohli,W,0,,,,Long-on,Thick-edge,,,
16,2,santner,dhoni,1,1,,,,Midwicket,,,,
16,1,santner,dhoni,â€¢,0,,Outside-off,,,,,,
15,6,sodhi,dhoni,1,1,,Leg-stump,,Deep-square-leg,,,,
15,5,sodhi,dhoni,6,6,,Leg-stump,,Long-on,,,,
15,4,sodhi,dhoni,â€¢,0,,,,,,,,
15,3,sodhi,kohli,1,1,,Outside-off,,Cover,,,,
15,2,sodhi,dhoni,1,1,Length,,,Long-on,,,,
15,1,sodhi,kohli,1,1,Good,,,Long-off,,,,
14,6,milne,kohli,1,1,Yorker,Leg-stump,,Third-man,,,,Bowled
14,5,milne,kohli,4,4,Good,Outside-off,Drive,Long-off,,,,Dive
14,4,milne,kohli,â€¢,0,,,,,,,Slower,
14,3,milne,dhoni,1,1,Short,,,Third-man,Outside-edge,,Slower,
14,2,milne,dhoni,â€¢,0,,,,,Inside-edge,,,
14,1,milne,dhoni,â€¢,0,Short,Outside-off,,Mid-off,,,,
13,6,sodhi,dhoni,1,1,,,,Long-on,,,,
13,5,sodhi,dhoni,â€¢,0,,,Drive,Cover,,,,
13,4,sodhi,dhoni,â€¢,0,Short,Leg-stump,,Cover,,,,
13,3,sodhi,dhoni,â€¢,0,Short,,,,,,,Run-out
13,2,sodhi,dhoni,6,6,,Leg-stump,,Long-on,,,,
13,1,sodhi,dhoni,2b,2,Good,,Pull,Short-third-man,,,,Stumping
12,6,munro,dhoni,1,1,Good,,,Backward-point,Outside-edge,,,Dive
12,5,munro,kohli,1,1,Short,,,Midwicket,,,Pace,
12,4,munro,kohli,2,2,Length,,Pull,Midwicket,,,Slower,
12,3,munro,kohli,4,4,Yorker,,,Midwicket,,,,
12,2,munro,dhoni,1,1,Length,Outside-off,,Midwicket,,,,
12,1,munro,kohli,1,1,Good,,,Short-third-man,,,,
11,6,santner,kohli,1,1,Full,,,Cover,,,,
11,5,santner,kohli,4,4,Good,Leg-stump,,,,,,
11,4,santner,dhoni,1,1,,,,Midwicket,,,,
11,3,santner,kohli,1,1,Good,Leg-stump,,Midwicket,,,,
11,2,santner,kohli,â€¢,0,,Leg-stump,,Midwicket,,,,
11,1,santner,dhoni,1,1,,,,Midwicket,,,,
10,6,munro,kohli,4,4,Length,,,Long-on,,,,
10,5,munro,dhoni,1,1,Full,Outside-off,,Cover,,,,
10,4,munro,dhoni,â€¢,0,Good,Leg-stump,,Midwicket,,,,
10,3,munro,kohli,1,1,Good,Outside-off,,Backward-point,,,Pace,Dive
10,2,munro,dhoni,1,1,,,,Long-off,,,,
10,1,munro,kohli,1,1,,,,Midwicket,,,Slower,
9,6,sodhi,kohli,1,1,Short,,,Long-on,,,,
9,5,sodhi,kohli,â€¢,0,,,,Short-third-man,,,,
9,4,sodhi,dhoni,1,1,,Outside-off,,Long-off,,,,
9,3,sodhi,kohli,1,1,,Outside-off,,Long-off,,,,
9,2,sodhi,dhoni,1,1,,,,Long-leg,,,,
9,1,sodhi,hardik,W,0,Length,,Cut,,,Googly,Spin,Catch
8,6,munro,hardik,1,1,Good,,,Long-on,,,,
8,5,munro,kohli,1,1,Full,Outside-off,Drive,Cover,,,,
8,4,munro,shreyas iyer,W,0,Full,,,Midwicket,,,Slower,
8,3,munro,shreyas iyer,â€¢,0,Short,Outside-off,Pull,,,,Pace,
8,2,munro,kohli,1,1,Good,Outside-off,,Deep-cover,,,,
8,1,munro,kohli,2,2,Good,Outside-off,,Extra-cover,,,,
7,6,santner,kohli,1,1,Good,,,Long-on,,,,
7,5,santner,kohli,6,6,,Leg-stump,,Long-on,,,,
7,4,santner,shreyas iyer,1,1,,Outside-off,,Extra-cover,,,,
7,3,santner,kohli,1,1,,,Sweep,,Inside-edge,,,
7,2,santner,kohli,4,4,Length,,Drive,Cover,,,,
7,1,santner,kohli,4,4,Full,,,Point,,,,
6,6,sodhi,kohli,1,1,,Leg-stump,,Midwicket,,,,
6,5,sodhi,shreyas iyer,1lb,0,Length,Leg-stump,,,,,Slower,
6,4,sodhi,shreyas iyer,â€¢,0,,,Cut,Point,,Googly,,
6,3,sodhi,kohli,1,1,,,,Long-on,,,,Misfield
6,2,sodhi,shreyas iyer,1,1,,Leg-stump,Pull,Midwicket,,,Pace,
6,1,sodhi,kohli,1,1,Short,Leg-stump,,Midwicket,,,,
5,6,santner,kohli,1,1,Full,Leg-stump,,Long-off,,,,
5,5,santner,kohli,â€¢,0,,Leg-stump,,Midwicket,,,,
5,4,santner,shreyas iyer,1,1,Full,,,Midwicket,,,,
5,3,santner,shreyas iyer,â€¢,0,,,,Square-leg,,,,
5,2,santner,shreyas iyer,â€¢,0,,Leg-stump,,On-side,,,,
5,1,santner,kohli,1,1,Full,Leg-stump,Drive,Cover,,,,
4,6,milne,shreyas iyer,â€¢,0,Short,Outside-off,,Cover,,,,
4,5,milne,shreyas iyer,â€¢,0,Short,Outside-off,Upper-cut,,,,,
4,4,milne,shreyas iyer,â€¢,0,Length,,,Cover,,,,
4,3,milne,kohli,1,1,Short,Outside-off,,Third-man,,,,
4,2,milne,kohli,â€¢,0,Full,Outside-off,,Cover,,,,
4,1,milne,shreyas iyer,1,1,,Outside-off,,Third-man,,,,
3,6,boult,kohli,4,4,Full,,,Cover,,,,
3,5,boult,shreyas iyer,1,1,Yorker,Outside-off,,Third-man,,,,
3,4,boult,shreyas iyer,4,4,,,,Point,,,,
3,3,boult,kohli,1,1,,,Hook,Square-leg,Top-edge,,,Catch
3,2,boult,kohli,â€¢,0,Good,Outside-off,,Cover,,,,Throw
3,1,boult,kohli,4,4,,,,Mid-on,,,,
2,6,de grandhomme,shreyas iyer,4,4,Short,,,Point,,,,
2,5,de grandhomme,shreyas iyer,â€¢,0,Good,Outside-off,,Cover,,,,
2,4,de grandhomme,kohli,1,1,,Outside-off,,Third-man,,,,
2,3,de grandhomme,kohli,â€¢,0,,,,Midwicket,,,Pace,
2,2,de grandhomme,shreyas iyer,1,1,,,,Cover,,,,
2,1,de grandhomme,shreyas iyer,4,4,Good,Outside-off,,Point,,,,
1,6,boult,rohit sharma,W,0,Good,,,Third-man,,,,
1,5,boult,rohit sharma,â€¢,0,Length,,,,,,,
1,4,boult,shreyas iyer,1,1,Good,Outside-off,,Third-man,,,,
1,3,boult,shreyas iyer,4,4,Full,Outside-off,,Point,,,,
