Over,Ball No.,Bowler,Batsman,Outcome,Runs,Length,Line,Shot Type,Position,Hit Type,Variation,Speed,Field Activity
19,6,southee,jadeja,1b,1,,,,Off-side,,,Slower,
19,5,southee,jadeja,6,6,Short,Outside-off,,Long-off,,,Slower,
19,4,southee,jadeja,2,2,Length,,,Midwicket,,,Pace,
19,3,southee,pandey,1,1,Yorker,Outside-off,,Deep-point,,,,
19,3,southee,pandey,1,1,Yorker,Outside-off,,Deep-point,,,,
19,3,southee,pandey,1w,1,Length,Outside-off,,Cover,,,Slower,
19,3,southee,pandey,1w,1,Length,Outside-off,,,,,Slower,
19,2,southee,pandey,6,6,Length,Outside-off,,Long-on,,,Slower,
19,1,southee,jadeja,1,1,Good,Outside-off,,Backward-point,,,Slower,
18,6,bennett,jadeja,1,1,Short,,,Deep-square-leg,,,,
18,5,bennett,kohli,W,0,,Outside-off,Drive,Extra-cover,,,Slower,Catch
18,4,bennett,kohli,2,2,Length,,,Long-on,,,Slower,
18,3,bennett,kohli,2,2,Length,,,Long-on,,,Slower,
18,2,bennett,pandey,1,1,Good,Outside-off,,Cover,,,,
18,1,bennett,pandey,4,4,Short,Outside-off,,Cover,,Off-cutter,,
17,6,southee,pandey,1,1,Length,Outside-off,,Long-off,,,Slower,
17,6,southee,pandey,1,1,Length,Outside-off,,Long-off,,,Slower,
17,6,southee,pandey,1w,1,,,,Leg-side,,,Slower,
17,6,southee,pandey,1w,1,,Outside-off,,Leg-side,,,Slower,
17,5,southee,kohli,1,1,Good,Leg-stump,,Short-fine-leg,,,,
17,4,southee,kohli,2,2,,,,Deep-square-leg,,,,Stop
17,3,southee,pandey,1,1,Length,Leg-stump,,Long-off,,,Slower,
17,2,southee,kohli,1,1,,,,Off-side,,,,
17,1,southee,kohli,2,2,Good,,,Backward-square-leg,,,,
16,6,santner,shreyas iyer,W,0,,Leg-stump,Drive,Leg-side,,,Pace,Stumping
16,5,santner,kohli,1,1,,Leg-stump,,Square-leg,,,,
16,4,santner,shreyas iyer,1,1,Good,,,Short-third-man,,,,
16,3,santner,shreyas iyer,2,2,,Leg-stump,,Midwicket,Thick-edge,,Slower,
16,2,santner,shreyas iyer,6,6,Full,Leg-stump,,,,,,
16,1,santner,kohli,1,1,Good,,,Long-on,,,,
15,6,sodhi,kohli,1,1,Full,Outside-off,,Long-on,,,,
15,5,sodhi,shreyas iyer,1,1,Short,,Cut,Deep-cover,,,Slower,
15,4,sodhi,kohli,1,1,Short,Outside-off,Pull,Midwicket,,,Slow,
15,3,sodhi,shreyas iyer,1,1,,Outside-off,,Off-side,,,,
15,2,sodhi,shreyas iyer,â€¢,0,Length,Outside-off,Cut,Backward-point,,,,
15,1,sodhi,shreyas iyer,â€¢,0,,Outside-off,Cut,Backward-point,,Slider,,
14,6,santner,kohli,4,4,Full,,,Long-on,,,,
14,5,santner,shreyas iyer,1,1,Length,Outside-off,,Deep-point,,,,
14,4,santner,shreyas iyer,â€¢,0,Length,Middle-stump,,Long-on,,,,
14,3,santner,kohli,1,1,Length,Leg-stump,,Midwicket,,,,
14,2,santner,kohli,6,6,Full,Outside-off,,Extra-cover,,,,
14,1,santner,shreyas iyer,1,1,Length,,,Point,,,,
13,6,sodhi,kohli,2,2,,,Cut,Cover,,,,
13,5,sodhi,kohli,â€¢,0,,,,,,Googly,,
13,4,sodhi,shreyas iyer,1,1,Length,,,Point,,,,
13,3,sodhi,kohli,1,1,,,,Short-fine-leg,,,,
13,2,sodhi,kohli,â€¢,0,,Outside-off,,Extra-cover,,,Slower,
13,1,sodhi,kohli,4,4,,,,Short-fine-leg,,,,
12,6,de grandhomme,kohli,1,1,Full,Outside-off,,Long-on,,,,
12,5,de grandhomme,shreyas iyer,1,1,,Outside-off,Drive,Long-off,,,,
12,4,de grandhomme,kohli,1,1,Length,Outside-off,,Short-third-man,,,,
12,3,de grandhomme,kohli,2,2,Full,,Drive,Cover,,,,Stop
12,2,de grandhomme,shreyas iyer,1,1,Good,,,On-side,,,Slower,
12,1,de grandhomme,kohli,1lb,0,,,,Square-leg,,,Slower,
11,6,sodhi,kohli,1,1,,Outside-off,Drive,Long-off,,,,
11,5,sodhi,kohli,â€¢,0,Short,Outside-off,,Extra-cover,,,,Throw
11,4,sodhi,kohli,â€¢,0,Length,Leg-stump,,Cover,,,,
11,3,sodhi,shreyas iyer,1,1,,,,Cover,,,Slow,
11,2,sodhi,shreyas iyer,â€¢,0,,Outside-off,Cut,Backward-point,,,Slow,Throw
11,1,sodhi,kohli,1,1,,Leg-stump,,Long-on,,,,
10,6,bennett,dube,W,0,Good,,,Third-man,,,,
10,5,bennett,dube,2,2,Short,Leg-stump,Pull,Deep-square-leg,,,Pace,
10,4,bennett,rohit sharma,W,0,Good,,,Mid-off,,,Slower,Catch
10,3,bennett,rohit sharma,â€¢,0,Full,Outside-off,,Extra-cover,,,,
10,2,bennett,dube,1,1,Good,,,Third-man,,,,
10,1,bennett,rohit sharma,1,1,Full,Outside-off,,Mid-off,,,,Stop
9,6,kuggeleijn,dube,â€¢,0,Full,Leg-stump,,Cover,,,,
9,5,kuggeleijn,dube,â€¢,0,Short,,Upper-cut,,,,Pace,
9,4,kuggeleijn,dube,â€¢,0,Short,,Upper-cut,Third-man,,,Slower,
9,3,kuggeleijn,rohit sharma,1,1,,Outside-off,,Square-leg,,,Slower,
9,2,kuggeleijn,dube,1lb,0,Good,Leg-stump,Flick-shot,On-side,,,,
9,1,kuggeleijn,rohit sharma,1,1,Short,,Cut,Third-man,Thick-edge,,,Stop
8,6,de grandhomme,rahul,W,0,Good,Leg-stump,Cut,Point,,,,Catch
8,5,de grandhomme,rohit sharma,1,1,Good,Outside-off,,Point,,,,
8,4,de grandhomme,rohit sharma,4,4,Full,Outside-off,Drive,Short-third-man,Outside-edge,,,
