Over,Ball No.,Bowler,Batsman,Outcome,Runs,Length,Line,Shot Type,Position,Hit Type,Variation,Speed,Field Activity
19,6,shepherd,pant,1,1,Short,,Pull,On-side,Inside-edge,,,
19,5,shepherd,pant,2,2,Yorker,Outside-off,,Long-off,,,,
19,4,shepherd,harshal,1,1,Yorker,Leg-stump,,On-side,,,,
19,3,shepherd,venkatesh iyer,W,0,Yorker,,,,,,,Bowled
19,3,shepherd,venkatesh iyer,W,0,Yorker,Outside-off,,,,,,
19,3,shepherd,venkatesh iyer,1w,1,,,,,,,Slower,Bowled
19,3,shepherd,venkatesh iyer,1w,1,,Outside-off,,,,,Slower,
19,2,shepherd,pant,1,1,Yorker,Outside-off,,Deep-cover,,,,
19,1,shepherd,venkatesh iyer,1,1,Full,,,Long-off,,,,
18,6,holder,venkatesh iyer,1,1,Length,,,On-side,,,,
18,6,holder,venkatesh iyer,1,1,Length,,,,,,,Throw
18,6,holder,venkatesh iyer,1w,1,,,,Leg-side,,,,Throw
18,6,holder,venkatesh iyer,1w,1,,,,Leg-side,,,,Throw
18,5,holder,pant,1b,1,,,,Off-side,,,,
18,4,holder,pant,4,4,Short,,,Leg-side,,,,
18,3,holder,venkatesh iyer,1,1,Length,,,Long-on,,,,
18,2,holder,pant,1,1,Yorker,,,,,,,
18,1,holder,pant,6,6,Full,,,Slip,,,,
17,6,shepherd,venkatesh iyer,â€¢,0,,,,,Inside-edge,,Slower,
17,5,shepherd,venkatesh iyer,4,4,,Outside-off,,Deep-cover,,,,
17,4,shepherd,pant,1,1,Full,,,Extra-cover,,,,
17,4,shepherd,pant,1,1,Full,Outside-off,,Extra-cover,,,Slower,
17,4,shepherd,pant,1w,1,Length,Outside-off,,Cover,,,Slower,
17,4,shepherd,pant,1w,1,,Outside-off,,,,,Slower,
17,3,shepherd,pant,2,2,Full,Outside-off,,Third-man,,,,
17,2,shepherd,venkatesh iyer,3,3,Short,,Cut,Long-off,,,,Dive
17,1,shepherd,pant,1,1,Length,,,Long-on,,,,
16,6,holder,pant,1,1,Full,,,Long-off,,,,
16,6,holder,pant,1,1,Full,,,Long-off,,,,
16,6,holder,venkatesh iyer,2w,2,Length,,,Leg-side,,,,Dive
16,6,holder,venkatesh iyer,2w,2,,,,Leg-side,,,,Dive
16,5,holder,venkatesh iyer,6,6,Short,,,,,,,
16,4,holder,pant,1,1,Full,,,Backward-square-leg,,,,
16,3,holder,venkatesh iyer,1lb,0,Length,,Pull,Off-side,,,Slower,
16,2,holder,venkatesh iyer,â€¢,0,Yorker,,,,,,,
16,1,holder,venkatesh iyer,2,2,Full,,,Long-on,,,Slower,
15,6,cottrell,pant,4,4,,,,Deep-square-leg,,,,
15,5,cottrell,venkatesh iyer,1,1,,,Pull,Deep-square,,,,
15,4,cottrell,venkatesh iyer,4,4,Short,,Pull,Midwicket,,,Slower,Dive
15,3,cottrell,venkatesh iyer,4,4,Short,,,Short-fine-leg,,,,
15,2,cottrell,pant,1,1,Length,,,Long-on,,,,
15,1,cottrell,venkatesh iyer,1,1,Length,,,Midwicket,,,,
14,6,pollard,pant,4,4,Length,,Drive,Point,Thick-edge,,Slower,
14,5,pollard,pant,4,4,Length,,,Long-off,,,,
14,4,pollard,pant,â€¢,0,,,,Fine-leg,,,,
14,3,pollard,venkatesh iyer,1,1,Short,,,Long-on,,,Slower,
14,2,pollard,pant,1,1,Short,,,Deep-square-leg,,,Slower,
14,1,pollard,pant,4,4,Short,,Pull,Short-fine-leg,,,Pace,
13,6,chase,venkatesh iyer,â€¢,0,Length,,,,,,,
13,5,chase,venkatesh iyer,4,4,Length,Outside-off,,Slip,Inside-edge,,,
13,4,chase,kohli,W,0,,Middle-stump,,,,,,Bowled
13,3,chase,kohli,â€¢,0,,Outside-off,Cut,,,,,Bowled
13,3,chase,kohli,â€¢,0,,Outside-off,,,,,,
13,3,chase,kohli,1w,1,,,Cut,Leg-side,,,,Bowled
13,3,chase,kohli,1w,1,,,,Leg-side,,,,
13,2,chase,kohli,6,6,,,,Long-on,,,,
13,1,chase,pant,1,1,Length,,,Leg-side,,,,
12,6,smith,kohli,â€¢,0,Short,,,,,,,
12,5,smith,kohli,â€¢,0,Short,Outside-off,,Point,,,,
12,5,smith,kohli,â€¢,0,,,,Slip,,,,
12,5,smith,kohli,1w,1,Short,Outside-off,,Leg-side,,,,
12,5,smith,kohli,1w,1,,,,Leg-side,,,,
12,4,smith,pant,1,1,Short,Outside-off,,Long-off,,,,
12,3,smith,kohli,1,1,Short,,,Deep-square,,,,
12,3,smith,kohli,1,1,Short,,,Slip,,,,
12,3,smith,kohli,1w,1,,,,Leg-side,,,,
12,3,smith,kohli,1w,1,,,,Leg-side,,,,
12,2,smith,kohli,4,4,,,,Third-man,,,Pace,
12,1,smith,kohli,2,2,Short,,,Leg-side,,,,
11,6,chase,pant,â€¢,0,Good,,,Point,,,,
11,5,chase,kohli,1lb,0,Length,Outside-off,,,,,,
11,4,chase,kohli,â€¢,0,Short,,,,,,,
11,3,chase,pant,1,1,,Outside-off,,Cover,,,,
11,2,chase,kohli,1,1,Full,,,Short-fine-leg,,,,
11,1,chase,kohli,â€¢,0,Yorker,,,Off-side,,,,
10,6,holder,pant,2,2,Short,,,Midwicket,,,,
10,5,holder,pant,4,4,Full,,,Long-on,,,Pace,
10,4,holder,kohli,1,1,,,Pull,Slip,,,Slower,
10,3,holder,pant,1lb,0,,,,Third-man,Outside-edge,,Slower,
10,2,holder,pant,â€¢,0,Short,Outside-off,,Point,,,,
10,1,holder,kohli,1,1,Length,,,Long-on,,,,
9,6,chase,pant,4,4,Short,Outside-off,,Deep-point,,,,
9,5,chase,suryakumar,W,0,Length,,Drive,Long-off,,,Spin,Catch
9,4,chase,kohli,1,1,,,,Short-third-man,,,Pace,
9,3,chase,kohli,â€¢,0,Full,Outside-off,,Extra-cover,,,,
9,2,chase,suryakumar,1,1,,,,Deep-mid-wicket,,,,
9,1,chase,kohli,1,1,Full,,,Long-on,,,,
8,6,hosein,suryakumar,2,2,,Outside-off,,Extra-cover,,,,Dive
8,5,hosein,kohli,1,1,Short,,,Long-on,,,,
8,4,hosein,suryakumar,1,1,,,,Midwicket,,,,
8,3,hosein,suryakumar,â€¢,0,Length,Outside-off,,Point,,,,
8,2,hosein,suryakumar,4,4,Full,,Drive,Point,,,Pace,
8,1,hosein,kohli,1,1,Length,,,Leg-side,,,,
7,6,chase,kohli,1,1,,,,Long-on,,,,
7,5,chase,rohit sharma,W,0,Full,Outside-off,,Extra-cover,,,,Catch
7,4,chase,kohli,1,1,,,,Leg-side,,,,
7,3,chase,kohli,â€¢,0,Short,,,,,,,
7,2,chase,rohit sharma,1,1,Full,,,Deep-mid-wicket,,,Fast,
7,1,chase,kohli,1,1,Short,Outside-off,,Midwicket,,,,
6,6,hosein,rohit sharma,â€¢,0,Short,,Cut,,Inside-edge,,Spin,Catch
6,5,hosein,kohli,1,1,,,,Point,,,,Misfield
6,4,hosein,rohit sharma,1,1,,,,,,,Slow,
6,3,hosein,kohli,1,1,Length,Outside-off,,Off-side,,,,
6,2,hosein,kohli,â€¢,0,Length,Outside-off,Cut,Point,,,,
6,1,hosein,kohli,4,4,Short,Outside-off,,Extra-cover,,,,
5,6,shepherd,rohit sharma,6,6,Full,,,Cover,,,,
5,5,shepherd,kohli,1,1,Full,Outside-off,,Mid-off,,,,
5,4,shepherd,kohli,â€¢,0,Short,Outside-off,,Cover,,,,
5,3,shepherd,kohli,4,4,Short,Outside-off,Drive,Extra-cover,,,,
5,2,shepherd,kohli,4,4,,,,Mid-on,,,,
5,1,shepherd,kohli,â€¢,0,Full,Outside-off,,,Outside-edge,,,
4,6,holder,rohit sharma,â€¢,0,Good,,Drive,Cover,,,,
4,5,holder,rohit sharma,4,4,Short,,Pull,Midwicket,,,,
4,4,holder,kohli,1,1,Length,Outside-off,,Leg-side,Inside-edge,,,
4,3,holder,rohit sharma,1,1,Full,,Drive,Cover,,,,
4,2,holder,kohli,1,1,Length,,,Deep-square-leg,,,,
4,1,holder,kohli,4,4,Short,,,Cover,,,,
3,6,cottrell,rohit sharma,â€¢,0,Short,Outside-off,,Cover,,,,
3,5,cottrell,rohit sharma,4,4,,,Cut,Point,,,Slow,
3,4,cottrell,rohit sharma,â€¢,0,Good,Outside-off,,Mid-off,,,,
3,4,cottrell,rohit sharma,â€¢,0,Short,,,Mid-off,,,,
3,4,cottrell,rohit sharma,1w,1,Good,Outside-off,,Leg-side,,,,
3,4,cottrell,rohit sharma,1w,1,Short,,,Leg-side,,,,
3,3,cottrell,rohit sharma,â€¢,0,Full,Leg-stump,,Short-fine-leg,,,,
3,2,cottrell,rohit sharma,â€¢,0,Short,,,Point,,,,
3,1,cottrell,rohit sharma,â€¢,0,Length,,,Cover,Inside-edge,,,
2,6,hosein,kohli,4,4,Full,Leg-stump,,Long-leg,,,,
2,5,hosein,kohli,â€¢,0,,,,Midwicket,,,,
2,4,hosein,kohli,â€¢,0,,,,,Outside-edge,,Slower,
2,3,hosein,kohli,â€¢,0,,,,Off-side,,,,
2,2,hosein,kohli,4,4,Good,,,Short-leg,,,Pace,
2,1,hosein,kohli,â€¢,0,,,,Mid-on,,Slider,,
1,6,cottrell,rohit sharma,â€¢,0,Length,,,,,,,
1,5,cottrell,ishan,W,0,Length,,Pull,Point,,,,
1,4,cottrell,ishan,â€¢,0,Short,Outside-off,,,Outside-edge,,,Catch
