Over,Ball No.,Bowler,Batsman,Outcome,Runs,Length,Line,Shot Type,Position,Hit Type,Variation,Speed,Field Activity
14,6,jhye richardson,kohli,â€¢,0,Good,Outside-off,Off-drive,,,,Slower,
14,5,jhye richardson,kohli,2,2,Good,,,Third-man,,,,Dive
14,4,jhye richardson,kohli,6,6,Length,,,Long-off,,,,
14,1,jhye richardson,kohli,1,1,Good,,,Third-man,,,Slower,
13,6,cummins,kohli,1,1,Good,,,Deep-point,,,,
13,2,cummins,kohli,1,1,Good,,,Long-leg,,,Pace,
13,1,cummins,kohli,2,2,Length,Outside-off,,Cover,,,,
12,6,djm short,kohli,1,1,Short,,Pull,Deep-square-leg,,,,
12,1,djm short,kohli,1,1,Short,,Pull,Long-on,,,,
11,6,zampa,kohli,1,1,,Outside-off,,Cover,,,,
11,5,zampa,kohli,4,4,Short,,,Backward-point,,,,
11,1,zampa,kohli,1,1,Short,,,Long-on,,,,
10,1,djm short,kohli,1,1,Short,Outside-off,Pull,Midwicket,,,,
9,6,behrendorff,kohli,1,1,Length,,,Point,,,,
9,3,behrendorff,kohli,1,1,,Outside-off,,Third-man,,,,
8,6,zampa,kohli,2,2,Good,,Cut,Midwicket,,Slider,,Throw
8,4,zampa,kohli,1,1,Length,,,Long-on,,,,
8,3,zampa,kohli,â€¢,0,Length,,,Midwicket,,,,
8,2,zampa,kohli,â€¢,0,Length,Outside-off,,Off-side,,,,
7,5,coulter-nile,kohli,1,1,Length,Outside-off,Cut,Off-side,,,,
7,2,coulter-nile,kohli,1,1,Full,Outside-off,,Slip,Outside-edge,,,
14,6,jhye richardson,kohli,â€¢,0,Good,Outside-off,Off-drive,,,,Slower,
14,5,jhye richardson,kohli,2,2,Good,,,Third-man,,,,Dive
14,4,jhye richardson,kohli,6,6,Length,,,Long-off,,,,
14,1,jhye richardson,kohli,1,1,Good,,,Third-man,,,Slower,
13,6,cummins,kohli,1,1,Good,,,Deep-point,,,,
13,2,cummins,kohli,1,1,Good,,,Long-leg,,,Pace,
13,1,cummins,kohli,2,2,Length,Outside-off,,Cover,,,,
12,6,djm short,kohli,1,1,Short,,Pull,Deep-square-leg,,,,
12,1,djm short,kohli,1,1,Short,,Pull,Long-on,,,,
11,6,zampa,kohli,1,1,,Outside-off,,Cover,,,,
11,5,zampa,kohli,4,4,Short,,,Backward-point,,,,
11,1,zampa,kohli,1,1,Short,,,Long-on,,,,
10,1,djm short,kohli,1,1,Short,Outside-off,Pull,Midwicket,,,,
9,6,behrendorff,kohli,1,1,Length,,,Point,,,,
9,3,behrendorff,kohli,1,1,,Outside-off,,Third-man,,,,
8,6,zampa,kohli,2,2,Good,,Cut,Midwicket,,Slider,,Throw
8,4,zampa,kohli,1,1,Length,,,Long-on,,,,
8,3,zampa,kohli,â€¢,0,Length,,,Midwicket,,,,
8,2,zampa,kohli,â€¢,0,Length,Outside-off,,Off-side,,,,
7,5,coulter-nile,kohli,1,1,Length,Outside-off,Cut,Off-side,,,,
7,2,coulter-nile,kohli,1,1,Full,Outside-off,,Slip,Outside-edge,,,
14,6,santner,kohli,4,4,Full,,,Long-on,,,,
14,3,santner,kohli,1,1,Length,Leg-stump,,Midwicket,,,,
14,2,santner,kohli,6,6,Full,Outside-off,,Extra-cover,,,,
13,6,sodhi,kohli,2,2,,,Cut,Cover,,,,
13,5,sodhi,kohli,â€¢,0,,,,,,Googly,,
13,3,sodhi,kohli,1,1,,,,Short-fine-leg,,,,
13,2,sodhi,kohli,â€¢,0,,Outside-off,,Extra-cover,,,Slower,
13,1,sodhi,kohli,4,4,,,,Short-fine-leg,,,,
12,6,de grandhomme,kohli,1,1,Full,Outside-off,,Long-on,,,,
12,4,de grandhomme,kohli,1,1,Length,Outside-off,,Short-third-man,,,,
12,3,de grandhomme,kohli,2,2,Full,,Drive,Cover,,,,Stop
12,1,de grandhomme,kohli,1lb,0,,,,Square-leg,,,Slower,
11,6,sodhi,kohli,1,1,,Outside-off,Drive,Long-off,,,,
11,5,sodhi,kohli,â€¢,0,Short,Outside-off,,Extra-cover,,,,Throw
11,4,sodhi,kohli,â€¢,0,Length,Leg-stump,,Cover,,,,
11,1,sodhi,kohli,1,1,,Leg-stump,,Long-on,,,,
13,4,chase,kohli,W,0,,Middle-stump,,,,,,Bowled
13,3,chase,kohli,â€¢,0,,Outside-off,Cut,,,,,Bowled
13,3,chase,kohli,â€¢,0,,Outside-off,,,,,,
13,3,chase,kohli,1w,1,,,Cut,Leg-side,,,,Bowled
13,3,chase,kohli,1w,1,,,,Leg-side,,,,
13,2,chase,kohli,6,6,,,,Long-on,,,,
12,6,smith,kohli,â€¢,0,Short,,,,,,,
12,5,smith,kohli,â€¢,0,Short,Outside-off,,Point,,,,
12,5,smith,kohli,â€¢,0,,,,Slip,,,,
12,5,smith,kohli,1w,1,Short,Outside-off,,Leg-side,,,,
12,5,smith,kohli,1w,1,,,,Leg-side,,,,
12,3,smith,kohli,1,1,Short,,,Deep-square,,,,
12,3,smith,kohli,1,1,Short,,,Slip,,,,
12,3,smith,kohli,1w,1,,,,Leg-side,,,,
12,2,smith,kohli,4,4,,,,Third-man,,,Pace,
12,1,smith,kohli,2,2,Short,,,Leg-side,,,,
11,5,chase,kohli,1lb,0,Length,Outside-off,,,,,,
11,4,chase,kohli,â€¢,0,Short,,,,,,,
11,2,chase,kohli,1,1,Full,,,Short-fine-leg,,,,
11,1,chase,kohli,â€¢,0,Yorker,,,Off-side,,,,
10,4,holder,kohli,1,1,,,Pull,Slip,,,Slower,
10,1,holder,kohli,1,1,Length,,,Long-on,,,,
