Over,Ball No.,Bowler,Batsman,Outcome,Runs,Length,Line,Shot Type,Position,Hit Type,Variation,Speed,Field Activity
19,6,cummins,kohli,6,6,Full,Outside-off,,Long-off,,,Slower,
19,2,cummins,kohli,1,1,,,Hook,Mid-on,,,Slower,
18,6,jhye richardson,kohli,4,4,Full,Outside-off,,,,,,
18,5,jhye richardson,kohli,2,2,,,Drive,Backward-point,,,,
18,3,jhye richardson,kohli,1,1,,Outside-off,,Long-off,,,,
18,2,jhye richardson,kohli,6,6,Yorker,Outside-off,,Long-off,,,,
18,2,jhye richardson,kohli,6,6,Yorker,,,Long-off,,,,
18,2,jhye richardson,kohli,1w,1,Yorker,Outside-off,,,,,,
18,2,jhye richardson,kohli,1w,1,Yorker,,,,,,,
18,1,jhye richardson,kohli,â€¢,0,Full,Outside-off,,Cover,,,Slower,
17,4,djm short,kohli,1,1,Short,,,Long-off,,,,
17,1,djm short,kohli,1,1,Short,Leg-stump,,Midwicket,,,Slow,
16,5,zampa,kohli,1,1,Good,Leg-stump,,Midwicket,,,,
16,4,zampa,kohli,â€¢,0,Length,Outside-off,,Backward-point,,,,
16,3,zampa,kohli,â€¢,0,Yorker,Leg-stump,,,,,,
16,1,zampa,kohli,1,1,Good,,,Midwicket,,,,
15,6,coulter-nile,kohli,1,1,,,,Midwicket,,,,
15,5,coulter-nile,kohli,6,6,Length,Outside-off,,Square-leg,,,,
15,4,coulter-nile,kohli,6,6,Length,Outside-off,,Extra-cover,,,,
15,3,coulter-nile,kohli,6,6,Length,,,Midwicket,,,Slower,
18,5,bennett,kohli,W,0,,Outside-off,Drive,Extra-cover,,,Slower,Catch
18,4,bennett,kohli,2,2,Length,,,Long-on,,,Slower,
18,3,bennett,kohli,2,2,Length,,,Long-on,,,Slower,
17,5,southee,kohli,1,1,Good,Leg-stump,,Short-fine-leg,,,,
17,4,southee,kohli,2,2,,,,Deep-square-leg,,,,Stop
17,2,southee,kohli,1,1,,,,Off-side,,,,
17,1,southee,kohli,2,2,Good,,,Backward-square-leg,,,,
16,5,santner,kohli,1,1,,Leg-stump,,Square-leg,,,,
16,1,santner,kohli,1,1,Good,,,Long-on,,,,
15,6,sodhi,kohli,1,1,Full,Outside-off,,Long-on,,,,
15,4,sodhi,kohli,1,1,Short,Outside-off,Pull,Midwicket,,,Slow,
18,5,bennett,kohli,W,0,,Outside-off,Drive,Extra-cover,,,Slower,Catch
18,4,bennett,kohli,2,2,Length,,,Long-on,,,Slower,
18,3,bennett,kohli,2,2,Length,,,Long-on,,,Slower,
17,5,southee,kohli,1,1,Good,Leg-stump,,Short-fine-leg,,,,
17,4,southee,kohli,2,2,,,,Deep-square-leg,,,,Stop
17,2,southee,kohli,1,1,,,,Off-side,,,,
17,1,southee,kohli,2,2,Good,,,Backward-square-leg,,,,
16,5,santner,kohli,1,1,,Leg-stump,,Square-leg,,,,
16,1,santner,kohli,1,1,Good,,,Long-on,,,,
15,6,sodhi,kohli,1,1,Full,Outside-off,,Long-on,,,,
15,4,sodhi,kohli,1,1,Short,Outside-off,Pull,Midwicket,,,Slow,
16,3,santner,kohli,W,0,,,,Long-on,Thick-edge,,,
15,3,sodhi,kohli,1,1,,Outside-off,,Cover,,,,
15,1,sodhi,kohli,1,1,Good,,,Long-off,,,,
19,6,archer,kohli,1,1,Short,,Hook,,Top-edge,,Slow,
19,5,archer,kohli,4,4,Good,,,Cover,,,Slower,
19,4,archer,kohli,2,2,Full,Middle-stump,,Long-on,,,,
19,3,archer,kohli,4,4,Good,Outside-off,,Deep-square-leg,,Leg-cutter,,
19,1,archer,kohli,1,1,Full,Middle-stump,,Long-on,,,,
18,6,jordan,kohli,1,1,Yorker,,,Extra-cover,,,,
18,5,jordan,kohli,4,4,Yorker,Outside-off,,Point,,,,
18,4,jordan,kohli,â€¢,0,Good,Outside-off,,,,,,
17,6,wood,kohli,2,2,Yorker,Leg-stump,,Midwicket,,,,
17,5,wood,kohli,4,4,Short,,Pull,Fine-leg,,,Slow,
17,4,wood,kohli,4,4,Short,,,Fine-leg,,,Slower,
17,3,wood,kohli,â€¢,0,Good,Outside-off,Reverse-sweep,,,,Slower,
17,1,wood,kohli,1,1,Short,,,Deep-square-leg,,,Pace,
16,5,jordan,kohli,1,1,Full,Outside-off,,Long-off,,,,
16,1,jordan,kohli,1lb,0,Good,,,Leg-side,,,,
15,3,wood,kohli,1,1,Good,,,Midwicket,,,Slower,
15,2,wood,kohli,2,2,Short,,,Square-leg,,,Slower,
15,1,wood,kohli,2,2,Short,,,Leg-side,,,Slower,
19,6,cummins,kohli,6,6,Full,Outside-off,,Long-off,,,Slower,
19,2,cummins,kohli,1,1,,,Hook,Mid-on,,,Slower,
18,6,jhye richardson,kohli,4,4,Full,Outside-off,,,,,,
18,5,jhye richardson,kohli,2,2,,,Drive,Backward-point,,,,
18,3,jhye richardson,kohli,1,1,,Outside-off,,Long-off,,,,
18,2,jhye richardson,kohli,6,6,Yorker,Outside-off,,Long-off,,,,
18,2,jhye richardson,kohli,6,6,Yorker,,,Long-off,,,,
18,2,jhye richardson,kohli,1w,1,Yorker,Outside-off,,,,,,
18,2,jhye richardson,kohli,1w,1,Yorker,,,,,,,
18,1,jhye richardson,kohli,â€¢,0,Full,Outside-off,,Cover,,,Slower,
17,4,djm short,kohli,1,1,Short,,,Long-off,,,,
17,1,djm short,kohli,1,1,Short,Leg-stump,,Midwicket,,,Slow,
16,5,zampa,kohli,1,1,Good,Leg-stump,,Midwicket,,,,
16,4,zampa,kohli,â€¢,0,Length,Outside-off,,Backward-point,,,,
16,3,zampa,kohli,â€¢,0,Yorker,Leg-stump,,,,,,
16,1,zampa,kohli,1,1,Good,,,Midwicket,,,,
15,6,coulter-nile,kohli,1,1,,,,Midwicket,,,,
15,5,coulter-nile,kohli,6,6,Length,Outside-off,,Square-leg,,,,
15,4,coulter-nile,kohli,6,6,Length,Outside-off,,Extra-cover,,,,
15,3,coulter-nile,kohli,6,6,Length,,,Midwicket,,,Slower,
18,5,bennett,kohli,W,0,,Outside-off,Drive,Extra-cover,,,Slower,Catch
18,4,bennett,kohli,2,2,Length,,,Long-on,,,Slower,
18,3,bennett,kohli,2,2,Length,,,Long-on,,,Slower,
17,5,southee,kohli,1,1,Good,Leg-stump,,Short-fine-leg,,,,
17,4,southee,kohli,2,2,,,,Deep-square-leg,,,,Stop
17,2,southee,kohli,1,1,,,,Off-side,,,,
17,1,southee,kohli,2,2,Good,,,Backward-square-leg,,,,
16,5,santner,kohli,1,1,,Leg-stump,,Square-leg,,,,
16,1,santner,kohli,1,1,Good,,,Long-on,,,,
15,6,sodhi,kohli,1,1,Full,Outside-off,,Long-on,,,,
15,4,sodhi,kohli,1,1,Short,Outside-off,Pull,Midwicket,,,Slow,
16,3,santner,kohli,W,0,,,,Long-on,Thick-edge,,,
15,3,sodhi,kohli,1,1,,Outside-off,,Cover,,,,
15,1,sodhi,kohli,1,1,Good,,,Long-off,,,,
19,6,archer,kohli,1,1,Short,,Hook,,Top-edge,,Slow,
19,5,archer,kohli,4,4,Good,,,Cover,,,Slower,
19,4,archer,kohli,2,2,Full,Middle-stump,,Long-on,,,,
19,3,archer,kohli,4,4,Good,Outside-off,,Deep-square-leg,,Leg-cutter,,
19,1,archer,kohli,1,1,Full,Middle-stump,,Long-on,,,,
18,6,jordan,kohli,1,1,Yorker,,,Extra-cover,,,,
18,5,jordan,kohli,4,4,Yorker,Outside-off,,Point,,,,
18,4,jordan,kohli,â€¢,0,Good,Outside-off,,,,,,
17,6,wood,kohli,2,2,Yorker,Leg-stump,,Midwicket,,,,
17,5,wood,kohli,4,4,Short,,Pull,Fine-leg,,,Slow,
17,4,wood,kohli,4,4,Short,,,Fine-leg,,,Slower,
17,3,wood,kohli,â€¢,0,Good,Outside-off,Reverse-sweep,,,,Slower,
17,1,wood,kohli,1,1,Short,,,Deep-square-leg,,,Pace,
16,5,jordan,kohli,1,1,Full,Outside-off,,Long-off,,,,
16,1,jordan,kohli,1lb,0,Good,,,Leg-side,,,,
15,3,wood,kohli,1,1,Good,,,Midwicket,,,Slower,
15,2,wood,kohli,2,2,Short,,,Square-leg,,,Slower,
15,1,wood,kohli,2,2,Short,,,Leg-side,,,Slower,
16,1,sams,kohli,W,0,Short,Outside-off,,,Outside-edge,,Pace,Bowled
15,6,zampa,kohli,1,1,Short,Outside-off,,Midwicket,,,,
15,5,zampa,kohli,2,2,Full,,,Midwicket,,,,
15,2,zampa,kohli,1,1,Full,,,Midwicket,,,,
17,5,jordan,kohli,6,6,Short,,,Fine-leg,,,,
17,4,jordan,kohli,4,4,Full,,,Square-leg,,,,
17,1,jordan,kohli,1,1,Full,,,Fine-leg,,,,
16,6,archer,kohli,1,1,Full,Outside-off,,Mid-off,,,,
16,5,archer,kohli,â€¢,0,,,Pull,,Top-edge,,,
16,4,archer,kohli,4,4,Full,Outside-off,,Mid-off,,,,
16,3,archer,kohli,â€¢,0,Length,Outside-off,,Midwicket,,,,Stop
16,1,archer,kohli,1,1,Length,,,Midwicket,,,,
15,6,rashid,kohli,1,1,,,,Long-off,,,,Stop
15,4,rashid,kohli,1,1,Short,Outside-off,Cut,Deep-point,,,,
15,3,rashid,kohli,â€¢,0,Short,,,Cover,,,,Stop
15,2,rashid,kohli,â€¢,0,,Outside-off,Drive,,Outside-edge,,,Stumping
19,5,jordan,kohli,1,1,Full,,,Short-fine-leg,,,,
19,4,jordan,kohli,2,2,Yorker,,,Point,,,,
19,3,jordan,kohli,4,4,Length,Outside-off,,Extra-cover,,,,
18,6,archer,kohli,4,4,Short,Outside-off,,Short-third-man,,,,
18,5,archer,kohli,â€¢,0,Full,,Scoop,Third-man,,,,
17,6,wood,kohli,â€¢,0,Short,Outside-off,Upper-cut,,,,,
17,5,wood,kohli,4,4,Length,Outside-off,,Third-man,,,,
17,4,wood,kohli,6,6,Full,Outside-off,Drive,Mid-off,,,,
17,3,wood,kohli,6,6,Short,Outside-off,,Midwicket,,,,
16,6,jordan,kohli,4,4,Good,Outside-off,,Midwicket,,,Slower,
16,4,jordan,kohli,1,1,Yorker,Outside-off,,Mid-off,,,,
16,4,jordan,kohli,1,1,Short,Outside-off,,Mid-off,,,,
16,4,jordan,kohli,1w,1,Good,,,Off-side,,,,
16,3,jordan,kohli,6,6,Short,,Pull,Deep-square,,,,
16,2,jordan,kohli,â€¢,0,Short,Outside-off,Pull,,,,,
15,4,archer,kohli,1,1,Short,Outside-off,,Midwicket,,Leg-cutter,Slower,
15,3,archer,kohli,6,6,Good,Outside-off,Pull,,Top-edge,,Pace,
15,2,archer,kohli,â€¢,0,Short,Outside-off,,,,,,
15,1,archer,kohli,4,4,Good,Outside-off,,Mid-off,,Leg-cutter,,
15,1,archer,kohli,4,4,Good,Outside-off,,Mid-off,,,Slower,
15,1,archer,kohli,1w,1,Good,,,Leg-side,,Leg-cutter,Slower,
15,1,archer,kohli,1w,1,Good,,,Leg-side,,,Slower,
19,4,tye,kohli,4,4,Short,,,Midwicket,,,Slower,
19,3,tye,kohli,4,4,Length,,,,,,,
19,2,tye,kohli,â€¢,0,Short,Outside-off,,Deep-mid-wicket,,,Slower,
19,1,tye,kohli,â€¢,0,Length,,,Long-off,,,Slower,Catch
19,1,tye,kohli,â€¢,0,,,,,,,Slower,
18,5,starc,kohli,1,1,Short,Outside-off,,Deep-square-leg,,,,
18,2,starc,kohli,1lb,0,Good,Outside-off,,,,,,
18,2,starc,kohli,1lb,0,Good,,,,,,,
18,1,starc,kohli,2,2,Full,,,Midwicket,,,,
17,4,tye,kohli,1,1,Short,,Pull,Square-leg,,,Slower,
17,2,tye,kohli,1,1,Short,Outside-off,,Deep-point,,,Spin,
17,1,tye,kohli,2,2,Short,,,Midwicket,,,,
16,4,maxwell,kohli,1,1,,,,Midwicket,,,,
16,3,maxwell,kohli,6,6,Yorker,,,Midwicket,,,,
16,1,maxwell,kohli,1,1,,Middle-stump,,Midwicket,,,,
15,5,tye,kohli,1,1,Good,Outside-off,,Point,,,,
15,4,tye,kohli,â€¢,0,,Outside-off,,,,,Slower,
