Over,Ball No.,Bowler,Batsman,Outcome,Runs,Length,Line,Shot Type,Position,Hit Type,Variation,Speed,Field Activity
2,4,willey,kohli,W,0,Good,,,Cover,,,Slow,Catch
2,3,willey,kohli,6,6,,Leg-stump,,,,,,
2,2,willey,kohli,4,4,Length,,,Mid-on,,,,
2,1,willey,kohli,â€¢,0,Yorker,,,,,,,
1,3,topley,kohli,1,1,Length,,Glance,Deep-square-leg,,,,
1,2,topley,kohli,â€¢,0,Good,,,Cover,,,,
5,5,shepherd,kohli,1,1,Full,Outside-off,,Mid-off,,,,
5,4,shepherd,kohli,â€¢,0,Short,Outside-off,,Cover,,,,
5,3,shepherd,kohli,4,4,Short,Outside-off,Drive,Extra-cover,,,,
5,2,shepherd,kohli,4,4,,,,Mid-on,,,,
5,1,shepherd,kohli,â€¢,0,Full,Outside-off,,,Outside-edge,,,
4,4,holder,kohli,1,1,Length,Outside-off,,Leg-side,Inside-edge,,,
4,2,holder,kohli,1,1,Length,,,Deep-square-leg,,,,
4,1,holder,kohli,4,4,Short,,,Cover,,,,
2,6,hosein,kohli,4,4,Full,Leg-stump,,Long-leg,,,,
2,5,hosein,kohli,â€¢,0,,,,Midwicket,,,,
2,4,hosein,kohli,â€¢,0,,,,,Outside-edge,,Slower,
2,3,hosein,kohli,â€¢,0,,,,Off-side,,,,
2,2,hosein,kohli,4,4,Good,,,Short-leg,,,Pace,
2,1,hosein,kohli,â€¢,0,,,,Mid-on,,Slider,,
5,6,ball,kohli,1,1,Short,Outside-off,,Third-man,,,,
5,5,ball,kohli,4,4,,Outside-off,,Midwicket,,,,Misfield
5,4,ball,kohli,2,2,Good,Outside-off,,Third-man,,,,
5,6,santner,kohli,1,1,Full,Leg-stump,,Long-off,,,,
5,5,santner,kohli,â€¢,0,,Leg-stump,,Midwicket,,,,
5,1,santner,kohli,1,1,Full,Leg-stump,Drive,Cover,,,,
4,3,milne,kohli,1,1,Short,Outside-off,,Third-man,,,,
4,2,milne,kohli,â€¢,0,Full,Outside-off,,Cover,,,,
3,6,boult,kohli,4,4,Full,,,Cover,,,,
3,3,boult,kohli,1,1,,,Hook,Square-leg,Top-edge,,,Catch
3,2,boult,kohli,â€¢,0,Good,Outside-off,,Cover,,,,Throw
3,1,boult,kohli,4,4,,,,Mid-on,,,,
2,4,de grandhomme,kohli,1,1,,Outside-off,,Third-man,,,,
2,3,de grandhomme,kohli,â€¢,0,,,,Midwicket,,,Pace,
5,3,wood,kohli,1,1,,Outside-off,,,,,,
5,3,wood,kohli,1,1,Good,Outside-off,,Leg-side,,,,
5,3,wood,kohli,1w,1,Short,Outside-off,,Leg-side,,,,
5,3,wood,kohli,1w,1,Short,,,Leg-side,,,,
5,2,wood,kohli,6,6,Short,,,Long-leg,,,,
4,6,archer,kohli,â€¢,0,Short,Outside-off,,Cover,,,,
4,4,archer,kohli,1,1,Good,Outside-off,,Cover,,,,
4,4,archer,kohli,1,1,Good,,Pull,,,,,
4,4,archer,kohli,5w,5,Good,Outside-off,,Cover,,,,
4,4,archer,kohli,5w,5,Short,Outside-off,Pull,,,,,
4,3,archer,kohli,â€¢,0,Length,,,Point,,,Slower,
4,1,archer,kohli,1,1,Short,Outside-off,,Third-man,,,,
3,1,wood,kohli,1,1,Short,Outside-off,,Cover,,,,
2,5,rashid,kohli,1,1,Length,Outside-off,,Long-on,,,,
2,2,rashid,kohli,1,1,Full,Outside-off,,Long-on,,,Slower,
2,1,rashid,kohli,â€¢,0,,Leg-stump,,Midwicket,,,,
1,5,archer,kohli,1,1,Short,Outside-off,Hook,Deep-square-leg,,,,
1,4,archer,kohli,â€¢,0,Good,Outside-off,,Off-side,,,,
1,3,archer,kohli,4,4,Short,Outside-off,Drive,Cover,,,Slower,
0,6,rashid,kohli,â€¢,0,Length,Leg-stump,,,,,,
0,3,rashid,kohli,1lb,0,Short,Leg-stump,,Leg-side,,Googly,,
2,4,willey,kohli,W,0,Good,,,Cover,,,Slow,Catch
2,3,willey,kohli,6,6,,Leg-stump,,,,,,
2,2,willey,kohli,4,4,Length,,,Mid-on,,,,
2,1,willey,kohli,â€¢,0,Yorker,,,,,,,
1,3,topley,kohli,1,1,Length,,Glance,Deep-square-leg,,,,
1,2,topley,kohli,â€¢,0,Good,,,Cover,,,,
5,5,shepherd,kohli,1,1,Full,Outside-off,,Mid-off,,,,
5,4,shepherd,kohli,â€¢,0,Short,Outside-off,,Cover,,,,
5,3,shepherd,kohli,4,4,Short,Outside-off,Drive,Extra-cover,,,,
5,2,shepherd,kohli,4,4,,,,Mid-on,,,,
5,1,shepherd,kohli,â€¢,0,Full,Outside-off,,,Outside-edge,,,
4,4,holder,kohli,1,1,Length,Outside-off,,Leg-side,Inside-edge,,,
4,2,holder,kohli,1,1,Length,,,Deep-square-leg,,,,
4,1,holder,kohli,4,4,Short,,,Cover,,,,
2,6,hosein,kohli,4,4,Full,Leg-stump,,Long-leg,,,,
2,5,hosein,kohli,â€¢,0,,,,Midwicket,,,,
2,4,hosein,kohli,â€¢,0,,,,,Outside-edge,,Slower,
2,3,hosein,kohli,â€¢,0,,,,Off-side,,,,
2,2,hosein,kohli,4,4,Good,,,Short-leg,,,Pace,
2,1,hosein,kohli,â€¢,0,,,,Mid-on,,Slider,,
5,6,ball,kohli,1,1,Short,Outside-off,,Third-man,,,,
5,5,ball,kohli,4,4,,Outside-off,,Midwicket,,,,Misfield
5,4,ball,kohli,2,2,Good,Outside-off,,Third-man,,,,
5,6,santner,kohli,1,1,Full,Leg-stump,,Long-off,,,,
5,5,santner,kohli,â€¢,0,,Leg-stump,,Midwicket,,,,
5,1,santner,kohli,1,1,Full,Leg-stump,Drive,Cover,,,,
4,3,milne,kohli,1,1,Short,Outside-off,,Third-man,,,,
4,2,milne,kohli,â€¢,0,Full,Outside-off,,Cover,,,,
3,6,boult,kohli,4,4,Full,,,Cover,,,,
3,3,boult,kohli,1,1,,,Hook,Square-leg,Top-edge,,,Catch
3,2,boult,kohli,â€¢,0,Good,Outside-off,,Cover,,,,Throw
3,1,boult,kohli,4,4,,,,Mid-on,,,,
2,4,de grandhomme,kohli,1,1,,Outside-off,,Third-man,,,,
2,3,de grandhomme,kohli,â€¢,0,,,,Midwicket,,,Pace,
5,3,wood,kohli,1,1,,Outside-off,,,,,,
5,3,wood,kohli,1,1,Good,Outside-off,,Leg-side,,,,
5,3,wood,kohli,1w,1,Short,Outside-off,,Leg-side,,,,
5,3,wood,kohli,1w,1,Short,,,Leg-side,,,,
5,2,wood,kohli,6,6,Short,,,Long-leg,,,,
4,6,archer,kohli,â€¢,0,Short,Outside-off,,Cover,,,,
4,4,archer,kohli,1,1,Good,Outside-off,,Cover,,,,
4,4,archer,kohli,1,1,Good,,Pull,,,,,
4,4,archer,kohli,5w,5,Good,Outside-off,,Cover,,,,
4,4,archer,kohli,5w,5,Short,Outside-off,Pull,,,,,
4,3,archer,kohli,â€¢,0,Length,,,Point,,,Slower,
4,1,archer,kohli,1,1,Short,Outside-off,,Third-man,,,,
3,1,wood,kohli,1,1,Short,Outside-off,,Cover,,,,
2,5,rashid,kohli,1,1,Length,Outside-off,,Long-on,,,,
2,2,rashid,kohli,1,1,Full,Outside-off,,Long-on,,,Slower,
2,1,rashid,kohli,â€¢,0,,Leg-stump,,Midwicket,,,,
1,5,archer,kohli,1,1,Short,Outside-off,Hook,Deep-square-leg,,,,
1,4,archer,kohli,â€¢,0,Good,Outside-off,,Off-side,,,,
1,3,archer,kohli,4,4,Short,Outside-off,Drive,Cover,,,Slower,
0,6,rashid,kohli,â€¢,0,Length,Leg-stump,,,,,,
0,3,rashid,kohli,1lb,0,Short,Leg-stump,,Leg-side,,Googly,,
5,2,southee,kohli,W,0,Good,Leg-stump,Pull,Fine-leg,Inside-edge,,,Bowled
