Over,Length,Line,Position,Inside Circle,Outside Circle
1,Full,Leg-stump,Cover,"Gully (Distance: 25m, Angle: 320°), Slip (Distance: 15m, Angle: 345°), Fly Slip (Distance: 30m, Angle: 330°), Leg Slip (Distance: 10m, Angle: 20°), Backward Short Leg (Distance: 15m, Angle: 10°), Short Fine Leg (Distance: 25m, Angle: 20°), Leg Gully (Distance: 25m, Angle: 40°)","Cover (Distance: 60m, Angle: 240°), Cover Point (Distance: 55m, Angle: 250°)"
2,Full,Leg-stump,Cover,"Gully (Distance: 25m, Angle: 320°), Slip (Distance: 15m, Angle: 345°), Fly Slip (Distance: 30m, Angle: 330°), Leg Slip (Distance: 10m, Angle: 20°), Backward Short Leg (Distance: 15m, Angle: 10°), Short Fine Leg (Distance: 25m, Angle: 20°), Leg Gully (Distance: 25m, Angle: 40°)","Cover (Distance: 60m, Angle: 240°), Cover Point (Distance: 55m, Angle: 250°)"
3,Full,Leg-stump,Cover,"Gully (Distance: 25m, Angle: 320°), Slip (Distance: 15m, Angle: 345°), Fly Slip (Distance: 30m, Angle: 330°), Leg Slip (Distance: 10m, Angle: 20°), Backward Short Leg (Distance: 15m, Angle: 10°), Short Fine Leg (Distance: 25m, Angle: 20°), Leg Gully (Distance: 25m, Angle: 40°)","Cover (Distance: 60m, Angle: 240°), Cover Point (Distance: 55m, Angle: 250°)"
4,Full,Leg-stump,Cover,"Gully (Distance: 25m, Angle: 320°), Slip (Distance: 15m, Angle: 345°), Fly Slip (Distance: 30m, Angle: 330°), Leg Slip (Distance: 10m, Angle: 20°), Backward Short Leg (Distance: 15m, Angle: 10°), Short Fine Leg (Distance: 25m, Angle: 20°), Leg Gully (Distance: 25m, Angle: 40°)","Cover (Distance: 60m, Angle: 240°), Cover Point (Distance: 55m, Angle: 250°)"
5,Full,Leg-stump,Cover,"Gully (Distance: 25m, Angle: 320°), Slip (Distance: 15m, Angle: 345°), Fly Slip (Distance: 30m, Angle: 330°), Leg Slip (Distance: 10m, Angle: 20°), Backward Short Leg (Distance: 15m, Angle: 10°), Short Fine Leg (Distance: 25m, Angle: 20°), Leg Gully (Distance: 25m, Angle: 40°)","Cover (Distance: 60m, Angle: 240°), Cover Point (Distance: 55m, Angle: 250°)"
6,Full,Leg-stump,Cover,"Gully (Distance: 25m, Angle: 320°), Slip (Distance: 15m, Angle: 345°), Fly Slip (Distance: 30m, Angle: 330°), Leg Slip (Distance: 10m, Angle: 20°), Backward Short Leg (Distance: 15m, Angle: 10°), Short Fine Leg (Distance: 25m, Angle: 20°), Leg Gully (Distance: 25m, Angle: 40°)","Cover (Distance: 60m, Angle: 240°), Cover Point (Distance: 55m, Angle: 250°)"
7,Full,Leg-stump,Cover,"Gully (Distance: 25m, Angle: 320°), Slip (Distance: 15m, Angle: 345°), Fly Slip (Distance: 30m, Angle: 330°), Leg Slip (Distance: 10m, Angle: 20°), Backward Short Leg (Distance: 15m, Angle: 10°), Short Fine Leg (Distance: 25m, Angle: 20°), Leg Gully (Distance: 25m, Angle: 40°)","Cover (Distance: 60m, Angle: 240°), Cover Point (Distance: 55m, Angle: 250°), Deep Cover Point (Distance: 75m, Angle: 250°), Extra Cover (Distance: 65m, Angle: 220°), Point (Distance: 60m, Angle: 270°)"
8,Full,Leg-stump,Cover,"Gully (Distance: 25m, Angle: 320°), Slip (Distance: 15m, Angle: 345°), Fly Slip (Distance: 30m, Angle: 330°), Leg Slip (Distance: 10m, Angle: 20°), Backward Short Leg (Distance: 15m, Angle: 10°), Short Fine Leg (Distance: 25m, Angle: 20°), Leg Gully (Distance: 25m, Angle: 40°)","Cover (Distance: 60m, Angle: 240°), Cover Point (Distance: 55m, Angle: 250°), Deep Cover Point (Distance: 75m, Angle: 250°), Extra Cover (Distance: 65m, Angle: 220°), Point (Distance: 60m, Angle: 270°)"
9,Full,Leg-stump,Cover,"Gully (Distance: 25m, Angle: 320°), Slip (Distance: 15m, Angle: 345°), Fly Slip (Distance: 30m, Angle: 330°), Leg Slip (Distance: 10m, Angle: 20°), Backward Short Leg (Distance: 15m, Angle: 10°), Short Fine Leg (Distance: 25m, Angle: 20°), Leg Gully (Distance: 25m, Angle: 40°)","Cover (Distance: 60m, Angle: 240°), Cover Point (Distance: 55m, Angle: 250°), Deep Cover Point (Distance: 75m, Angle: 250°), Extra Cover (Distance: 65m, Angle: 220°), Point (Distance: 60m, Angle: 270°)"
10,Full,Leg-stump,Cover,"Gully (Distance: 25m, Angle: 320°), Slip (Distance: 15m, Angle: 345°), Fly Slip (Distance: 30m, Angle: 330°), Leg Slip (Distance: 10m, Angle: 20°), Backward Short Leg (Distance: 15m, Angle: 10°), Short Fine Leg (Distance: 25m, Angle: 20°), Leg Gully (Distance: 25m, Angle: 40°)","Cover (Distance: 60m, Angle: 240°), Cover Point (Distance: 55m, Angle: 250°), Deep Cover Point (Distance: 75m, Angle: 250°), Extra Cover (Distance: 65m, Angle: 220°), Point (Distance: 60m, Angle: 270°)"
11,Full,Leg-stump,Cover,"Gully (Distance: 25m, Angle: 320°), Slip (Distance: 15m, Angle: 345°), Fly Slip (Distance: 30m, Angle: 330°), Leg Slip (Distance: 10m, Angle: 20°), Backward Short Leg (Distance: 15m, Angle: 10°), Short Fine Leg (Distance: 25m, Angle: 20°), Leg Gully (Distance: 25m, Angle: 40°)","Cover (Distance: 60m, Angle: 240°), Cover Point (Distance: 55m, Angle: 250°), Deep Cover Point (Distance: 75m, Angle: 250°), Extra Cover (Distance: 65m, Angle: 220°), Point (Distance: 60m, Angle: 270°)"
12,Full,Leg-stump,Cover,"Gully (Distance: 25m, Angle: 320°), Slip (Distance: 15m, Angle: 345°), Fly Slip (Distance: 30m, Angle: 330°), Leg Slip (Distance: 10m, Angle: 20°), Backward Short Leg (Distance: 15m, Angle: 10°), Short Fine Leg (Distance: 25m, Angle: 20°), Leg Gully (Distance: 25m, Angle: 40°)","Cover (Distance: 60m, Angle: 240°), Cover Point (Distance: 55m, Angle: 250°), Deep Cover Point (Distance: 75m, Angle: 250°), Extra Cover (Distance: 65m, Angle: 220°), Point (Distance: 60m, Angle: 270°)"
13,Full,Leg-stump,Cover,"Gully (Distance: 25m, Angle: 320°), Slip (Distance: 15m, Angle: 345°), Fly Slip (Distance: 30m, Angle: 330°), Leg Slip (Distance: 10m, Angle: 20°), Backward Short Leg (Distance: 15m, Angle: 10°), Short Fine Leg (Distance: 25m, Angle: 20°), Leg Gully (Distance: 25m, Angle: 40°)","Cover (Distance: 60m, Angle: 240°), Cover Point (Distance: 55m, Angle: 250°), Deep Cover Point (Distance: 75m, Angle: 250°), Extra Cover (Distance: 65m, Angle: 220°), Point (Distance: 60m, Angle: 270°)"
14,Full,Leg-stump,Cover,"Gully (Distance: 25m, Angle: 320°), Slip (Distance: 15m, Angle: 345°), Fly Slip (Distance: 30m, Angle: 330°), Leg Slip (Distance: 10m, Angle: 20°), Backward Short Leg (Distance: 15m, Angle: 10°), Short Fine Leg (Distance: 25m, Angle: 20°), Leg Gully (Distance: 25m, Angle: 40°)","Cover (Distance: 60m, Angle: 240°), Cover Point (Distance: 55m, Angle: 250°), Deep Cover Point (Distance: 75m, Angle: 250°), Extra Cover (Distance: 65m, Angle: 220°), Point (Distance: 60m, Angle: 270°)"
15,Full,Leg-stump,Cover,"Gully (Distance: 25m, Angle: 320°), Slip (Distance: 15m, Angle: 345°), Fly Slip (Distance: 30m, Angle: 330°), Leg Slip (Distance: 10m, Angle: 20°), Backward Short Leg (Distance: 15m, Angle: 10°), Short Fine Leg (Distance: 25m, Angle: 20°), Leg Gully (Distance: 25m, Angle: 40°)","Cover (Distance: 60m, Angle: 240°), Cover Point (Distance: 55m, Angle: 250°), Deep Cover Point (Distance: 75m, Angle: 250°), Extra Cover (Distance: 65m, Angle: 220°), Point (Distance: 60m, Angle: 270°)"
16,Full,Leg-stump,Cover,"Gully (Distance: 25m, Angle: 320°), Slip (Distance: 15m, Angle: 345°), Fly Slip (Distance: 30m, Angle: 330°), Leg Slip (Distance: 10m, Angle: 20°), Backward Short Leg (Distance: 15m, Angle: 10°), Short Fine Leg (Distance: 25m, Angle: 20°), Leg Gully (Distance: 25m, Angle: 40°)","Cover (Distance: 60m, Angle: 240°), Cover Point (Distance: 55m, Angle: 250°), Deep Cover Point (Distance: 75m, Angle: 250°), Extra Cover (Distance: 65m, Angle: 220°), Point (Distance: 60m, Angle: 270°)"
17,Full,Leg-stump,Cover,"Gully (Distance: 25m, Angle: 320°), Slip (Distance: 15m, Angle: 345°), Fly Slip (Distance: 30m, Angle: 330°), Leg Slip (Distance: 10m, Angle: 20°), Backward Short Leg (Distance: 15m, Angle: 10°), Short Fine Leg (Distance: 25m, Angle: 20°), Leg Gully (Distance: 25m, Angle: 40°)","Cover (Distance: 60m, Angle: 240°), Cover Point (Distance: 55m, Angle: 250°), Deep Cover Point (Distance: 75m, Angle: 250°), Extra Cover (Distance: 65m, Angle: 220°), Point (Distance: 60m, Angle: 270°)"
18,Full,Leg-stump,Cover,"Gully (Distance: 25m, Angle: 320°), Slip (Distance: 15m, Angle: 345°), Fly Slip (Distance: 30m, Angle: 330°), Leg Slip (Distance: 10m, Angle: 20°), Backward Short Leg (Distance: 15m, Angle: 10°), Short Fine Leg (Distance: 25m, Angle: 20°), Leg Gully (Distance: 25m, Angle: 40°)","Cover (Distance: 60m, Angle: 240°), Cover Point (Distance: 55m, Angle: 250°), Deep Cover Point (Distance: 75m, Angle: 250°), Extra Cover (Distance: 65m, Angle: 220°), Point (Distance: 60m, Angle: 270°)"
19,Full,Leg-stump,Cover,"Gully (Distance: 25m, Angle: 320°), Slip (Distance: 15m, Angle: 345°), Fly Slip (Distance: 30m, Angle: 330°), Leg Slip (Distance: 10m, Angle: 20°), Backward Short Leg (Distance: 15m, Angle: 10°), Short Fine Leg (Distance: 25m, Angle: 20°), Leg Gully (Distance: 25m, Angle: 40°)","Cover (Distance: 60m, Angle: 240°), Cover Point (Distance: 55m, Angle: 250°), Deep Cover Point (Distance: 75m, Angle: 250°), Extra Cover (Distance: 65m, Angle: 220°), Point (Distance: 60m, Angle: 270°)"
20,Full,Leg-stump,Cover,"Gully (Distance: 25m, Angle: 320°), Slip (Distance: 15m, Angle: 345°), Fly Slip (Distance: 30m, Angle: 330°), Leg Slip (Distance: 10m, Angle: 20°), Backward Short Leg (Distance: 15m, Angle: 10°), Short Fine Leg (Distance: 25m, Angle: 20°), Leg Gully (Distance: 25m, Angle: 40°)","Cover (Distance: 60m, Angle: 240°), Cover Point (Distance: 55m, Angle: 250°), Deep Cover Point (Distance: 75m, Angle: 250°), Extra Cover (Distance: 65m, Angle: 220°), Point (Distance: 60m, Angle: 270°)"
