Line_Length,Position,Count,Total,Percentage
Leg-stump - Full,Deep-square-leg,6,15,40.0
Leg-stump - Full,Midwicket,6,15,40.0
Leg-stump - Full,Square-leg,3,15,20.0
Leg-stump - Good,Midwicket,3,12,25.0
Leg-stump - Good,Square-leg,6,12,50.0
Leg-stump - Good,Third-man,3,12,25.0
Leg-stump - Length,Backward-square-leg,3,14,21.428571428571427
Leg-stump - Length,Cover,4,14,28.57142857142857
Leg-stump - Length,Fine-leg,3,14,21.428571428571427
Leg-stump - Length,Midwicket,4,14,28.57142857142857
Leg-stump - Short,Long-on,3,9,33.33333333333333
Leg-stump - Short,Midwicket,6,9,66.66666666666666
Leg-stump - Yorker,Third-man,3,3,100.0
Middle-stump - Full,Cover,3,3,100.0
Middle-stump - Good,Long-on,3,6,50.0
Middle-stump - Good,Midwicket,3,6,50.0
Middle-stump - Length,Deep-square,3,9,33.33333333333333
Middle-stump - Length,Long-on,3,9,33.33333333333333
Middle-stump - Length,Midwicket,3,9,33.33333333333333
Middle-stump - Short,Deep-square,6,12,50.0
Middle-stump - Short,Long-leg,3,12,25.0
Middle-stump - Short,Midwicket,3,12,25.0
Outside-off - Full,Backward-point,3,74,4.054054054054054
Outside-off - Full,Cover,15,74,20.27027027027027
Outside-off - Full,Deep-cover,3,74,4.054054054054054
Outside-off - Full,Extra-cover,10,74,13.513513513513514
Outside-off - Full,Fine-leg,3,74,4.054054054054054
Outside-off - Full,Long-off,6,74,8.108108108108109
Outside-off - Full,Long-on,16,74,21.62162162162162
Outside-off - Full,Midwicket,6,74,8.108108108108109
Outside-off - Full,Short-third-man,6,74,8.108108108108109
Outside-off - Full,Slip,3,74,4.054054054054054
Outside-off - Full,Third-man,3,74,4.054054054054054
Outside-off - Good,Backward-point,3,33,9.090909090909092
Outside-off - Good,Cover,3,33,9.090909090909092
Outside-off - Good,Deep-cover,3,33,9.090909090909092
Outside-off - Good,Extra-cover,3,33,9.090909090909092
Outside-off - Good,Long-off,9,33,27.27272727272727
Outside-off - Good,Long-on,3,33,9.090909090909092
Outside-off - Good,Point,3,33,9.090909090909092
Outside-off - Good,Short-third-man,6,33,18.181818181818183
Outside-off - Length,Backward-point,3,73,4.10958904109589
Outside-off - Length,Cover,12,73,16.43835616438356
Outside-off - Length,Deep-cover,3,73,4.10958904109589
Outside-off - Length,Deep-square-leg,3,73,4.10958904109589
Outside-off - Length,Extra-cover,3,73,4.10958904109589
Outside-off - Length,Long-off,6,73,8.21917808219178
Outside-off - Length,Long-on,6,73,8.21917808219178
Outside-off - Length,Mid-off,9,73,12.32876712328767
Outside-off - Length,Midwicket,3,73,4.10958904109589
Outside-off - Length,Off-side,15,73,20.54794520547945
Outside-off - Length,Point,3,73,4.10958904109589
Outside-off - Length,Short-third-man,4,73,5.47945205479452
Outside-off - Length,Third-man,3,73,4.10958904109589
Outside-off - Short,Cover,6,82,7.317073170731707
Outside-off - Short,Extra-cover,7,82,8.536585365853659
Outside-off - Short,Leg-side,3,82,3.6585365853658534
Outside-off - Short,Long-off,3,82,3.6585365853658534
Outside-off - Short,Long-on,3,82,3.6585365853658534
Outside-off - Short,Midwicket,24,82,29.268292682926827
Outside-off - Short,Off-side,3,82,3.6585365853658534
Outside-off - Short,Point,12,82,14.634146341463413
Outside-off - Short,Square-leg,3,82,3.6585365853658534
Outside-off - Short,Third-man,18,82,21.951219512195124
Outside-off - Yorker,Midwicket,3,6,50.0
Outside-off - Yorker,Point,3,6,50.0
