Over,Ball No.,Bowler,Batsman,Outcome,Runs,Length,Line,Shot Type,Position,Hit Type,Variation,Speed,Field Activity
19,4,tye,kohli,4,4,Short,,,Midwicket,,,Slower,
19,3,tye,kohli,4,4,Length,,,,,,,
19,2,tye,kohli,â€¢,0,Short,Outside-off,,Deep-mid-wicket,,,Slower,
19,1,tye,kohli,â€¢,0,Length,,,Long-off,,,Slower,Catch
19,1,tye,kohli,â€¢,0,,,,,,,Slower,
19,1,tye,kohli,â€¢,0,,,,,,,Slower,
18,6,starc,karthik,2,2,Short,Outside-off,Pull,Square-leg,,,,
18,5,starc,kohli,1,1,Short,Outside-off,,Deep-square-leg,,,,
18,4,starc,karthik,1,1,Length,Middle-stump,,Square-leg,,,Slower,
18,3,starc,karthik,4,4,Yorker,Outside-off,,Point,,,,
18,2,starc,kohli,1lb,0,Good,Outside-off,,,,,,
18,2,starc,kohli,1lb,0,Good,,,,,,,
18,1,starc,kohli,2,2,Full,,,Midwicket,,,,
17,6,tye,karthik,â€¢,0,Short,,,Point,,,,Catch
17,5,tye,karthik,6,6,Short,,,Deep-mid-wicket,,,,
17,4,tye,kohli,1,1,Short,,Pull,Square-leg,,,Slower,
17,3,tye,karthik,1,1,Full,,,Mid-off,,,,
17,2,tye,kohli,1,1,Short,Outside-off,,Deep-point,,,Spin,
17,1,tye,kohli,2,2,Short,,,Midwicket,,,,
16,6,maxwell,karthik,2,2,,,Scoop,Point,,,,
16,5,maxwell,karthik,2,2,Good,,,Deep-mid-wicket,,,,Run-out
16,4,maxwell,kohli,1,1,,,,Midwicket,,,,
16,3,maxwell,kohli,6,6,Yorker,,,Midwicket,,,,
16,2,maxwell,karthik,1,1,,,,Backward-square-leg,,,,
16,1,maxwell,kohli,1,1,,Middle-stump,,Midwicket,,,,
15,6,tye,karthik,â€¢,0,Length,,,Point,,,,
15,5,tye,kohli,1,1,Good,Outside-off,,Point,,,,
15,4,tye,kohli,â€¢,0,,Outside-off,,,,,Slower,
15,3,tye,kohli,6,6,,Outside-off,,Deep-mid-wicket,,,Slower,
15,2,tye,kohli,4,4,Length,,Drive,Point,,,Slower,
15,1,tye,kohli,â€¢,0,Good,,,Fine-leg,Inside-edge,,Slower,
15,1,tye,kohli,1w,1,Length,,,Fine-leg,,,Slower,
14,6,zampa,karthik,â€¢,0,Good,,Drive,Cover,,,,
14,5,zampa,kohli,1,1,Short,Outside-off,,Long-on,,,,Dive
14,4,zampa,kohli,â€¢,0,,,,Long-off,,,,
14,3,zampa,karthik,1,1,,,,Midwicket,,,,
14,2,zampa,kohli,1,1,,,,Midwicket,,Googly,,
14,1,zampa,karthik,1,1,Good,,,Midwicket,,,,
13,6,tye,karthik,1,1,,Leg-stump,,Midwicket,,,,
13,5,tye,karthik,â€¢,0,Good,,,Fine-leg,,,,
13,4,tye,karthik,â€¢,0,Good,,,Mid-off,,,,
13,3,tye,karthik,â€¢,0,Good,,,Cover,,,,
13,2,tye,karthik,â€¢,0,Good,,,Cover,,,Pace,
13,1,tye,pant,W,0,Length,Leg-stump,Pull,Fine-leg,,,Pace,
12,6,maxwell,rahul,W,0,Short,,Pull,Long-off,,,,
12,5,maxwell,kohli,1,1,Short,Outside-off,,Midwicket,,,,
12,4,maxwell,kohli,2,2,Length,,,Square-leg,,,,
12,3,maxwell,kohli,2,2,Short,,,Point,,,,
12,2,maxwell,rahul,1,1,Length,,Drive,Long-off,,,,
12,1,maxwell,rahul,â€¢,0,Short,Outside-off,Pull,Cover,,,,
11,6,zampa,rahul,1,1,,,,Cover,,,,
11,5,zampa,kohli,3,3,,,Cut,Short-third-man,,,,Dive
11,4,zampa,kohli,2,2,,,,Midwicket,,Googly,,
11,3,zampa,rahul,1,1,,,,Midwicket,,,,
11,2,zampa,rahul,â€¢,0,Good,,,,,,,
11,1,zampa,rahul,â€¢,0,Short,Leg-stump,Reverse-sweep,,,,,
10,6,maxwell,rahul,1,1,Short,,,On-side,,,,
10,5,maxwell,rahul,â€¢,0,Short,,,Long-on,,,,Catch
10,4,maxwell,rahul,â€¢,0,Short,Leg-stump,,,Outside-edge,,,
10,3,maxwell,rahul,â€¢,0,Length,,Reverse-sweep,,,,,
10,2,maxwell,kohli,1,1,Short,Leg-stump,,Midwicket,,,,
10,1,maxwell,rahul,1,1,Good,,,Midwicket,,,,
9,6,zampa,kohli,4,4,Short,,,Point,,,,
9,5,zampa,rahul,1,1,Length,,,Long-on,,,,
