Over,Ball No.,Bowler,Batsman,Outcome,Runs,Length,Line,Shot Type,Position,Hit Type,Variation,Speed,Field Activity
19,6,jordan,hardik,W,0,Short,Outside-off,Pull,Mid-off,,,Pace,Catch
19,5,jordan,kohli,1,1,Full,,,Short-fine-leg,,,,
19,4,jordan,kohli,2,2,Yorker,,,Point,,,,
19,3,jordan,kohli,4,4,Length,Outside-off,,Extra-cover,,,,
19,2,jordan,hardik,1,1,Good,,,Midwicket,,,,
19,1,jordan,hardik,6,6,Short,,,Point,,,,
18,6,archer,kohli,4,4,Short,Outside-off,,Short-third-man,,,,
18,5,archer,kohli,â€¢,0,Full,,Scoop,Third-man,,,,
18,4,archer,hardik,1b,1,Short,Outside-off,Pull,,Bottom-edge,,Slower,
18,3,archer,hardik,â€¢,0,,Outside-off,Pull,,Top-edge,,Slower,
18,2,archer,hardik,6,6,Short,,,Third-man,Thick-edge,,Pace,
18,1,archer,hardik,â€¢,0,Short,Outside-off,Pull,Leg-side,,,Pace,
17,6,wood,kohli,â€¢,0,Short,Outside-off,Upper-cut,,,,,
17,5,wood,kohli,4,4,Length,Outside-off,,Third-man,,,,
17,4,wood,kohli,6,6,Full,Outside-off,Drive,Mid-off,,,,
17,3,wood,kohli,6,6,Short,Outside-off,,Midwicket,,,,
17,2,wood,hardik,1,1,Short,,,Cover,,,,
17,1,wood,hardik,â€¢,0,Short,Outside-off,,Mid-off,,,Fast,
16,6,jordan,kohli,4,4,Good,Outside-off,,Midwicket,,,Slower,
16,5,jordan,hardik,1,1,Length,Outside-off,Pull,Third-man,Outside-edge,,,
16,4,jordan,kohli,1,1,Yorker,Outside-off,,Mid-off,,,,
16,4,jordan,kohli,1,1,Short,Outside-off,,Mid-off,,,,
16,4,jordan,kohli,1w,1,Good,,,Off-side,,,,
16,4,jordan,kohli,1w,1,Good,,,Off-side,,,,
16,3,jordan,kohli,6,6,Short,,Pull,Deep-square,,,,
16,2,jordan,kohli,â€¢,0,Short,Outside-off,Pull,,,,,
16,1,jordan,hardik,1,1,Length,,Drive,Long-on,,,,
15,6,archer,hardik,1,1,Short,Outside-off,,Third-man,,,,
15,5,archer,hardik,â€¢,0,Short,Outside-off,,,,,,
15,4,archer,kohli,1,1,Short,Outside-off,,Midwicket,,Leg-cutter,Slower,
15,3,archer,kohli,6,6,Good,Outside-off,Pull,,Top-edge,,Pace,
15,2,archer,kohli,â€¢,0,Short,Outside-off,,,,,,
15,1,archer,kohli,4,4,Good,Outside-off,,Mid-off,,Leg-cutter,,
15,1,archer,kohli,4,4,Good,Outside-off,,Mid-off,,,Slower,
15,1,archer,kohli,1w,1,Good,,,Leg-side,,Leg-cutter,Slower,
15,1,archer,kohli,1w,1,Good,,,Leg-side,,,Slower,
14,6,wood,hardik,â€¢,0,Short,Outside-off,,,,,Pace,
14,5,wood,hardik,â€¢,0,Good,Outside-off,,,,,,
14,4,wood,kohli,1,1,Short,Outside-off,,Midwicket,,,,
14,3,wood,shreyas iyer,W,0,Short,,,Deep-point,,,Pace,
14,2,wood,shreyas iyer,2,2,Good,,,Deep-square-leg,,,,
14,1,wood,kohli,1,1,Short,Outside-off,Pull,Midwicket,,,,
13,6,sam curran,kohli,1,1,Short,Outside-off,,Long-off,,,,
13,5,sam curran,shreyas iyer,1,1,,Leg-stump,,Long-on,,,,
13,4,sam curran,kohli,1,1,Short,Leg-stump,,Long-on,,,,
13,3,sam curran,kohli,â€¢,0,Length,,Cut,,,,,
13,2,sam curran,kohli,2,2,,,,Cover,,,,
13,1,sam curran,kohli,4lb,0,,,,Long-stop,,,,Dive
12,6,rashid,shreyas iyer,â€¢,0,Length,,,,Outside-edge,,,
12,5,rashid,kohli,1,1,,,,Long-on,,,,
12,4,rashid,kohli,â€¢,0,Short,Outside-off,Cut,Point,,,,
