Over,Ball No.,Bowler,Batsman,Outcome,Runs,Length,Line,Shot Type,Position,Hit Type,Variation,Speed,Field Activity
19,4,sams,hardik,6,6,Full,Outside-off,,Midwicket,,,,
19,3,sams,hardik,â€¢,0,,,Upper-cut,Leg-side,,,,
19,2,sams,hardik,6,6,Length,,,Long-on,,,Pace,
19,1,sams,hardik,2,2,,,Pull,Deep-square-leg,Inside-edge,,Slower,
18,6,tye,hardik,1,1,Short,Outside-off,Cut,Backward-point,,,,Direct-hit
18,5,tye,hardik,4,4,Good,Outside-off,,Extra-cover,,,,Bowled
18,4,tye,hardik,4,4,Short,Outside-off,,Short-third-man,Outside-edge,,,
18,3,tye,hardik,â€¢,0,Full,Outside-off,,,,,Slower,
18,2,tye,hardik,â€¢,0,Short,Outside-off,Cut,Cover,,,Slower,
18,1,tye,hardik,2,2,Full,,,Long-on,,,Slower,
17,6,zampa,shreyas iyer,4,4,Short,Outside-off,Cut,Cover,,,,
17,5,zampa,shreyas iyer,â€¢,0,Short,,,Backward-point,,,,
17,4,zampa,shreyas iyer,6,6,Full,,,Midwicket,,,,
17,3,zampa,hardik,1,1,,Leg-stump,,Leg-side,Inside-edge,,,Bowled
17,2,zampa,hardik,â€¢,0,Length,Leg-stump,,,Inside-edge,Googly,,
17,1,zampa,shreyas iyer,1,1,Full,Leg-stump,,Long-off,Outside-edge,,,
16,6,sams,hardik,4,4,Yorker,Outside-off,,Short-third-man,,,,
16,5,sams,hardik,2,2,Good,Outside-off,,Extra-cover,,,Slower,
16,4,sams,hardik,â€¢,0,Short,,Cut,Off-side,,,,
16,3,sams,hardik,2,2,Short,Outside-off,Cut,Extra-cover,,,Slower,
16,2,sams,shreyas iyer,1,1,Full,Leg-stump,,Deep-square,,,Slower,
16,1,sams,kohli,W,0,Short,Outside-off,,,Outside-edge,,Pace,Bowled
15,6,zampa,kohli,1,1,Short,Outside-off,,Midwicket,,,,
15,5,zampa,kohli,2,2,Full,,,Midwicket,,,,
15,4,zampa,hardik,1,1,Short,,,Long-on,,,Fast,
15,3,zampa,hardik,2,2,Good,,,Midwicket,,,,
15,2,zampa,kohli,1,1,Full,,,Midwicket,,,,
15,1,zampa,hardik,1,1,Length,Outside-off,Drive,Long-off,,,,
14,6,tye,kohli,2,2,Yorker,Outside-off,Drive,Point,,,,
14,5,tye,kohli,4,4,Short,Outside-off,Drive,Third-man,Outside-edge,,Slower,
14,5,tye,kohli,4,4,Short,Outside-off,Drive,,Outside-edge,,Slower,
14,5,tye,kohli,1w,1,Length,Outside-off,,Third-man,,,Slower,
14,5,tye,kohli,1w,1,Length,Outside-off,,,,,Slower,
14,4,tye,kohli,6,6,Full,Outside-off,Scoop,Fine-leg,,,,
14,3,tye,kohli,â€¢,0,Yorker,,,Point,,,,
14,2,tye,kohli,4,4,Short,Middle-stump,,Long-leg,,,,
14,1,tye,hardik,1,1,Yorker,Outside-off,,Cover,,,,
13,6,swepson,hardik,1,1,Good,Outside-off,,Cover,,,,
13,5,swepson,hardik,2,2,Full,Middle-stump,,Long-on,,,,
13,4,swepson,samson,W,0,Short,Outside-off,,Long-off,,,,Bowled
13,3,swepson,samson,â€¢,0,,,,,,,,
13,2,swepson,kohli,1,1,Full,Middle-stump,,Cover,Inside-edge,,,
13,1,swepson,samson,1,1,Good,Middle-stump,,Midwicket,,,,
12,6,sams,samson,1,1,Full,Outside-off,Drive,Long-off,,,,
12,5,sams,samson,â€¢,0,Full,Outside-off,Drive,Off-side,,,,Bowled
12,4,sams,samson,6,6,Short,,Pull,Deep-square,,,,
12,3,sams,samson,4,4,Short,Outside-off,,Point,,,Slower,
12,2,sams,samson,2,2,Length,Outside-off,Drive,Point,Outside-edge,,Slower,
12,1,sams,samson,â€¢,0,Short,,Pull,Midwicket,,,,
11,6,zampa,kohli,2,2,Short,Middle-stump,,Deep-square,,,,
11,5,zampa,kohli,6,6,Good,,Drive,Extra-cover,,,,
11,4,zampa,samson,1,1,Full,Outside-off,,Long-off,,Googly,,
11,3,zampa,kohli,1,1,Short,Outside-off,,Off-side,,,,
11,2,zampa,s dhawan,W,0,Good,Middle-stump,Sweep,Deep-square,Top-edge,,,
11,1,zampa,kohli,1,1,Good,Middle-stump,Drive,Long-on,Inside-edge,,,
10,6,swepson,s dhawan,2,2,Short,Leg-stump,Pull,Leg-side,,,,
10,5,swepson,kohli,1,1,Short,,,Deep-square,,,,
10,4,swepson,s dhawan,1,1,Full,,,,Inside-edge,,,
10,3,swepson,s dhawan,2,2,Full,Outside-off,,Long-off,,,,Slide
10,2,swepson,s dhawan,â€¢,0,Short,Middle-stump,,Cover,,Googly,,
10,1,swepson,s dhawan,2,2,Full,,Sweep,Deep-square,,,,
9,6,zampa,s dhawan,1,1,Short,,,Midwicket,,,,
9,5,zampa,kohli,1,1,Short,,Cut,Deep-point,,,,Throw
9,4,zampa,s dhawan,1,1,Short,,,Backward-point,,,,
9,3,zampa,kohli,1,1,,,,Long-on,,,,
9,2,zampa,s dhawan,1,1,,,,Deep-square-leg,,,,
9,1,zampa,s dhawan,â€¢,0,Short,Outside-off,Sweep,,,,,
8,6,swepson,s dhawan,3,3,Full,,Glance,,,,Slower,
8,6,swepson,s dhawan,3,3,Full,Outside-off,,,,,,Catch
8,6,swepson,s dhawan,1w,1,Short,,Cut,,,,Slower,Stumping
8,6,swepson,s dhawan,1w,1,Short,Outside-off,Cut,,,,,Stumping
8,5,swepson,kohli,1,1,Full,Outside-off,Drive,Deep-cover,,,,
8,4,swepson,kohli,â€¢,0,,Outside-off,Drive,,Inside-edge,Slider,,
8,3,swepson,s dhawan,1,1,Length,,,Midwicket,,,,
8,2,swepson,s dhawan,2,2,Length,,,Short-leg,,,,
8,1,swepson,s dhawan,â€¢,0,,Outside-off,,Cover,,,,
7,6,henriques,kohli,2,2,,Leg-stump,,Square-leg,,Off-cutter,Slower,
7,5,henriques,kohli,â€¢,0,Yorker,Outside-off,,Midwicket,,,Slower,
7,4,henriques,s dhawan,1,1,Full,Outside-off,Drive,Cover,,,,
7,3,henriques,s dhawan,4,4,,Outside-off,Cut,Point,,,,Stop
7,2,henriques,kohli,1,1,Short,,,Long-leg,,,,
7,1,henriques,s dhawan,1,1,Length,,,,,,,
6,6,swepson,s dhawan,1,1,Length,,Sweep,Midwicket,,,,
6,5,swepson,kohli,1,1,Full,,,Long-off,,,,
6,4,swepson,s dhawan,1,1,,Outside-off,,Deep-square-leg,,Googly,,
6,3,swepson,s dhawan,â€¢,0,,,,,,,,
6,2,swepson,s dhawan,â€¢,0,,,,,,,,
6,1,swepson,kohli,1,1,Full,Outside-off,,Cover,,,,
5,6,tye,s dhawan,â€¢,0,Good,Outside-off,,Backward-point,,,,
5,5,tye,s dhawan,â€¢,0,Good,Middle-stump,,,,,Slower,
5,4,tye,s dhawan,4,4,Full,,Square-drive,Point,,,,
5,3,tye,s dhawan,â€¢,0,Good,Outside-off,Cut,,,,Pace,
5,2,tye,rahul,W,0,Good,Outside-off,,Deep-point,,,Slower,Catch
5,1,tye,rahul,â€¢,0,Good,,,Short-third-man,,,,
4,6,abbott,s dhawan,6,6,Length,,Pull,Midwicket,,,Pace,
4,5,abbott,rahul,1,1,,,Drive,,Inside-edge,,Pace,
4,4,abbott,rahul,â€¢,0,Full,,Drive,Cover,,,,
4,3,abbott,s dhawan,1,1,Good,,,Off-side,,,Pace,
4,2,abbott,rahul,1,1,Length,,,Backward-point,,,,
4,1,abbott,rahul,4,4,,Outside-off,Square-drive,Point,,,Fast,
3,6,maxwell,rahul,1,1,,,,Midwicket,,,,
3,5,maxwell,s dhawan,1,1,Good,,Cut,Backward-point,,,,
