Over,Ball No.,Bowler,Batsman,Outcome,Runs,Length,Line,Shot Type,Position,Hit Type,Variation,Speed,Field Activity
19,6,tye,kuldeep,W,0,,,,Leg-side,Top-edge,,Slower,Bowled
19,5,tye,chahal,3,3,Short,Outside-off,,Point,,,,Throw
19,4,tye,chahal,â€¢,0,Short,,Pull,,,,Slow,
19,3,tye,kuldeep,W,0,Length,,,,,,,Direct-hit
19,2,tye,bumrah,1,1,,,,,Inside-edge,,,
19,1,tye,bumrah,â€¢,0,Short,Outside-off,,Third-man,,,,
18,6,coulter-nile,bumrah,1,1,Short,,,Mid-off,,,,Run-out
18,5,coulter-nile,kuldeep,1,1,Short,,,Third-man,,,,
18,4,coulter-nile,bumrah,1,1,Yorker,Leg-stump,,On-side,,,,
18,3,coulter-nile,bumrah,4,4,Good,,,Leg-side,Outside-edge,,,
18,2,coulter-nile,bumrah,â€¢,0,Full,Outside-off,Drive,,,,,
18,1,coulter-nile,kuldeep,1,1,Length,,,On-side,,,,
18,1,coulter-nile,kuldeep,1,1,Length,,,On-side,,,,
18,1,coulter-nile,kuldeep,1,1,Length,,,On-side,,Off-cutter,,
18,1,coulter-nile,kuldeep,1w,1,Short,,,Leg-side,,,,
18,1,coulter-nile,kuldeep,1w,1,Short,,,Square-leg,,,,
18,1,coulter-nile,kuldeep,1w,1,Short,,,,,Off-cutter,,
18,1,coulter-nile,kuldeep,1w,1,Short,,Glance,Leg-side,,,,
18,1,coulter-nile,kuldeep,1w,1,Short,,Glance,Leg-side,,,,
18,1,coulter-nile,kuldeep,1w,1,Short,,Glance,Leg-side,,Off-cutter,,
17,6,stoinis,bumrah,â€¢,0,Good,,,Slip,,,,
17,5,stoinis,bumrah,â€¢,0,Short,Outside-off,,Third-man,,,,
17,4,stoinis,bumrah,â€¢,0,Short,Middle-stump,,,,,,
17,4,stoinis,bumrah,â€¢,0,Short,,,Square-leg,,,,
17,4,stoinis,bumrah,1w,1,Short,Middle-stump,Hook,Square-leg,,,Slower,
17,4,stoinis,bumrah,1w,1,Short,,Hook,Square-leg,,,Slower,
17,3,stoinis,hardik,W,0,Full,,,Long-off,,Off-cutter,Slower,
17,2,stoinis,kuldeep,1,1,Good,Outside-off,,Third-man,,Off-cutter,Slower,
17,1,stoinis,hardik,1,1,Length,Outside-off,Pull,Midwicket,,,Slower,
16,6,tye,hardik,1,1,Full,,,On-side,,,,
16,5,tye,kuldeep,1,1,Full,Leg-stump,,Fine-leg,,,,
16,4,tye,hardik,1,1,Short,,,Short-third-man,,,,
16,3,tye,hardik,2,2,Short,,Pull,Deep-square-leg,,,Pace,
16,2,tye,hardik,â€¢,0,Short,,,Backward-point,,,Pace,
16,1,tye,hardik,6,6,Short,,Pull,Midwicket,,,Pace,
15,6,stoinis,hardik,1,1,Short,,Pull,Midwicket,,,,
15,5,stoinis,kuldeep,1,1,Short,,,Deep-square-leg,,,,
15,4,stoinis,hardik,1,1,Short,,,,Inside-edge,,,
15,3,stoinis,hardik,â€¢,0,Good,Leg-stump,,Off-side,,,,
15,2,stoinis,kuldeep,1,1,Short,,,Third-man,,,,
15,1,stoinis,hardik,1,1,Short,,,Point,,,,
14,6,tye,kuldeep,4,4,Full,,,Third-man,Outside-edge,,,
14,6,tye,kuldeep,4,4,Full,,,,,,Slower,
14,6,tye,kuldeep,1nb,0,Full,,,Third-man,Outside-edge,,Slower,
14,6,tye,kuldeep,1nb,0,,,,,,,Slower,
14,5,tye,hardik,1,1,Full,,,Long-off,,,,
14,4,tye,kuldeep,1,1,Good,,,Leg-side,,,Slower,
14,3,tye,kuldeep,â€¢,0,Full,Outside-off,,,,,Slower,
14,2,tye,kuldeep,â€¢,0,Length,,,Cover,,,,
14,1,tye,hardik,1,1,Full,,,Long-on,,,Slower,
13,6,zampa,kuldeep,â€¢,0,Short,Outside-off,Cut,Point,,,Pace,
