Over,Ball No.,Bowler,Batsman,Outcome,Runs,Length,Line,Shot Type,Position,Hit Type,Variation,Speed,Field Activity
19,6,coulter-nile,dhoni,1lb,0,Length,,,Point,,,,
19,6,coulter-nile,dhoni,1lb,0,Length,,Pull-shot,Point,,,,
19,6,coulter-nile,dhoni,1w,1,Good,,,Point,,,,
19,6,coulter-nile,dhoni,1w,1,,,Pull-shot,,,,,
19,5,coulter-nile,dhoni,â€¢,0,Length,,Pull,Fine-leg,,,,Catch
19,4,coulter-nile,dhoni,â€¢,0,Length,,,,,,,
19,3,coulter-nile,dhoni,â€¢,0,Length,,,,,,,
19,2,coulter-nile,dhoni,6,6,Full,Outside-off,,Cover,,,,
19,1,coulter-nile,dhoni,â€¢,0,Full,Middle-stump,,Deep-mid-wicket,,,,
18,6,cummins,chahal,â€¢,0,Length,,,Long-on,,,,Throw
18,5,cummins,dhoni,1,1,Length,Outside-off,,Deep-cover,,,,
18,4,cummins,dhoni,â€¢,0,Length,,,Long-on,,,,
18,3,cummins,dhoni,â€¢,0,Length,,,Leg-side,Inside-edge,,,
18,2,cummins,dhoni,2,2,Length,Outside-off,,Third-man,,,,
18,1,cummins,dhoni,â€¢,0,Length,,,Long-on,,,,
17,6,jhye richardson,chahal,â€¢,0,Length,,,Leg-side,,,,
17,5,jhye richardson,chahal,â€¢,0,Length,,,,,,,
17,4,jhye richardson,dhoni,1,1,Good,,,Long-on,,,,
17,4,jhye richardson,dhoni,1,1,,,,Leg-side,,,,
17,4,jhye richardson,dhoni,5w,5,Full,,,Leg-side,,,,
17,4,jhye richardson,dhoni,5w,5,Full,,,Leg-side,,,,
17,3,jhye richardson,dhoni,â€¢,0,Length,,Pull-shot,Midwicket,,,,
17,2,jhye richardson,dhoni,â€¢,0,Length,,Pull,Midwicket,,,,
17,1,jhye richardson,dhoni,â€¢,0,Length,Outside-off,,Long-off,,,,
16,6,cummins,chahal,â€¢,0,Full,Outside-off,,Cover,,,,
16,5,cummins,umesh yadav,W,0,Good,,,,,,Pace,Bowled
16,4,cummins,dhoni,1,1,Length,Outside-off,Cut,Third-man,,,,
16,3,cummins,umesh yadav,1,1,Length,Outside-off,,Third-man,Outside-edge,,,
16,2,cummins,dhoni,1,1,Length,Outside-off,,Deep-cover,,,,
16,1,cummins,umesh yadav,1,1,Full,Outside-off,,Mid-off,,,,
16,1,cummins,umesh yadav,1,1,Full,Outside-off,,Mid-off,,,,
16,1,cummins,umesh yadav,1w,1,Length,Outside-off,Glance,Mid-off,,,,
16,1,cummins,umesh yadav,1w,1,Length,Leg-stump,Glance,,,,,
15,6,jhye richardson,dhoni,â€¢,0,Short,,,Cover,,,,
15,5,jhye richardson,umesh yadav,1lb,0,Short,,,Square-leg,,,,
15,4,jhye richardson,dhoni,1,1,Short,,Pull,Long-leg,,,,
15,3,jhye richardson,dhoni,â€¢,0,Short,,,,,,,
15,2,jhye richardson,dhoni,â€¢,0,Short,,,Midwicket,,,,
15,1,jhye richardson,dhoni,2,2,Short,Outside-off,,Long-leg,,,,
14,6,coulter-nile,krunal,W,0,Good,Outside-off,Pull,Backward-point,Top-edge,,Pace,Catch
14,5,coulter-nile,dhoni,1,1,Good,,,Cover,,,Slower,
14,4,coulter-nile,dhoni,2,2,Length,Leg-stump,,Long-on,,,,
14,3,coulter-nile,krunal,1,1,Length,,,Long-leg,,,,
14,2,coulter-nile,dhoni,1,1,Short,Outside-off,,Cover,,,,
14,1,coulter-nile,dhoni,â€¢,0,Good,Outside-off,Cut,,Inside-edge,,,
13,6,zampa,krunal,â€¢,0,Short,Outside-off,,Point,,,,
13,5,zampa,krunal,â€¢,0,Short,,,Midwicket,,,,
13,4,zampa,krunal,â€¢,0,,Outside-off,Reverse-sweep,,,,,
13,3,zampa,krunal,â€¢,0,,Leg-stump,,Cover,,Googly,,
13,2,zampa,dhoni,1,1,,Leg-stump,,Midwicket,,,,
13,1,zampa,dhoni,â€¢,0,,,,,,,,
12,6,coulter-nile,karthik,W,0,Length,Middle-stump,Drive,,,,,Bowled
12,5,coulter-nile,dhoni,1,1,Short,Outside-off,,Deep-point,,,,
12,4,coulter-nile,karthik,1,1,Length,Outside-off,,Midwicket,,,,
12,3,coulter-nile,karthik,â€¢,0,Good,Outside-off,,,,,,
12,2,coulter-nile,rahul,W,0,Length,,,Mid-off,,,,Catch
12,1,coulter-nile,dhoni,1,1,Length,Outside-off,,Third-man,,,,
11,6,djm short,dhoni,1,1,Short,Outside-off,Cut,Cover,,,,
11,5,djm short,dhoni,2,2,Short,,,Deep-mid-wicket,,,,Dive
11,4,djm short,rahul,1,1,Short,,,Leg-side,,Googly,,
11,3,djm short,rahul,â€¢,0,Short,Middle-stump,,Cover,,Googly,Spin,
11,2,djm short,dhoni,1,1,Short,Middle-stump,,Midwicket,,,,
11,1,djm short,rahul,1,1,Short,Middle-stump,,Midwicket,,,,
10,6,cummins,rahul,1,1,Short,,,Fine-leg,,,,
10,5,cummins,dhoni,1,1,Good,,,Cover,,,,
10,4,cummins,dhoni,2,2,Full,Outside-off,,Point,,,,Throw
10,3,cummins,dhoni,â€¢,0,,,Drive,,Outside-edge,,Pace,
10,2,cummins,dhoni,â€¢,0,Length,Outside-off,,,Inside-edge,,,
10,1,cummins,rahul,1,1,Length,,,Midwicket,,,,
9,6,djm short,pant,W,0,Short,Outside-off,Cut,Cover,,,Fast,Run-out
9,5,djm short,rahul,1,1,Short,,,Long-on,,,,
9,4,djm short,pant,1,1,Short,Outside-off,,Cover,,,,
9,3,djm short,pant,â€¢,0,Short,Outside-off,,Cover,,,,
9,2,djm short,rahul,1,1,Short,,Pull,Deep-mid-wicket,,,,
9,1,djm short,pant,1,1,Short,,,Deep-square-leg,,,,
8,6,zampa,rahul,6,6,Length,,,Long-on,,Googly,,
8,5,zampa,pant,1,1,Full,Outside-off,,Long-off,,,,
8,4,zampa,kohli,W,0,Good,,,Long-on,,,,Catch
8,3,zampa,rahul,1,1,Short,,,Midwicket,,,,
8,2,zampa,kohli,1,1,,Middle-stump,Drive,,,,,
8,1,zampa,kohli,2,2,,,,Cover,,,,
7,6,cummins,rahul,2,2,Length,,,Deep-mid-wicket,,,,
7,5,cummins,rahul,â€¢,0,Length,,,Off-side,,,Pace,
7,4,cummins,kohli,1,1,Short,,Pull,Long-on,,,,
7,3,cummins,rahul,1,1,,,,Deep-square-leg,,,,
7,2,cummins,kohli,1,1,Length,Outside-off,,Third-man,,,,
7,1,cummins,rahul,1,1,Length,,,Deep-mid-wicket,,,,
6,6,zampa,rahul,1,1,Short,,,Third-man,,,,
6,6,zampa,rahul,1,1,Short,,,Third-man,,,,
6,6,zampa,rahul,1,1,Short,,,Third-man,,,,
6,6,zampa,rahul,1w,1,,Outside-off,,Point,,,,
6,6,zampa,rahul,1w,1,,Outside-off,,,,,,
6,6,zampa,rahul,1w,1,,Outside-off,,Leg-side,,,,
6,6,zampa,rahul,1w,1,Good,,,Leg-side,,,,
6,6,zampa,rahul,1w,1,Good,,,Leg-side,,,,
6,6,zampa,rahul,1w,1,Good,,,Leg-side,,,,
6,5,zampa,kohli,1,1,Short,,,Deep-mid-wicket,,,,
6,4,zampa,rahul,1,1,Short,,Pull-shot,Midwicket,,,,
6,3,zampa,rahul,4,4,Length,,,,,,,
6,2,zampa,rahul,â€¢,0,Length,Outside-off,Reverse-sweep,,,,Pace,
6,1,zampa,kohli,1,1,Length,,,Long-on,,,,
5,6,coulter-nile,rahul,4,4,Length,Outside-off,,Cover,,,,
5,5,coulter-nile,rahul,â€¢,0,Length,,,Cover,,,,
5,4,coulter-nile,kohli,1,1,,Outside-off,,Third-man,,,Slower,
5,3,coulter-nile,rahul,1,1,Short,,Pull,Deep-square-leg,,,,
5,2,coulter-nile,kohli,1,1,Length,Outside-off,,Third-man,,,,
5,1,coulter-nile,kohli,4,4,Length,Middle-stump,,Deep-mid-wicket,,,,
4,6,behrendorff,kohli,1,1,Length,Outside-off,,Third-man,,,,
4,5,behrendorff,kohli,4,4,Length,Outside-off,,Point,,,,
4,4,behrendorff,rahul,1,1,Full,Outside-off,,Third-man,,,,
4,3,behrendorff,kohli,1,1,Length,Outside-off,,Third-man,,,,
4,2,behrendorff,kohli,4,4,,Middle-stump,,,,,,
4,1,behrendorff,rahul,1,1,Length,Outside-off,,Third-man,,,,
3,6,jhye richardson,rahul,1,1,Full,Outside-off,,Mid-off,,,,
3,5,jhye richardson,rahul,4,4,,Outside-off,,Cover,,,Slower,
3,4,jhye richardson,kohli,1,1,Length,Outside-off,,Third-man,,,,
3,3,jhye richardson,kohli,â€¢,0,Length,,,Cover,Inside-edge,,,
3,2,jhye richardson,rahul,1,1,Length,,,Mid-on,,,,
3,1,jhye richardson,rahul,4,4,Length,Outside-off,,Cover,,,,
2,6,behrendorff,kohli,â€¢,0,Length,,,,,,,
2,5,behrendorff,rahul,1,1,Length,Outside-off,,Point,,,,
2,4,behrendorff,rahul,â€¢,0,Length,,,Off-side,,,,
