Over,Ball No.,Bowler,Batsman,Outcome,Runs,Length,Line,Shot Type,Position,Hit Type,Variation,Speed,Field Activity
19,6,archer,kohli,1,1,Short,,Hook,,Top-edge,,Slow,
19,5,archer,kohli,4,4,Good,,,Cover,,,Slower,
19,4,archer,kohli,2,2,Full,Middle-stump,,Long-on,,,,
19,3,archer,kohli,4,4,Good,Outside-off,,Deep-square-leg,,Leg-cutter,,
19,2,archer,hardik,1,1,Short,Outside-off,,Long-off,,,,
19,1,archer,kohli,1,1,Full,Middle-stump,,Long-on,,,,
18,6,jordan,kohli,1,1,Yorker,,,Extra-cover,,,,
18,5,jordan,kohli,4,4,Yorker,Outside-off,,Point,,,,
18,4,jordan,kohli,â€¢,0,Good,Outside-off,,,,,,
18,3,jordan,hardik,1,1,Good,Outside-off,,Cover,,,,
18,2,jordan,hardik,6,6,Good,Outside-off,,Midwicket,,,,
18,1,jordan,hardik,6,6,Short,,Pull,Backward-square-leg,,,,
17,6,wood,kohli,2,2,Yorker,Leg-stump,,Midwicket,,,,
17,5,wood,kohli,4,4,Short,,Pull,Fine-leg,,,Slow,
17,4,wood,kohli,4,4,Short,,,Fine-leg,,,Slower,
17,3,wood,kohli,â€¢,0,Good,Outside-off,Reverse-sweep,,,,Slower,
17,2,wood,hardik,1,1,Length,Outside-off,,Leg-side,Top-edge,,,
17,1,wood,kohli,1,1,Short,,,Deep-square-leg,,,Pace,
16,6,jordan,hardik,2,2,Short,,,Point,,,,
16,5,jordan,kohli,1,1,Full,Outside-off,,Long-off,,,,
16,4,jordan,hardik,1,1,Short,,,Long-on,,,,
16,3,jordan,hardik,4,4,Short,Outside-off,,Mid-off,,,,
16,2,jordan,hardik,2,2,Short,Outside-off,,Long-on,,,,
16,1,jordan,kohli,1lb,0,Good,,,Leg-side,,,,
15,6,wood,hardik,â€¢,0,Length,Outside-off,,Cover,,,,
15,5,wood,hardik,4,4,Short,Outside-off,Pull,Long-off,,,,Stop
15,4,wood,hardik,4,4,Short,Outside-off,,Midwicket,Top-edge,,Pace,
15,3,wood,kohli,1,1,Good,,,Midwicket,,,Slower,
15,2,wood,kohli,2,2,Short,,,Square-leg,,,Slower,
15,1,wood,kohli,2,2,Short,,,Leg-side,,,Slower,
14,6,archer,hardik,4,4,Short,Outside-off,,,,,Pace,
14,5,archer,kohli,3,3,Short,Outside-off,Cut,Cover,,,Slower,Slide
14,4,archer,hardik,1,1,Short,,,Midwicket,,,Slower,
14,3,archer,kohli,1,1,Length,Outside-off,,Long-off,,,Slower,
14,2,archer,hardik,1,1,Short,,,Midwicket,,,,
14,1,archer,kohli,1,1,Short,,Hook,Fine-leg,,,Slower,
13,6,rashid,hardik,â€¢,0,Full,Middle-stump,Sweep,Short-fine-leg,,,,
13,5,rashid,kohli,1,1,,Outside-off,Drive,Long-on,,,,
13,4,rashid,hardik,1,1,Short,Outside-off,,Point,,,,
13,3,rashid,kohli,1,1,Short,,,Midwicket,,Wrong'un,,
13,2,rashid,suryakumar,W,0,Good,,,Long-on,,Googly,,Stop
13,1,rashid,kohli,1,1,Good,,,Midwicket,,,,
12,6,stokes,suryakumar,â€¢,0,Short,Outside-off,,Third-man,,,Slower,
12,5,stokes,suryakumar,â€¢,0,,,Reverse-sweep,Backward-point,,,Slower,
12,4,stokes,kohli,1,1,Full,Leg-stump,,Deep-square-leg,,,,
12,3,stokes,suryakumar,1,1,Yorker,Leg-stump,,Cover,,,,
12,2,stokes,kohli,1,1,Full,Leg-stump,Sweep,Deep-square-leg,,,Slower,
12,1,stokes,kohli,6,6,Length,Outside-off,,Long-on,,,Slower,
11,6,jordan,suryakumar,4,4,Yorker,Outside-off,,Point,,,,
11,5,jordan,suryakumar,4,4,Length,,,Short-fine-leg,,,Slower,
11,4,jordan,suryakumar,4,4,Full,Outside-off,,Short-fine-leg,,,Slower,
11,3,jordan,suryakumar,2,2,Full,Outside-off,,Midwicket,,,,
11,2,jordan,kohli,1,1,Good,Outside-off,,Short-third-man,,,Slower,
11,1,jordan,kohli,4,4,Full,Outside-off,,Midwicket,,,Slower,Bowled
10,6,stokes,suryakumar,â€¢,0,Good,,Scoop,Leg-side,,,Slower,
10,5,stokes,suryakumar,â€¢,0,Length,,,,Inside-edge,,Slower,
10,4,stokes,kohli,1,1,Full,,,Long-off,,,,
10,3,stokes,suryakumar,1,1,Full,,,Deep-square-leg,,,Slower,
10,2,stokes,suryakumar,2,2,Short,,,Deep-square-leg,,,Slower,
10,1,stokes,suryakumar,â€¢,0,Full,Outside-off,,Extra-cover,,,Slower,
9,6,rashid,suryakumar,1,1,Short,Leg-stump,,Long-on,,,,
9,5,rashid,suryakumar,6,6,Length,Outside-off,,Extra-cover,,,,
9,4,rashid,suryakumar,6,6,,Middle-stump,,,,,,
9,3,rashid,kohli,1,1,,,,Short-third-man,Inside-edge,Wrong'un,,
9,2,rashid,suryakumar,1,1,Length,Outside-off,,Cover,,,,
9,1,rashid,kohli,1,1,,Leg-stump,,Deep-square-leg,,,,
8,6,stokes,rohit sharma,W,0,,Outside-off,Pull,Cover,Inside-edge,Leg-cutter,Pace,Bowled
8,5,stokes,kohli,1,1,,Outside-off,,Long-on,,,Slower,
8,4,stokes,rohit sharma,1,1,Good,,,Point,,,,
8,3,stokes,rohit sharma,4,4,Short,,Pull,Deep-square-leg,,,,
8,2,stokes,rohit sharma,6,6,Full,Outside-off,,Long-on,,,Slower,
8,1,stokes,kohli,1,1,,,,Square-leg,,,,
7,6,sam curran,rohit sharma,6,6,,,,Backward-square-leg,,,Slower,
7,5,sam curran,rohit sharma,2,2,,,,Short-third-man,,,,Dive
7,4,sam curran,kohli,1,1,Short,Outside-off,Pull,Square-leg,,,Slower,
7,3,sam curran,rohit sharma,1,1,Good,Outside-off,,Cover,,,,
7,2,sam curran,rohit sharma,â€¢,0,Full,,,Short-third-man,Outside-edge,,,
7,1,sam curran,kohli,1,1,Short,,,Midwicket,,,,
6,6,jordan,rohit sharma,6,6,Short,Outside-off,Pull,Square-leg,,,Slower,
6,5,jordan,kohli,1,1,Full,Outside-off,,Long-on,,,Slower,
6,4,jordan,rohit sharma,1,1,Full,Outside-off,Cut,Point,,,Pace,
6,3,jordan,rohit sharma,â€¢,0,Yorker,Outside-off,,,,,Slower,
6,2,jordan,rohit sharma,â€¢,0,Length,Outside-off,Drive,Cover,,,Slower,
6,1,jordan,rohit sharma,2,2,Good,Outside-off,,Cover,,,Slower,
5,6,wood,rohit sharma,1,1,Full,Outside-off,,Point,,,,
5,5,wood,rohit sharma,â€¢,0,Length,Outside-off,,Point,,,,
5,4,wood,rohit sharma,6,6,Short,,Pull,Fine-leg,,,,
5,3,wood,kohli,1,1,,Outside-off,,,,,,
5,3,wood,kohli,1,1,Good,Outside-off,,Leg-side,,,,
5,3,wood,kohli,1w,1,Short,Outside-off,,Leg-side,,,,
5,3,wood,kohli,1w,1,Short,,,Leg-side,,,,
5,2,wood,kohli,6,6,Short,,,Long-leg,,,,
5,1,wood,rohit sharma,1lb,0,Length,,Pull,,,,Pace,
4,6,archer,kohli,â€¢,0,Short,Outside-off,,Cover,,,,
4,5,archer,rohit sharma,1,1,Full,Outside-off,Drive,Cover,,,Slower,
4,4,archer,kohli,1,1,Good,Outside-off,,Cover,,,,
4,4,archer,kohli,1,1,Good,,Pull,,,,,
4,4,archer,kohli,5w,5,Good,Outside-off,,Cover,,,,
4,4,archer,kohli,5w,5,Short,Outside-off,Pull,,,,,
4,3,archer,kohli,â€¢,0,Length,,,Point,,,Slower,
4,2,archer,rohit sharma,1,1,Short,Outside-off,,Third-man,,,,
4,1,archer,kohli,1,1,Short,Outside-off,,Third-man,,,,
3,6,wood,rohit sharma,2,2,Good,,,Square-leg,,,,
3,5,wood,rohit sharma,4,4,,,,,,,Fast,
3,4,wood,rohit sharma,â€¢,0,Short,Outside-off,,Point,,,,
3,3,wood,rohit sharma,2,2,,,,Midwicket,,,,
3,2,wood,rohit sharma,4,4,Good,Outside-off,,,,,,
3,1,wood,kohli,1,1,Short,Outside-off,,Cover,,,,
2,6,rashid,rohit sharma,6,6,Full,,,Midwicket,,Slider,,
2,5,rashid,kohli,1,1,Length,Outside-off,,Long-on,,,,
2,4,rashid,rohit sharma,1,1,Short,,,Leg-side,,,,
2,3,rashid,rohit sharma,â€¢,0,,Leg-stump,,,,Wrong'un,Pace,
2,2,rashid,kohli,1,1,Full,Outside-off,,Long-on,,,Slower,
2,1,rashid,kohli,â€¢,0,,Leg-stump,,Midwicket,,,,
1,6,archer,rohit sharma,4,4,Full,,Drive,Point,,,Slower,
1,5,archer,kohli,1,1,Short,Outside-off,Hook,Deep-square-leg,,,,
1,4,archer,kohli,â€¢,0,Good,Outside-off,,Off-side,,,,
1,3,archer,kohli,4,4,Short,Outside-off,Drive,Cover,,,Slower,
1,2,archer,rohit sharma,1,1,Length,Outside-off,,Cover,,,,
1,1,archer,rohit sharma,â€¢,0,Short,Outside-off,,Cover,,,,
0,6,rashid,kohli,â€¢,0,Length,Leg-stump,,,,,,
0,5,rashid,rohit sharma,1,1,Short,,,Mid-on,,,,
0,4,rashid,rohit sharma,â€¢,0,,,,Cover,,Wrong'un,,
0,3,rashid,kohli,1lb,0,Short,Leg-stump,,Leg-side,,Googly,,
0,2,rashid,rohit sharma,1,1,,Middle-stump,Drive,,,Wrong'un,,
0,1,rashid,rohit sharma,â€¢,0,Full,,,Midwicket,,,,
