Over,Ball No.,Bowler,Batsman,Outcome,Runs,Length,Line,Shot Type,Position,Hit Type,Variation,Speed,Field Activity
17,5,jordan,kohli,6,6,Short,,,Fine-leg,,,,
17,4,jordan,kohli,4,4,Full,,,Square-leg,,,,
17,3,jordan,shreyas iyer,1,1,Full,Outside-off,,Mid-on,,,,
17,2,jordan,shreyas iyer,â€¢,0,Short,,Cut,,,,,
17,1,jordan,kohli,1,1,Full,,,Fine-leg,,,,
16,6,archer,kohli,1,1,Full,Outside-off,,Mid-off,,,,
16,5,archer,kohli,â€¢,0,,,Pull,,Top-edge,,,
16,4,archer,kohli,4,4,Full,Outside-off,,Mid-off,,,,
16,3,archer,kohli,â€¢,0,Length,Outside-off,,Midwicket,,,,Stop
16,2,archer,shreyas iyer,1,1,Length,Outside-off,,Cover,,,,
16,1,archer,kohli,1,1,Length,,,Midwicket,,,,
15,6,rashid,kohli,1,1,,,,Long-off,,,,Stop
15,5,rashid,shreyas iyer,1,1,,Leg-stump,,Midwicket,,,,
15,4,rashid,kohli,1,1,Short,Outside-off,Cut,Deep-point,,,,
15,3,rashid,kohli,â€¢,0,Short,,,Cover,,,,Stop
15,2,rashid,kohli,â€¢,0,,Outside-off,Drive,,Outside-edge,,,Stumping
15,1,rashid,shreyas iyer,1,1,Full,Leg-stump,,Long-on,,,,
14,6,tom curran,kohli,â€¢,0,Good,,,,,,Pace,Throw
14,5,tom curran,shreyas iyer,1,1,,Leg-stump,Drive,Mid-on,,,,
14,4,tom curran,kohli,1,1,,,,Cover,,,,
14,3,tom curran,kohli,6,6,Full,,On-drive,Mid-off,,,Slower,
14,2,tom curran,shreyas iyer,1,1,Length,,,Fine-leg,,,,
14,1,tom curran,kohli,1,1,Length,,,Long-on,,,,
13,6,jordan,shreyas iyer,2,2,Length,,,Square-leg,,,,
13,5,jordan,kohli,1,1,Full,Outside-off,,Long-off,,,,
13,4,jordan,pant,W,0,Full,,,Midwicket,,,,Catch
13,3,jordan,pant,6,6,Full,Outside-off,,Cover,,,,
13,2,jordan,pant,4,4,Full,Outside-off,Drive,Extra-cover,,,,
13,1,jordan,kohli,1,1,Good,,,Midwicket,,,Slower,
12,6,sam curran,pant,4,4,,Outside-off,,Cover,,,Slower,
12,5,sam curran,kohli,1,1,,,,Square-leg,,,,
12,4,sam curran,pant,1,1,,Outside-off,Cover-drive,Cover,,,Slow,Dive
12,3,sam curran,pant,â€¢,0,Length,Outside-off,Cut,Cover,,,,
12,2,sam curran,kohli,1,1,,,,Extra-cover,,,,
12,1,sam curran,pant,1,1,,Outside-off,Sweep,Long-on,,,Pace,
11,6,rashid,kohli,2,2,Length,,,Cover,,,,Direct-hit
11,5,rashid,pant,1,1,,Outside-off,,Mid-off,,Googly,,
11,4,rashid,kohli,1,1,,Leg-stump,,Fine-leg,,,,
11,3,rashid,pant,1,1,Short,Outside-off,,Point,,Googly,,
11,2,rashid,pant,6,6,,Leg-stump,,,,,,
11,1,rashid,kohli,1,1,Length,Outside-off,,Cover,,,,
10,6,sam curran,kohli,1,1,Length,Leg-stump,,Backward-square-leg,,,Slower,
10,5,sam curran,pant,1,1,Short,,,Square-leg,,,,
10,4,sam curran,kohli,1,1,Length,Leg-stump,,Fine-leg,,,,
10,3,sam curran,pant,1,1,Length,Leg-stump,,Midwicket,,,,
10,2,sam curran,pant,â€¢,0,Full,,Drive,Mid-off,,,,
10,1,sam curran,kohli,1,1,Length,Outside-off,Drive,Long-off,,,,
9,6,rashid,ishan,W,0,Good,,,,,Flipper,,Bowled
9,5,rashid,ishan,2,2,Full,,,Leg-side,,,,
9,4,rashid,ishan,â€¢,0,,Outside-off,Reverse-sweep,,,Googly,,
9,3,rashid,ishan,â€¢,0,,Outside-off,Drive,Off-side,,,,
9,2,rashid,ishan,6,6,,,,Long-on,Top-edge,,,
9,1,rashid,ishan,6,6,Full,,,Midwicket,,,,
8,6,archer,ishan,1,1,Short,Outside-off,Pull,Deep-square-leg,,,Slower,
8,5,archer,ishan,â€¢,0,Full,Outside-off,,,,,Slower,
8,5,archer,ishan,â€¢,0,,Outside-off,Pull,,,,,
8,5,archer,ishan,1w,1,Full,Outside-off,,,,,Slower,
8,5,archer,ishan,1w,1,,Outside-off,Pull,,,,,
8,4,archer,ishan,â€¢,0,Short,Outside-off,,Off-side,,,,
8,3,archer,ishan,â€¢,0,Length,,,,,,Pace,
8,2,archer,kohli,1,1,Good,,,Leg-side,,,,
8,1,archer,kohli,2,2,Short,,,Point,,,,
7,6,rashid,kohli,1,1,Full,,,Cover,,,,
7,5,rashid,kohli,â€¢,0,,,,Off-side,,,,
7,4,rashid,ishan,1,1,,,,Mid-on,,,,
7,3,rashid,ishan,4,4,Full,Outside-off,,Midwicket,,,,
7,2,rashid,ishan,â€¢,0,,Outside-off,,On-side,,Googly,,
7,1,rashid,ishan,2,2,Full,,Drive,Deep-point,,,,
6,6,stokes,ishan,1,1,,,,Off-side,,,Slower,
6,5,stokes,ishan,6,6,Short,,Pull-shot,Deep-square-leg,,,Pace,
6,4,stokes,ishan,â€¢,0,Length,,,Cover,,,,
6,3,stokes,kohli,1,1,,,,Midwicket,,,,
6,2,stokes,kohli,6,6,Length,,,Third-man,,,,
6,2,stokes,kohli,6,6,Good,Leg-stump,,Third-man,,,Pace,
6,2,stokes,kohli,1nb,0,Good,,,Cow-corner,,,,
6,2,stokes,kohli,1nb,0,Good,Leg-stump,,Square-leg,,,Pace,
6,1,stokes,kohli,2,2,Short,,Pull,Deep-square-leg,,,,
5,6,tom curran,ishan,4,4,Short,,Pull,Deep-square-leg,,,,
5,5,tom curran,kohli,1,1,Full,Outside-off,,Mid-off,,,,
5,4,tom curran,ishan,1,1,,,,On-side,,,,
5,3,tom curran,ishan,4,4,Good,,,Cover,,,Slower,
5,2,tom curran,ishan,â€¢,0,Length,Outside-off,,Point,,,,
5,1,tom curran,ishan,6,6,,Outside-off,,Long-on,,,,
4,6,jordan,kohli,2,2,Length,Outside-off,Drive,Long-off,,,Slower,Slide
4,5,jordan,kohli,4,4,Short,,Hook,Backward-square-leg,,,Pace,
4,4,jordan,kohli,â€¢,0,Length,Outside-off,,Off-side,,,Slower,
4,3,jordan,ishan,1,1,Short,,,Deep-square-leg,,,,
4,2,jordan,kohli,1,1,Length,,,Off-side,,,,
4,1,jordan,kohli,4,4,,,,Leg-side,,,,Catch
3,6,archer,kohli,1,1,Short,,Pull,Leg-side,,,,
3,5,archer,kohli,â€¢,0,Short,Outside-off,Pull,,,,Pace,
3,4,archer,kohli,â€¢,0,,,,Off-side,,,,
3,3,archer,ishan,1lb,0,Short,Leg-stump,,Square-leg,,,,
3,2,archer,kohli,1,1,Length,,,Leg-side,,,,
3,1,archer,kohli,4,4,Short,,Pull,Deep-mid-wicket,,,,
2,6,sam curran,kohli,1,1,,,Drive,Cover,,,,
2,5,sam curran,ishan,1,1,Length,Outside-off,,Square-leg,Inside-edge,,,
2,4,sam curran,kohli,1,1,Good,,,Backward-square-leg,,,,
2,3,sam curran,ishan,1,1,Good,,,Off-side,,,,
2,2,sam curran,ishan,4,4,Good,,Pull,Deep-mid-wicket,,,,
2,1,sam curran,kohli,1,1,,,,Square-leg,,,,
1,6,archer,ishan,â€¢,0,Full,,Cut,Point,,,,
1,5,archer,ishan,â€¢,0,Full,,,Midwicket,,,,
1,4,archer,ishan,â€¢,0,,,,Leg-side,,,,
1,3,archer,kohli,1,1,Good,,,Backward-square-leg,,,,
1,2,archer,ishan,1,1,,,,Off-side,,,,
1,1,archer,ishan,4,4,Good,,,Fine-leg,,,,Dive
0,6,sam curran,rahul,W,0,Length,,,,Outside-edge,,,
0,5,sam curran,rahul,â€¢,0,Full,,,On-side,,,,
0,4,sam curran,rahul,â€¢,0,Good,,,On-side,,,,
0,3,sam curran,rahul,â€¢,0,Full,,,Mid-off,,,,
