Over,Ball No.,Bowler,Batsman,Outcome,Runs,Length,Line,Shot Type,Position,Hit Type,Variation,Speed,Field Activity
19,6,kuggeleijn,saini,1b,1,Full,Outside-off,,,,,,Direct-hit
19,5,kuggeleijn,pandey,1,1,Full,Outside-off,,Long-on,,,,
19,4,kuggeleijn,pandey,2,2,Full,Outside-off,,Leg-side,Thick-edge,,,
19,4,kuggeleijn,pandey,2,2,Full,Outside-off,,Leg-side,Thick-edge,,Slower,
19,4,kuggeleijn,pandey,1w,1,Short,Outside-off,,Long-on,,,,
19,4,kuggeleijn,pandey,1w,1,Short,Outside-off,,,,,Slower,
19,3,kuggeleijn,saini,1b,1,Short,,,Leg-side,,,,Direct-hit
19,2,kuggeleijn,pandey,1,1,Yorker,Outside-off,,Backward-point,,,,
19,1,kuggeleijn,pandey,4,4,Short,,,Deep-point,,,Slower,
18,6,bennett,saini,2,2,Yorker,,,Midwicket,,,,Run-out
18,5,bennett,saini,4,4,Full,,,Cover,,,Pace,
18,4,bennett,saini,â€¢,0,Short,Outside-off,Upper-cut,,,,Slow,
18,3,bennett,saini,4,4,Full,Outside-off,,Point,Outside-edge,,,
18,2,bennett,saini,â€¢,0,Length,,,,,,,
18,1,bennett,saini,â€¢,0,Good,Middle-stump,,Midwicket,,,,
17,6,southee,saini,1,1,Length,,,Point,,,,
17,5,southee,chahal,W,0,Length,Outside-off,,Third-man,Thin-edge,,,Catch
17,4,southee,pandey,1,1,,,,Long-on,,,Slower,
17,3,southee,pandey,2,2,Length,,,Long-on,,,,
17,2,southee,chahal,1,1,,,,Midwicket,,,,Throw
17,1,southee,pandey,1,1,Full,Outside-off,,Deep-point,,,,
16,6,bennett,pandey,1,1,Length,,,Cover,,,Slower,
16,5,bennett,pandey,2,2,,Outside-off,,,,,Slower,
16,4,bennett,pandey,4,4,Short,,,Mid-on,,,,
16,3,bennett,thakur,W,0,Short,,,Mid-on,,,,
16,2,bennett,thakur,2,2,Short,,,Long-off,,,,
16,1,bennett,thakur,4,4,Short,,,Midwicket,,,,
15,6,southee,thakur,3,3,Short,Outside-off,,Third-man,,,,Slide
15,5,southee,pandey,1lb,0,Short,,Scoop,,,,,
15,5,southee,pandey,1lb,0,Short,,Scoop,Leg-side,,,,
15,5,southee,pandey,1w,1,Short,,,,,,,
15,5,southee,pandey,1w,1,Short,,,Leg-side,,,,
15,4,southee,pandey,2,2,Length,Outside-off,,Cover,,,,
15,3,southee,pandey,4,4,Good,,,Point,,,Pace,
15,2,southee,thakur,1lb,0,Length,,Pull,Leg-side,,,Pace,
15,1,southee,pandey,1,1,,,,Long-on,,,,
14,6,bennett,pandey,1,1,Length,Outside-off,,Mid-off,,,Pace,Stop
14,6,bennett,pandey,1,1,Length,,Pull,,,,,
14,6,bennett,pandey,1w,1,Full,Outside-off,,Mid-off,,,Pace,Stop
14,6,bennett,pandey,1w,1,Short,,Pull,,,,,
14,5,bennett,pandey,2,2,Length,,,Midwicket,,,,
14,4,bennett,pandey,â€¢,0,Good,Outside-off,,Off-side,,,Pace,
14,3,bennett,pandey,2,2,Good,,,Deep-square-leg,,,,
14,2,bennett,thakur,1,1,Short,Outside-off,,Deep-point,,,,
14,1,bennett,pandey,1,1,Full,Leg-stump,,Long-on,,,,
13,6,santner,thakur,2,2,Full,,Drive,Cover,,,,
13,5,santner,pandey,1,1,,,,Deep-point,,,,
13,4,santner,pandey,â€¢,0,Short,,,Cover,,,,
13,3,santner,pandey,â€¢,0,,,,Point,,,,
13,2,santner,thakur,1,1,,,,Cover,,,Slower,
13,1,santner,pandey,3,3,,Outside-off,Drive,Slip,Outside-edge,,,
12,6,sodhi,thakur,4,4,Full,Outside-off,Cut,Point,,,,
12,5,sodhi,thakur,2,2,Length,,Pull,Midwicket,,Googly,,
12,4,sodhi,pandey,1,1,Full,Middle-stump,,Long-on,,,,
12,3,sodhi,thakur,1,1,Good,Middle-stump,,,,,,
12,2,sodhi,thakur,â€¢,0,,,,Midwicket,,Googly,,
12,1,sodhi,pandey,1,1,,Outside-off,,Deep-cover,,,,
11,6,santner,thakur,â€¢,0,,Leg-stump,,,,,,Stop
11,5,santner,thakur,â€¢,0,,Outside-off,,Point,,,,
11,4,santner,thakur,â€¢,0,,Outside-off,,,,,,
11,3,santner,sundar,W,0,Length,Outside-off,,,Inside-edge,,Spin,Bowled
11,2,santner,sundar,â€¢,0,Length,Outside-off,,Point,,,,
11,1,santner,pandey,1,1,Short,,,Long-on,,,,
10,6,sodhi,sundar,â€¢,0,Length,,,Short-third-man,Thick-edge,,,
10,5,sodhi,pandey,1,1,,Outside-off,,Cover,,Slider,,
10,4,sodhi,pandey,â€¢,0,,Leg-stump,,Midwicket,,,,
10,3,sodhi,pandey,2,2,,,,Long-on,,,,
10,2,sodhi,dube,W,0,,Middle-stump,,Long-on,,,Slow,Catch
10,1,sodhi,pandey,1,1,Short,Outside-off,,Deep-point,,,,
9,6,santner,pandey,3,3,,,,Long-off,,,,Slide
9,5,santner,pandey,â€¢,0,Full,,,,,,,
9,4,santner,pandey,â€¢,0,Good,,,,,,,Stop
9,3,santner,dube,1,1,,Outside-off,,Deep-cover,,,,
9,2,santner,dube,â€¢,0,,,,Point,,,,
9,1,santner,pandey,1,1,,Outside-off,,Deep-cover,,,Spin,
8,6,sodhi,pandey,1,1,Short,Outside-off,Cut,Deep-point,,,,
8,5,sodhi,pandey,2,2,,,,Cover,,,,
8,4,sodhi,rahul,W,0,,,Pull,Midwicket,,,,Slide
8,3,sodhi,dube,1,1,,Leg-stump,,Midwicket,,,,
8,2,sodhi,rahul,1,1,Short,,Cut,Cover,,,,
8,1,sodhi,rahul,4,4,Short,Outside-off,Square-cut,Backward-point,,,,
7,6,kuggeleijn,dube,4,4,Short,Outside-off,,Point,,,Pace,
7,5,kuggeleijn,dube,â€¢,0,Short,,,Point,,,,
7,4,kuggeleijn,dube,4,4,Short,,Square-cut,Point,Thick-edge,,Pace,
7,3,kuggeleijn,rahul,1,1,Short,,,Midwicket,,,,
7,2,kuggeleijn,rahul,4,4,Short,Outside-off,Square-cut,Point,,,,Stop
7,1,kuggeleijn,dube,1,1,Full,,,Deep-square-leg,,,,
6,6,sodhi,rahul,â€¢,0,Full,,Drive,,,,,
6,5,sodhi,rahul,2,2,Short,,,Midwicket,,,,
6,4,sodhi,dube,1,1,Full,Outside-off,,Deep-point,,,,
6,3,sodhi,shreyas iyer,W,0,Short,,Cut,,Outside-edge,Wrong'un,,Catch
6,2,sodhi,shreyas iyer,â€¢,0,,,,Cover,Inside-edge,Googly,Slower,
6,1,sodhi,rahul,1,1,Full,,,Midwicket,,Slider,,
5,6,kuggeleijn,shreyas iyer,â€¢,0,Short,Outside-off,,Point,,,,
5,5,kuggeleijn,shreyas iyer,â€¢,0,Short,,Upper-cut,Third-man,,,Slower,
5,4,kuggeleijn,shreyas iyer,â€¢,0,Short,,,,,,,
5,3,kuggeleijn,rahul,1,1,Short,,,Midwicket,,,,
5,2,kuggeleijn,rahul,â€¢,0,Length,,,Leg-side,,,,
5,1,kuggeleijn,rahul,â€¢,0,,,,Cover,,,,
4,6,bennett,shreyas iyer,â€¢,0,Length,Outside-off,,Short-third-man,Outside-edge,,,
4,5,bennett,rahul,1,1,Good,Leg-stump,,Square-leg,,,,
4,4,bennett,shreyas iyer,1,1,Short,Outside-off,,Third-man,,,,
4,3,bennett,kohli,W,0,Good,,,Cover,,,,Catch
4,2,bennett,kohli,4,4,Short,,,Short-third-man,,,,
4,1,bennett,kohli,4,4,Length,,,Square-leg,,,,
3,6,southee,rahul,â€¢,0,Short,,Upper-cut,Point,,,,
3,5,southee,kohli,1lb,0,Short,,Pull,Off-side,,,,
3,4,southee,rahul,1,1,Short,,Hook,Short-fine-leg,,,,Stop
3,3,southee,rahul,2,2,,,,Midwicket,,,,Direct-hit
3,2,southee,kohli,1,1,Good,,,Mid-on,,,,
3,1,southee,kohli,â€¢,0,Short,,,Leg-side,,,,
2,6,santner,rahul,4,4,,Outside-off,,Extra-cover,,,,
2,5,santner,rahul,6,6,Length,,Pull,Midwicket,,,,
2,4,santner,kohli,1,1,,,,Square-leg,,,,
2,3,santner,kohli,â€¢,0,Good,Outside-off,,Cover,,,,
2,2,santner,rahul,1,1,,Leg-stump,,Leg-side,,,,
2,1,santner,kohli,1,1,Short,,,Midwicket,,,,
1,6,kuggeleijn,rahul,â€¢,0,Full,Outside-off,Drive,Cover,,,,
1,5,kuggeleijn,rahul,6,6,Length,Outside-off,,Cover,,,,
1,5,kuggeleijn,rahul,6,6,Length,,,Cover,,,Slower,
1,5,kuggeleijn,rahul,6,6,Length,,,Cover,,,,
1,5,kuggeleijn,rahul,1w,1,Full,Outside-off,,,,,Slower,
1,5,kuggeleijn,rahul,1w,1,Full,Outside-off,,,,,Slower,
1,5,kuggeleijn,rahul,1w,1,Full,Outside-off,,,,,Slower,
1,5,kuggeleijn,rahul,1nb,0,,Outside-off,,,,,,
1,5,kuggeleijn,rahul,1nb,0,,,,,,,Slower,
1,5,kuggeleijn,rahul,1nb,0,Short,,,,,,,
1,4,kuggeleijn,rahul,â€¢,0,Good,Outside-off,,Point,,,,
1,3,kuggeleijn,samson,W,0,Length,Outside-off,,Cover,Top-edge,,,Catch
1,2,kuggeleijn,samson,â€¢,0,Full,Outside-off,Drive,Point,,,,
1,2,kuggeleijn,samson,â€¢,0,Short,,Drive,Point,,,,
1,2,kuggeleijn,samson,1w,1,Short,Outside-off,Hook,,,,,
1,2,kuggeleijn,samson,1w,1,Short,,Hook,Leg-side,,,,
1,1,kuggeleijn,samson,6,6,Length,,,Long-on,,,,
0,6,southee,samson,1,1,Good,,,Cover,,,,
0,5,southee,rahul,1,1,Short,Outside-off,Pull,Midwicket,,,,
