Over,Ball No.,Bowler,Batsman,Outcome,Runs,Length,Line,Shot Type,Position,Hit Type,Variation,Speed,Field Activity
19,6,paterson,hardik,1,1,Yorker,,,Deep-square,,,,
19,5,paterson,pandey,1,1,,Outside-off,,Mid-off,,,,
19,4,paterson,pandey,2,2,Yorker,Middle-stump,,Long-on,,,,
19,3,paterson,hardik,1,1,Full,,,Cover,,,,
19,2,paterson,hardik,2,2,Yorker,Leg-stump,,Long-on,,,,Throw
19,2,paterson,hardik,2,2,Yorker,Leg-stump,,Long-on,,,Slower,
19,2,paterson,hardik,1w,1,Yorker,,,Mid-on,,,Slower,Throw
19,2,paterson,hardik,1w,1,,,,,,,Slower,
19,1,paterson,pandey,1,1,Short,Middle-stump,Pull,Deep-mid-wicket,,,,
18,6,morris,pandey,1,1,Full,Outside-off,,Midwicket,,,,
18,5,morris,hardik,1,1,Yorker,,Drive,Extra-cover,,,,
18,4,morris,hardik,4,4,Yorker,,,Square-leg,,,,Bowled
18,3,morris,hardik,4,4,Short,,Pull,Fine-leg,,,,
18,2,morris,hardik,â€¢,0,Yorker,Outside-off,,Off-side,Inside-edge,,,
18,2,morris,hardik,â€¢,0,Yorker,Outside-off,,Off-side,Inside-edge,,,
18,2,morris,hardik,1w,1,Yorker,Outside-off,,Leg-side,,,,
18,2,morris,hardik,1w,1,Yorker,,,Leg-side,,,,
18,1,morris,dhoni,W,0,Yorker,Leg-stump,,Backward-square-leg,,,,Bowled
17,6,paterson,dhoni,1,1,Good,Outside-off,,Fine-leg,,,Slower,
17,5,paterson,pandey,1,1,Yorker,Middle-stump,,Off-side,,,,
17,4,paterson,pandey,â€¢,0,Good,Outside-off,Cut,Extra-cover,,,Slower,
17,3,paterson,dhoni,1,1,Short,Middle-stump,,Fine-leg,,,,
17,2,paterson,dhoni,4,4,Full,Outside-off,,Mid-off,,,Fast,
17,1,paterson,pandey,1,1,Good,,,Short-third-man,,,Slower,
16,6,morris,dhoni,4,4,Length,Outside-off,Cut,Point,,,,
16,5,morris,pandey,1,1,Full,Leg-stump,,Long-on,,,,
16,5,morris,pandey,1,1,Full,Leg-stump,Pull,Long-on,,,,
16,5,morris,pandey,1w,1,Short,,Hook,Leg-side,,,,
16,5,morris,pandey,1w,1,Short,,Hook,Leg-side,,,,
16,4,morris,dhoni,1,1,Good,Leg-stump,,Square-leg,,,Slower,
16,3,morris,pandey,1,1,Yorker,Leg-stump,,Short-fine-leg,,,,
16,2,morris,dhoni,1,1,Good,Leg-stump,,Square-leg,,,,
16,1,morris,dhoni,2,2,Full,Outside-off,,Third-man,Outside-edge,,,
15,6,shamsi,pandey,â€¢,0,Good,,,Short-third-man,,,,
15,5,shamsi,pandey,â€¢,0,,Middle-stump,,Off-side,,,,
15,5,shamsi,pandey,â€¢,0,Short,Middle-stump,,Off-side,,,,
15,5,shamsi,pandey,1w,1,Good,,Glance,Leg-side,,,,
15,5,shamsi,pandey,1w,1,Good,,Glance,Leg-side,,,,
15,4,shamsi,pandey,2,2,Good,Outside-off,,Long-leg,,,,Throw
15,3,shamsi,dhoni,1,1,,Outside-off,,Long-off,,,,
15,2,shamsi,dhoni,â€¢,0,Short,,,Short-third-man,Outside-edge,Googly,,
15,1,shamsi,pandey,3,3,,,,Short-third-man,,,,Stop
14,6,phehlukwayo,pandey,1,1,Short,Outside-off,,Third-man,,,,
14,5,phehlukwayo,dhoni,1,1,Good,,,Mid-on,,,,
14,4,phehlukwayo,s dhawan,W,0,,,Scoop,,,,Slower,Bowled
14,3,phehlukwayo,s dhawan,4,4,Short,Leg-stump,Cut,Point,,,,
14,3,phehlukwayo,s dhawan,4,4,Short,Leg-stump,Cut,Point,,,Slower,
14,3,phehlukwayo,s dhawan,1w,1,Length,Outside-off,,Leg-side,,,Slower,
14,3,phehlukwayo,s dhawan,1w,1,Length,,,Leg-side,,,Slower,
14,2,phehlukwayo,s dhawan,â€¢,0,Yorker,,,Leg-side,Inside-edge,,,
14,1,phehlukwayo,pandey,1,1,Good,Outside-off,,Point,,,Slower,
13,6,dala,s dhawan,4,4,Short,,Pull,Deep-square,,,Slower,
13,5,dala,pandey,1,1,Short,Outside-off,Pull-shot,Mid-on,,,,Direct-hit
13,4,dala,s dhawan,1,1,Short,Leg-stump,Pull-shot,Deep-square,,,,Dive
13,3,dala,s dhawan,4,4,,Outside-off,Sweep,Midwicket,,,Slower,
13,2,dala,pandey,1,1,Good,Leg-stump,,Fine-leg,,,,
13,1,dala,pandey,â€¢,0,Good,Outside-off,,Off-side,,,,
12,6,phehlukwayo,pandey,1,1,Short,Outside-off,,Third-man,,,,
12,5,phehlukwayo,s dhawan,1,1,Full,Leg-stump,,Midwicket,,,Slower,
12,4,phehlukwayo,s dhawan,2,2,Good,Middle-stump,,Midwicket,,,,
12,3,phehlukwayo,s dhawan,2lb,0,Length,,Sweep,Leg-side,,,Slower,Stop
12,2,phehlukwayo,s dhawan,4,4,Good,,,Midwicket,,,,
12,1,phehlukwayo,s dhawan,â€¢,0,Good,,Cover-drive,Extra-cover,,,,
11,6,shamsi,pandey,â€¢,0,,,Cut,,,,,
11,5,shamsi,pandey,â€¢,0,,Leg-stump,,,,,,
11,4,shamsi,s dhawan,1,1,Short,Outside-off,Cut,Cover,,,,
11,3,shamsi,s dhawan,4,4,Short,,,Midwicket,,,,
11,2,shamsi,pandey,1,1,Good,Outside-off,,Cover,,,,
11,1,shamsi,pandey,6,6,Full,Outside-off,,Long-off,,Googly,,
10,6,smuts,pandey,1,1,Good,,,Long-on,,,,Stop
10,5,smuts,s dhawan,1,1,Good,Leg-stump,,Long-on,,,,
10,4,smuts,s dhawan,2,2,Length,Outside-off,,Long-on,,,,
10,3,smuts,pandey,1,1,Good,Middle-stump,,Square-leg,,,,
10,2,smuts,pandey,â€¢,0,Full,Outside-off,Drive,,,,,
10,1,smuts,s dhawan,1,1,Length,,,Midwicket,,,Slow,
9,6,shamsi,s dhawan,1,1,Full,Outside-off,,Long-off,,,,
9,5,shamsi,s dhawan,â€¢,0,Short,Outside-off,,Midwicket,,,,
9,4,shamsi,pandey,1,1,Full,Leg-stump,,Midwicket,,,,
9,3,shamsi,kohli,W,0,Length,Outside-off,,Long-on,Inside-edge,,,
9,2,shamsi,s dhawan,1,1,Full,,,Backward-square-leg,,,,
9,1,shamsi,kohli,1,1,,,,Short-third-man,,,,
8,6,smuts,kohli,1,1,,,,Midwicket,,,,
8,5,smuts,s dhawan,1,1,,,,Midwicket,,,Slower,
8,4,smuts,s dhawan,4,4,Short,,Pull,Midwicket,,,,
8,3,smuts,s dhawan,â€¢,0,Full,Outside-off,,Short-third-man,,,,
8,2,smuts,kohli,1,1,,Outside-off,,Long-on,,,,
8,1,smuts,s dhawan,1,1,Short,,,Midwicket,,,,Misfield
7,6,shamsi,s dhawan,1,1,Short,Outside-off,,Long-on,,,,
7,5,shamsi,kohli,1,1,Short,Leg-stump,,Square-leg,,Googly,,
7,4,shamsi,kohli,6,6,,Outside-off,Drive,Long-off,,,,
7,3,shamsi,kohli,2,2,Good,Leg-stump,,Square-leg,,,,
7,2,shamsi,kohli,4,4,Short,Outside-off,Cut-shot,Backward-point,,,,
7,1,shamsi,kohli,â€¢,0,,Middle-stump,,Long-on,,,,Catch
6,6,morris,s dhawan,4,4,Short,,,Point,,,,
6,5,morris,s dhawan,â€¢,0,Length,Outside-off,,Cover,,,,
6,4,morris,kohli,1,1,Good,,Drive,Mid-off,,,Pace,
6,3,morris,kohli,â€¢,0,Good,Outside-off,,Cover,,,,
6,2,morris,kohli,â€¢,0,Full,Outside-off,,Cover,,,,
6,2,morris,kohli,â€¢,0,Full,,,Cover,,,,
6,2,morris,kohli,1w,1,Short,Outside-off,,,,,,
6,2,morris,kohli,1w,1,,,,Leg-side,,,,
6,1,morris,kohli,â€¢,0,Full,Outside-off,Drive,Point,,,,
5,6,dala,s dhawan,4,4,Good,Outside-off,,Point,,,,
5,6,dala,s dhawan,4,4,Good,Outside-off,,Point,,,,
5,6,dala,s dhawan,1w,1,Short,Outside-off,,Backward-point,,,Slower,
5,6,dala,s dhawan,1w,1,Short,,,,,,Slower,
5,5,dala,s dhawan,6,6,Good,,,Fine-leg,,,,
5,4,dala,kohli,1,1,Good,Leg-stump,,Deep-square-leg,,,,
5,3,dala,s dhawan,1,1,Full,Outside-off,Drive,Cover,,,,Stop
5,2,dala,kohli,1,1,Good,Outside-off,,Point,,,,Direct-hit
5,1,dala,kohli,4,4,Full,Outside-off,,Cover,,,,Bowled
4,6,morris,s dhawan,4,4,Short,,,Fine-leg,,,Pace,Bowled
4,5,morris,s dhawan,4,4,Good,,,Fine-leg,,,,
4,4,morris,kohli,1,1,Good,Outside-off,,Point,,,,
4,3,morris,kohli,2,2,Full,Outside-off,Drive,Cover,,,,
4,2,morris,kohli,â€¢,0,Full,Outside-off,Cover-drive,Cover,,,,
4,1,morris,kohli,â€¢,0,Good,Outside-off,,Point,,,,
3,6,dala,raina,W,0,Full,,,Leg-side,,,,Catch
3,5,dala,raina,4,4,Full,Outside-off,,Backward-point,,,,Bowled
3,4,dala,raina,â€¢,0,Length,Leg-stump,,Square-leg,,,,
3,3,dala,s dhawan,1,1,Good,,,Deep-square-leg,,,,
3,3,dala,s dhawan,1,1,Good,,Glance,Deep-square-leg,,,,
3,3,dala,s dhawan,1w,1,Good,,Pull,Slip,,,,
3,3,dala,s dhawan,1w,1,Good,,Pull,Slip,,,,
3,2,dala,s dhawan,â€¢,0,Good,,,,,,,
3,1,dala,s dhawan,6,6,Full,Leg-stump,,Midwicket,,,,
2,6,paterson,raina,4,4,Good,,,Mid-off,,,,
2,5,paterson,raina,6,6,Short,,,Midwicket,,,,
2,4,paterson,s dhawan,1,1,Good,Leg-stump,Pull,Fine-leg,,,,
2,3,paterson,raina,1,1,Good,,,Mid-on,,,,
2,2,paterson,s dhawan,1,1,,Outside-off,,Backward-point,,,,
2,1,paterson,s dhawan,â€¢,0,Good,Outside-off,Cut,,,,,
1,6,dala,raina,â€¢,0,Good,Outside-off,,Mid-off,,,,
1,6,dala,raina,â€¢,0,Good,,,Mid-off,,,,
1,6,dala,raina,1w,1,Full,Leg-stump,,Off-side,,,,
