Over,Ball No.,Bowler,Batsman,Outcome,Runs,Length,Line,Shot Type,Position,Hit Type,Variation,Speed,Field Activity
19,6,rabada,saini,1b,1,Good,Leg-stump,,Cover,,,Slower,
19,5,rabada,hardik,W,0,Length,,,Long-on,,,,Catch
19,5,rabada,hardik,W,0,Good,,,Long-on,,,,Run-out
19,5,rabada,sundar,1W,1,Short,,,Leg-side,,,,Run-out
19,5,rabada,sundar,1W,1,Short,,,Leg-side,,,,Run-out
19,4,rabada,sundar,4,4,Short,,,Fine-leg,,,Pace,Bowled
19,3,rabada,hardik,1,1,Full,Outside-off,,Midwicket,,,Fast,
19,2,rabada,hardik,â€¢,0,Full,,,Midwicket,,,Slower,
19,1,rabada,jadeja,W,0,Length,,,Midwicket,,,,Catch
18,6,phehlukwayo,hardik,4,4,Length,Outside-off,,Extra-cover,,,Slower,
18,5,phehlukwayo,jadeja,1,1,Full,Middle-stump,,Midwicket,,,Slower,
18,4,phehlukwayo,hardik,1,1,Short,Outside-off,,Long-on,,,Slower,
18,3,phehlukwayo,hardik,â€¢,0,,Outside-off,,,,Leg-cutter,Slower,
18,2,phehlukwayo,hardik,2,2,Good,,,Cover,,,Slower,
18,1,phehlukwayo,jadeja,1,1,,,,Cover,,,Slower,
17,6,rabada,jadeja,1,1,Good,,,Square-leg,,,,
17,5,rabada,hardik,1,1,Length,Middle-stump,,Midwicket,,,,
17,4,rabada,hardik,â€¢,0,,Outside-off,Pull,,Top-edge,,Slower,
17,3,rabada,jadeja,1,1,Good,Middle-stump,,Cover,,,,
17,2,rabada,jadeja,6,6,Length,,,,,,,
17,1,rabada,jadeja,â€¢,0,Good,Outside-off,,Backward-point,,,,
16,6,hendricks,jadeja,1,1,Short,,Pull,Backward-square-leg,,,,
16,5,hendricks,hardik,1,1,Length,,,Long-on,,,,
16,4,hendricks,hardik,â€¢,0,Full,Outside-off,,Point,,,,
16,3,hendricks,jadeja,1,1,Length,,,Midwicket,Inside-edge,,,
16,2,hendricks,hardik,1,1,Short,Outside-off,,Deep-point,,,,
16,1,hendricks,jadeja,1,1,Good,,,Off-side,,,,
15,6,phehlukwayo,hardik,â€¢,0,Full,Outside-off,,On-side,,Leg-cutter,Slower,Bowled
15,5,phehlukwayo,hardik,â€¢,0,Good,,,Mid-off,,,,
15,4,phehlukwayo,jadeja,1,1,Good,Outside-off,,Third-man,,,,
15,3,phehlukwayo,jadeja,â€¢,0,Length,,,Mid-off,,,,
15,2,phehlukwayo,jadeja,â€¢,0,Length,Middle-stump,,,,,,
15,1,phehlukwayo,jadeja,4,4,Length,,Drive,Mid-off,Thick-edge,,Slow,
14,6,hendricks,jadeja,1,1,Short,,,Fine-leg,,,,
14,5,hendricks,jadeja,â€¢,0,Good,,,,Outside-edge,,,
14,4,hendricks,jadeja,â€¢,0,Good,,,,,,,
14,3,hendricks,krunal,W,0,Good,,,Third-man,Thin-edge,,,
14,2,hendricks,hardik,1,1,Short,Outside-off,,Cover,,,,
14,1,hendricks,hardik,â€¢,0,Good,Outside-off,Drive,Cover,,,,
13,6,shamsi,krunal,â€¢,0,Full,Leg-stump,,Backward-point,,,,Catch
13,5,shamsi,krunal,â€¢,0,Short,Outside-off,Cut,,Outside-edge,,,
13,4,shamsi,hardik,1,1,,,,Backward-square-leg,,,,
13,3,shamsi,krunal,1,1,,Outside-off,,Extra-cover,,,,Stop
13,2,shamsi,krunal,â€¢,0,,Outside-off,,Extra-cover,,,,
13,1,shamsi,krunal,2,2,,Outside-off,,Backward-point,,,,
