Over,Ball No.,Bowler,Batsman,Outcome,Runs,Length,Line,Shot Type,Position,Hit Type,Variation,Speed,Field Activity
19,2,perera,pandey,4,4,Length,Outside-off,,Extra-cover,,,,
19,1,perera,dhoni,1,1,Full,,,Long-leg,,,,
18,6,udana,pandey,2,2,Length,,,Midwicket,,,Pace,
18,5,udana,pandey,4,4,Short,Outside-off,,Extra-cover,,,Slower,
18,4,udana,pandey,2,2,Full,Outside-off,,,,,,
18,3,udana,kohli,W,0,Length,,,Midwicket,,,Slower,
18,2,udana,kohli,â€¢,0,Good,Outside-off,Upper-cut,,,,,
18,1,udana,pandey,1,1,,Outside-off,,Short-third-man,,,,Stop
17,6,malinga,kohli,4,4,Full,Outside-off,,Cover,,,,
17,5,malinga,pandey,1,1,Full,Outside-off,,Third-man,,,,
17,4,malinga,kohli,1,1,Full,Outside-off,,Extra-cover,,,,Stop
17,4,malinga,kohli,1,1,Full,Outside-off,,Extra-cover,,,,
17,4,malinga,kohli,3nb,0,Full,Outside-off,Pull,Extra-cover,,,,Stop
17,4,malinga,kohli,3nb,0,Full,,Pull,Slip,,,,
17,3,malinga,pandey,1,1,Yorker,Outside-off,,Backward-point,,,,Stop
17,2,malinga,kohli,1,1,Full,Outside-off,,Cover,,,,Throw
17,1,malinga,pandey,1,1,Full,Outside-off,,Cover,,,,
16,6,dananjaya,pandey,1,1,Full,Outside-off,,Long-on,,,,
16,5,dananjaya,kohli,1,1,Short,Outside-off,,Short-third-man,,,,
16,4,dananjaya,pandey,1,1,,,,Long-off,,,,
16,3,dananjaya,kohli,1,1,Full,,,Long-on,,,,
16,2,dananjaya,pandey,1,1,,,,Long-off,,,,
16,1,dananjaya,kohli,1,1,,Outside-off,,Extra-cover,,,,Stop
15,6,malinga,kohli,1,1,Yorker,,,Long-on,,,,
15,5,malinga,kohli,4,4,Good,,,Long-on,,,,
15,4,malinga,kohli,2,2,,Outside-off,,Third-man,Thick-edge,,,Dive
15,3,malinga,pandey,1,1,Yorker,Outside-off,,Point,,,,
15,2,malinga,kohli,1,1,Full,Outside-off,,Extra-cover,,,,
15,1,malinga,kohli,â€¢,0,Yorker,Outside-off,,Point,,,,
14,6,dananjaya,kohli,1,1,Short,Leg-stump,,Midwicket,,,,
14,5,dananjaya,kohli,â€¢,0,Good,,,,Outside-edge,,,
