Over,Ball No.,Bowler,Batsman,Outcome,Runs,Length,Line,Shot Type,Position,Hit Type,Variation,Speed,Field Activity
17,3,lahiru kumara,kohli,6,6,Short,,,Long-leg,,,Pace,
17,2,lahiru kumara,pant,1,1,Short,,,Deep-square-leg,,,,
17,1,lahiru kumara,shreyas iyer,W,0,Short,Outside-off,Pull,Deep-square-leg,,,Pace,
16,6,malinga,shreyas iyer,1,1,,,,Deep-mid-wicket,,,Slower,
16,5,malinga,kohli,1,1,Full,,,Deep-mid-wicket,,,,
16,4,malinga,kohli,2,2,Full,,,Deep-mid-wicket,,,,
16,3,malinga,kohli,6,6,Short,,,Long-leg,,,Pace,
16,2,malinga,kohli,2,2,Short,,Pull,Deep-square-leg,,,,Dive
16,1,malinga,kohli,4,4,,Leg-stump,,Fine-leg,Inside-edge,,Slower,
15,6,hasaranga,shreyas iyer,6,6,,,,Long-on,,,,
15,5,hasaranga,shreyas iyer,4,4,Length,Outside-off,Sweep,Deep-mid-wicket,,,,
15,4,hasaranga,kohli,1,1,Length,,Drive,Long-off,,,,
15,3,hasaranga,shreyas iyer,1,1,,,,Long-on,,Slider,,
15,2,hasaranga,shreyas iyer,4,4,,,,Long-off,,,,
15,1,hasaranga,kohli,1,1,,,Sweep,Deep-mid-wicket,,,,
14,6,shanaka,kohli,1,1,Length,,,Deep-mid-wicket,,,Slower,
14,5,shanaka,shreyas iyer,1,1,Short,Outside-off,Pull,Deep-mid-wicket,,,Slower,
14,4,shanaka,kohli,1,1,Length,,Drive,Long-on,,,,
14,3,shanaka,shreyas iyer,1,1,,,Drive,Short-fine-leg,Inside-edge,,Slow,
14,2,shanaka,kohli,1,1,Short,,,Backward-square-leg,,,Slower,
14,1,shanaka,kohli,â€¢,0,,Outside-off,,Cover,,,Slower,
13,6,lahiru kumara,shreyas iyer,â€¢,0,Short,,,,,,Fast,
13,5,lahiru kumara,shreyas iyer,4,4,,,,,,,Fast,Bowled
13,4,lahiru kumara,shreyas iyer,â€¢,0,Short,,,,,,,
13,3,lahiru kumara,kohli,1,1,Short,,,Deep-square-leg,,,,
13,2,lahiru kumara,shreyas iyer,1,1,,,,Long-on,,,,
13,1,lahiru kumara,shreyas iyer,â€¢,0,Short,,,Point,,,,
12,6,malinga,shreyas iyer,1,1,Short,,,Third-man,,,Slower,
12,5,malinga,shreyas iyer,â€¢,0,Yorker,,,Slip,,,,
12,4,malinga,kohli,1,1,Good,,Pull,Fine-leg,,,,
12,3,malinga,shreyas iyer,1,1,,,,Off-side,,,Slower,
12,2,malinga,kohli,1,1,Length,Outside-off,,Third-man,,,Pace,
12,1,malinga,shreyas iyer,1,1,Short,Outside-off,,Third-man,,,Slower,
11,6,hasaranga,shreyas iyer,1,1,Length,Outside-off,,Cover,,,,
11,5,hasaranga,shreyas iyer,â€¢,0,Length,,,Cover,,,Spin,
11,4,hasaranga,kohli,1,1,Short,,,Long-on,,,,
11,3,hasaranga,kohli,â€¢,0,Full,Outside-off,,Off-side,,Googly,,
11,2,hasaranga,s dhawan,W,0,,Leg-stump,Sweep,,Inside-edge,,,
11,1,hasaranga,shreyas iyer,1,1,,,,Point,,,,
10,6,shanaka,s dhawan,4,4,Short,,,Deep-square-leg,,,,
10,5,shanaka,shreyas iyer,1,1,,,,Fine-leg,,,Slower,Dive
10,4,shanaka,shreyas iyer,â€¢,0,Length,,,,,,,
10,3,shanaka,s dhawan,1,1,Short,Outside-off,Pull-shot,Deep-square-leg,,,,
10,2,shanaka,shreyas iyer,1,1,Good,,,Point,,,Slower,
10,1,shanaka,s dhawan,1,1,Length,,,Deep-mid-wicket,,,,
9,6,hasaranga,s dhawan,1,1,Full,,,Deep-point,,,,
9,5,hasaranga,shreyas iyer,1,1,Length,,,Long-on,,Googly,,
9,4,hasaranga,s dhawan,1,1,Length,,,Deep-mid-wicket,,,,
9,3,hasaranga,shreyas iyer,1,1,Length,,,Long-on,,,,
9,2,hasaranga,shreyas iyer,2,2,Short,,,Backward-point,,Googly,,
9,1,hasaranga,rahul,W,0,,Outside-off,,,Inside-edge,Googly,,Bowled
8,6,shanaka,s dhawan,â€¢,0,Full,,,,,,Slower,
8,5,shanaka,s dhawan,4,4,Length,,,Mid-off,,,Slower,
8,4,shanaka,rahul,1,1,Short,,,Deep-square-leg,,,Slower,
8,3,shanaka,s dhawan,1,1,Short,,,Deep-square-leg,,,,
8,2,shanaka,s dhawan,â€¢,0,Full,,,Mid-off,,,Slower,
8,1,shanaka,s dhawan,2,2,Short,,Pull,Fine-leg,,,,
7,6,hasaranga,rahul,â€¢,0,,,,Extra-cover,,,,
7,5,hasaranga,s dhawan,1,1,Length,,,Extra-cover,,,,
7,4,hasaranga,s dhawan,â€¢,0,,,,,Inside-edge,,Slow,
7,3,hasaranga,rahul,1,1,Length,,,Extra-cover,,,,
7,2,hasaranga,s dhawan,1,1,,,,Deep-mid-wicket,,,Spin,
7,1,hasaranga,rahul,1,1,Short,,,Extra-cover,,,,
6,6,shanaka,rahul,1,1,Length,,,Deep-mid-wicket,,,Slower,
6,5,shanaka,rahul,â€¢,0,Length,,,Cover,,,Slower,
6,4,shanaka,rahul,2,2,,Outside-off,,Long-on,,,,Stop
6,3,shanaka,s dhawan,1,1,Short,,,Deep-point,,,,
6,2,shanaka,rahul,1,1,Length,,,Cover,,,,Stop
6,1,shanaka,rahul,â€¢,0,Length,Outside-off,,Point,,,Slower,
5,6,dhananjaya,rahul,1,1,Full,,,Long-on,,,,Misfield
5,5,dhananjaya,s dhawan,1,1,Length,Outside-off,Drive,Long-on,,,,
5,4,dhananjaya,rahul,1,1,Length,,,,,,,
5,3,dhananjaya,rahul,â€¢,0,Length,Outside-off,,Cover,,,,
5,2,dhananjaya,s dhawan,1b,1,,,,Fine-leg,Inside-edge,,,Stumping
5,1,dhananjaya,rahul,1,1,Full,,Drive,Long-on,,,,
4,6,lahiru kumara,s dhawan,â€¢,0,Full,Outside-off,Drive,,,,Slower,
4,5,lahiru kumara,rahul,1lb,0,Short,,Pull,Third-man,,,,
4,4,lahiru kumara,rahul,â€¢,0,Short,Outside-off,,Leg-side,,,,
4,3,lahiru kumara,rahul,4,4,Full,,Drive,Cover,,,,
4,2,lahiru kumara,rahul,4,4,Good,,,Cover,,,Slower,
4,1,lahiru kumara,s dhawan,1,1,Short,Outside-off,,Third-man,,,,
3,6,dhananjaya,s dhawan,1,1,Full,,,Long-off,,,,
3,5,dhananjaya,rahul,1,1,Length,,,Long-on,,,,
3,4,dhananjaya,rahul,2,2,Short,,Cut,Third-man,Top-edge,,,
3,3,dhananjaya,rahul,2,2,Short,Outside-off,Pull,Third-man,,,,Dive
3,2,dhananjaya,rahul,4,4,Length,Outside-off,,Cover,,,,
3,1,dhananjaya,s dhawan,1,1,Full,,Drive,Long-off,,,,
2,6,malinga,rahul,2,2,Short,,,Deep-mid-wicket,,,Slower,
2,5,malinga,s dhawan,1,1,,,Cut,Cover,,,,
2,4,malinga,rahul,1,1,Length,Outside-off,,Third-man,,,,
2,3,malinga,rahul,â€¢,0,Length,Outside-off,,Cover,,,,
2,2,malinga,rahul,4,4,Good,,Cover-drive,Cover,,,,
2,1,malinga,rahul,4,4,,Outside-off,,Extra-cover,,,,
1,6,lahiru kumara,rahul,1,1,Short,Outside-off,,Third-man,,,,
1,5,lahiru kumara,rahul,4,4,Full,,,Midwicket,,,Pace,
1,4,lahiru kumara,rahul,â€¢,0,Short,Outside-off,,,,,,
1,3,lahiru kumara,s dhawan,1,1,,,Drive,Third-man,,,,
1,2,lahiru kumara,rahul,1,1,Length,,,Leg-side,,,,
1,1,lahiru kumara,s dhawan,1,1,Full,,Drive,Third-man,,,Fast,Bowled
0,6,malinga,s dhawan,5,5,Good,,,Mid-off,,,,Throw
0,5,malinga,s dhawan,â€¢,0,Yorker,,,Leg-side,,,,
0,4,malinga,s dhawan,2,2,,Outside-off,,Point,,,Slower,Throw
0,3,malinga,s dhawan,â€¢,0,Yorker,,,,,,,
0,2,malinga,s dhawan,â€¢,0,Full,,,Mid-on,Inside-edge,,,
0,1,malinga,rahul,1,1,Short,Outside-off,,Third-man,,,,
