Over,Ball No.,Bowler,Batsman,Outcome,Runs,Length,Line,Shot Type,Position,Hit Type,Variation,Speed,Field Activity
19,1,brathwaite,pant,6,6,Full,,Drive,,,,,
18,6,cottrell,pandey,â€¢,0,Full,Outside-off,,,,,Pace,
18,5,cottrell,pandey,â€¢,0,Good,Leg-stump,Pull,,,,,
18,4,cottrell,pant,1,1,Length,Outside-off,,Long-off,,,,
18,3,cottrell,pandey,1,1,Full,Leg-stump,Drive,Long-on,,,,
18,2,cottrell,pandey,â€¢,0,Full,,,Mid-on,,,,
18,1,cottrell,pant,1,1,Full,,,Square-leg,,,,
17,6,thomas,pant,1,1,Full,,,Mid-on,,,,
17,5,thomas,pant,6,6,Full,Leg-stump,,Leg-side,,,,
17,4,thomas,pandey,1,1,Full,Outside-off,Drive,Mid-off,,,,
17,3,thomas,kohli,W,0,Yorker,,,Point,,,,Bowled
17,2,thomas,kohli,4,4,Length,Outside-off,,Midwicket,,,,
17,1,thomas,kohli,â€¢,0,Yorker,,,,,,,
16,6,cottrell,pant,4,4,Full,,,Short-fine-leg,,,,
16,5,cottrell,pant,â€¢,0,Good,,,Midwicket,,,,
16,4,cottrell,kohli,1,1,,Outside-off,,Midwicket,,,Slower,
16,3,cottrell,pant,1,1,Yorker,Leg-stump,,Deep-square-leg,,,,
16,2,cottrell,pant,2,2,Yorker,Leg-stump,,Midwicket,,,,
16,1,cottrell,kohli,1,1,Short,,,Deep-point,,,,
15,6,narine,pant,4,4,Full,,Sweep,Short-third-man,,,,
15,5,narine,kohli,1,1,Full,,,Long-on,,,,
15,4,narine,kohli,â€¢,0,Length,Outside-off,,Mid-off,,,Slower,
15,3,narine,pant,1,1,Length,Outside-off,Cut,Cover,,,,
15,2,narine,kohli,1,1,,,,Square-leg,,,,
15,1,narine,kohli,4,4,Length,,,Midwicket,,,,
14,6,paul,pant,6,6,Full,,,Extra-cover,,,Slower,
14,5,paul,kohli,1,1,Length,Outside-off,Cut,Deep-point,,,Slower,
14,4,paul,kohli,4,4,Full,Outside-off,,Long-on,,,,
14,3,paul,pant,1,1,Length,,,Long-on,,,,
14,2,paul,kohli,1,1,Full,Outside-off,Drive,Long-off,,,,
14,1,paul,pant,1,1,Full,,,Midwicket,,,,
13,6,brathwaite,kohli,4,4,Full,Outside-off,Drive,Extra-cover,,,,
13,5,brathwaite,kohli,2,2,,,,Long-on,,,Slower,
13,4,brathwaite,kohli,â€¢,0,Length,,,Slip,,,Slower,
13,3,brathwaite,pant,1,1,Full,,,Long-on,,,,
13,2,brathwaite,kohli,1,1,Full,,,Backward-point,,,Pace,
13,1,brathwaite,kohli,2,2,Length,Outside-off,,Extra-cover,,Leg-cutter,,
12,6,paul,pant,â€¢,0,Full,Outside-off,,,,,,Stop
12,5,paul,pant,6,6,Full,Outside-off,Drive,Cover,,,,
12,4,paul,kohli,1,1,Length,Outside-off,,Long-on,,,,
12,3,paul,pant,1,1,Length,,Pull,Long-on,,,,
12,2,paul,pant,â€¢,0,Yorker,Outside-off,,,,,,
12,1,paul,kohli,1,1,,,,Midwicket,,,,
11,6,narine,pant,â€¢,0,Full,Outside-off,,Cover,,,Spin,
11,5,narine,kohli,1,1,Short,,,Mid-on,,,,
11,4,narine,pant,1,1,Length,,Cut,Deep-point,,,Slower,
