Over,Ball No.,Bowler,Batsman,Outcome,Runs,Length,Line,Shot Type,Position,Hit Type,Variation,Speed,Field Activity
19,6,williams,ashwin,4,4,Full,,,Long-on,,,,
19,5,williams,ashwin,2,2,Good,,,Cover,,,Slower,
19,4,williams,jadeja,1,1,Full,Outside-off,,Long-off,,,,
19,3,williams,jadeja,4lb,0,Good,,,Fine-leg,,,,
19,2,williams,jadeja,6,6,Full,Outside-off,,Long-on,,,Slower,
19,1,williams,ashwin,1,1,Full,,,Long-off,,,Slower,
18,6,taylor,ashwin,1,1,Full,Middle-stump,,Midwicket,,,,
18,5,taylor,jadeja,1,1,Full,Outside-off,,Extra-cover,Inside-edge,,,
18,4,taylor,ashwin,1,1,Full,,,Long-on,,,,
18,3,taylor,jadeja,1,1,Good,,Cut-shot,Third-man,Outside-edge,,,
18,2,taylor,ashwin,1,1,Yorker,Outside-off,,Third-man,,,,
18,2,taylor,ashwin,1,1,Yorker,Outside-off,,Third-man,,,Pace,
18,2,taylor,jadeja,2w,2,Yorker,,,Fine-leg,,,,Dive
18,2,taylor,jadeja,2w,2,Yorker,,,Fine-leg,,,Pace,Dive
18,1,taylor,ashwin,1,1,Full,Leg-stump,,Deep-square-leg,,,,
17,6,williams,jadhav,W,0,Good,,Pull,Deep-square-leg,,,,Catch
17,5,williams,jadeja,1,1,Good,,Pull,Long-on,,,,
17,4,williams,jadhav,1,1,Good,Outside-off,,Long-off,,,Slower,
17,3,williams,jadeja,1,1,Good,Leg-stump,,Backward-square-leg,,,Slower,
17,2,williams,jadhav,1,1,Short,,Cut,Backward-point,,,,
17,1,williams,jadhav,2,2,Short,,,,,,Slower,
16,6,taylor,jadeja,2,2,Good,,,Midwicket,,,,
16,5,taylor,pant,W,0,Good,,,Third-man,,,Slow,
16,4,taylor,dhoni,W,0,Good,Outside-off,,Backward-point,,,Slower,Catch
16,3,taylor,pant,1,1,Full,,,Point,,,,
16,2,taylor,dhoni,1,1,Good,Outside-off,,Extra-cover,,,,
16,1,taylor,pant,1,1,Full,,,Cover,,,,
15,6,samuels,pant,1,1,Good,Outside-off,,Long-on,,,,
15,5,samuels,dhoni,1,1,Good,Middle-stump,,Leg-side,,,,
15,4,samuels,karthik,W,0,Good,Middle-stump,Sweep,Long-leg,,,,Bowled
15,3,samuels,pant,1,1,Good,Outside-off,,Long-on,,,,
15,2,samuels,pant,4,4,Good,Outside-off,,Extra-cover,,,,
15,1,samuels,pant,6,6,Good,Middle-stump,,Midwicket,,,,
14,6,taylor,pant,1,1,Full,,Drive,Long-on,,,,
14,5,taylor,karthik,1,1,Good,Outside-off,,Third-man,,,Slower,
14,4,taylor,pant,1,1,Short,,Pull,Midwicket,,,,
14,3,taylor,pant,â€¢,0,,,Hook,,,,,Throw
14,2,taylor,karthik,1,1,Full,Leg-stump,,Long-on,,,Pace,
14,1,taylor,pant,1,1,Good,,,Cover,,,,
13,6,samuels,karthik,4,4,Length,Middle-stump,Sweep,Short-third-man,,,,
13,5,samuels,pant,1,1,Good,,,Long-off,,,,Dive
13,4,samuels,pant,â€¢,0,Good,Outside-off,,Midwicket,,,,
13,3,samuels,karthik,1,1,Length,,,Midwicket,,,,
13,2,samuels,pant,1,1,Good,Outside-off,,Extra-cover,,,,
13,1,samuels,pant,â€¢,0,Good,,,Cover,,,,
12,6,brathwaite,karthik,6,6,Short,,Pull,Square-leg,,,,
12,5,brathwaite,karthik,â€¢,0,Good,,,Point,,,,
12,4,brathwaite,karthik,â€¢,0,Good,Outside-off,,Leg-side,,,,Throw
12,4,brathwaite,karthik,â€¢,0,Good,Outside-off,,Leg-side,,,,Throw
12,4,brathwaite,karthik,1w,1,Yorker,,,,,,,
12,4,brathwaite,karthik,1w,1,Yorker,,,,,,,
12,3,brathwaite,karthik,6,6,Length,Outside-off,Pull,Short-fine-leg,,,,
12,2,brathwaite,karthik,â€¢,0,Good,Outside-off,,Third-man,,,,
12,1,brathwaite,pant,1,1,Short,,Pull,Long-on,,,,
11,6,narine,karthik,4,4,Short,,Cut,Backward-point,,,,
11,5,narine,pant,1,1,Good,,,Cover,,,,
11,4,narine,pant,â€¢,0,Good,,Cut,,,,,
11,3,narine,karthik,1,1,Good,,,Short-fine-leg,Inside-edge,,,
11,2,narine,pant,1,1,Good,Outside-off,Cut,Extra-cover,,,,
11,1,narine,pant,2,2,Good,Outside-off,,,,,,
10,6,samuels,karthik,4,4,Good,Outside-off,Sweep,Short-fine-leg,,,,
10,5,samuels,karthik,6,6,Good,Outside-off,Sweep,Deep-mid-wicket,,,,
10,4,samuels,pant,1,1,,,Pull,Deep-square,,,,
10,3,samuels,pant,â€¢,0,Good,Outside-off,,Extra-cover,,,,
10,2,samuels,pant,â€¢,0,Good,Outside-off,Drive,Backward-point,,,,
10,1,samuels,karthik,1,1,Good,Outside-off,,Long-on,,,,
9,6,narine,karthik,1,1,Good,Middle-stump,,Long-on,,,,
9,5,narine,karthik,â€¢,0,Short,,,Backward-point,,,,
9,4,narine,karthik,â€¢,0,Short,Outside-off,Cut,Backward-point,,Carrom-ball,,
9,3,narine,karthik,4,4,Length,Outside-off,Sweep,Square-leg,,,,
9,2,narine,karthik,â€¢,0,Good,Middle-stump,Scoop,Short-fine-leg,,,,
9,1,narine,pant,1,1,Short,,Cut,Cover,,,,
8,6,badree,pant,1,1,Short,,Pull-shot,Deep-square-leg,,Googly,,
8,5,badree,karthik,1,1,Short,Middle-stump,Pull-shot,Midwicket,,Wrong'un,,
8,4,badree,pant,1,1,Good,Outside-off,,Cover,,,,
8,3,badree,pant,4,4,Short,Middle-stump,,Midwicket,,,,Dive
8,2,badree,karthik,1,1,Full,Leg-stump,,Midwicket,,,,
8,1,badree,pant,1,1,Good,,,Short-third-man,,,,
7,6,narine,karthik,â€¢,0,Full,Leg-stump,Drive,Midwicket,,,,
7,5,narine,pant,1,1,Short,,,Backward-point,,,Spin,
7,4,narine,karthik,1,1,Good,Outside-off,Reverse-sweep,Short-third-man,,,,
7,3,narine,karthik,4,4,Short,,,Backward-point,,,,
7,2,narine,karthik,â€¢,0,Good,,,Off-side,,,,
7,1,narine,pant,1,1,Short,Middle-stump,,Backward-square-leg,,,,
6,6,badree,karthik,â€¢,0,Good,Outside-off,Drive,Cover,Inside-edge,Googly,,
6,5,badree,karthik,2lb,0,Good,,,Leg-side,,Googly,,
6,4,badree,pant,1,1,Short,,,Cover,,,,
6,3,badree,karthik,1,1,Good,,,Cover,,,,
6,2,badree,pant,1,1,Good,Outside-off,,Short-third-man,,Googly,,
6,1,badree,pant,â€¢,0,Good,Outside-off,,Midwicket,,,,
5,6,williams,pant,1,1,Good,,,Mid-off,,,Slower,Run-out
5,5,williams,pant,W,0,Short,Middle-stump,,Leg-side,,,,Run-out
5,4,williams,s dhawan,1,1,Good,Middle-stump,,Deep-square-leg,,,,
5,3,williams,kohli,W,0,,,,Mid-on,,,Slower,Bowled
5,2,williams,kohli,4,4,Short,,,Third-man,,,,
5,1,williams,kohli,6,6,Short,,,Long-on,,,,
4,6,brathwaite,kohli,1,1,Good,Middle-stump,,Midwicket,,,,
4,5,brathwaite,kohli,â€¢,0,Length,,,Mid-off,,,,
4,5,brathwaite,kohli,â€¢,0,Length,,,Mid-off,,,,
4,5,brathwaite,kohli,â€¢,0,Length,,Cut,Mid-off,,,,
4,5,brathwaite,kohli,1w,1,Full,,,,,,,
4,5,brathwaite,kohli,1w,1,Full,,,,,,,
4,5,brathwaite,kohli,1w,1,Full,,Cut,,,,,
4,5,brathwaite,kohli,1w,1,Length,,,Leg-side,,,,
4,5,brathwaite,kohli,1w,1,,,,Leg-side,,,,
4,5,brathwaite,kohli,1w,1,,,Cut,Leg-side,,,,
4,4,brathwaite,kohli,4,4,Good,Middle-stump,Drive,Extra-cover,,,,
4,3,brathwaite,kohli,â€¢,0,Good,,,Third-man,Outside-edge,,,
4,2,brathwaite,s dhawan,1,1,Short,,,Third-man,,,,
4,1,brathwaite,s dhawan,4,4,Short,Outside-off,,Third-man,,,,
3,6,williams,s dhawan,1,1,Good,Leg-stump,,Deep-square-leg,,,,Bowled
3,5,williams,kohli,1,1,Good,,,Third-man,,,,
3,4,williams,kohli,4,4,Short,,,Midwicket,,,,
3,3,williams,kohli,4,4,Short,Outside-off,Pull,Mid-off,,,,
3,2,williams,kohli,â€¢,0,Good,,,Cover,,,,
3,1,williams,kohli,â€¢,0,Short,Outside-off,Upper-cut,,,,,
2,6,badree,s dhawan,â€¢,0,Good,,,,,,,
2,5,badree,s dhawan,4,4,Full,Outside-off,Drive,Short-third-man,Outside-edge,Googly,,
2,4,badree,s dhawan,â€¢,0,Good,Outside-off,Cut,Backward-point,,Googly,,
2,3,badree,kohli,1,1,Good,Middle-stump,,Leg-side,,,,
2,2,badree,kohli,â€¢,0,Good,Outside-off,,Extra-cover,,,Slower,
2,1,badree,kohli,â€¢,0,Good,Outside-off,Cut-shot,,Outside-edge,,,
2,1,badree,kohli,â€¢,0,Good,Outside-off,Cut-shot,,Outside-edge,,,
2,1,badree,kohli,1w,1,Full,Outside-off,Sweep,Leg-side,,,,
2,1,badree,kohli,1w,1,Full,,Sweep,Leg-side,,,,
1,6,taylor,s dhawan,4,4,Good,,,Cover,,,,
1,5,taylor,kohli,1,1,Good,Outside-off,,Third-man,,,,
1,4,taylor,kohli,â€¢,0,Good,Outside-off,,Off-side,,,,
1,3,taylor,kohli,â€¢,0,Good,Outside-off,,,,,,
1,2,taylor,kohli,4,4,Length,,,Fine-leg,,,,
1,1,taylor,kohli,4,4,Full,,,Fine-leg,,,,Bowled
0,6,badree,s dhawan,â€¢,0,Good,,,,,,Slower,
0,5,badree,s dhawan,4,4,Short,Leg-stump,,Long-leg,,,,
0,4,badree,s dhawan,â€¢,0,Length,Leg-stump,,Midwicket,,,,
0,3,badree,s dhawan,4,4,Short,Leg-stump,,Long-leg,,Googly,,
0,2,badree,kohli,1,1,Good,Middle-stump,,Long-on,,,,
0,1,badree,kohli,4,4,Length,,Glance,Fine-leg,,,,
