ball,score,commentary,second_commentary
19.6,6,"Green to Hardik,  SIX runs SIX runs Three in a row! Upper cut over deep third. The full array from Hardik! Short and climbing outside off and he uses the pace to loft it into the crowd!","Green to Hardik Pandya, SIX, hat-trick of sixes to finish the innings. Hardik has played a blinder here and he walks off delighted. Green goes short and outside off, there was deep backward point in place but it didn't matter to Hardik, he went for the upper cut and beat the fielder easily. The last over from Green was always going to be targeted and Hardik ensured India made the most of it"
19.5,6,"Green to Hardik,  SIX runs SIX runs lofted over long off! Sublime. Silky! He was sitting back, gets a full ball in the slot and just checks a drive through the line and it sails over the rope","Green to Hardik Pandya, SIX, this is why he denied the single. The confidence in Hardik is just oozing at the moment. This is a tremendous shot. Green misses the yorker length by a couple of inches and that is enough for Hardik, he lofts it with minimal followthrough and the ball sails comfortably over long-off"
19.4,6,"Green to Hardik,  SIX runs SIX runs swatted flat over deep midwicket! Slower ball sits in the pitch, he was sitting deep and waiting to smack it flat over the fence","Green to Hardik Pandya, SIX, geez! That ball hardly took off. As flat a six as you'd see. Slower ball dug into the wicket, Hardik waits on the back foot with his front leg cleared and nails the pull well beyond deep mid-wicket"
19.3,2,"Green to Hardik,  2 runs 2 runs top edge flies over the bowler and lands safe! Good bouncer, hurried him and he gets a thick top edge that lands at the bowler's mark as the men run in","Green to Hardik Pandya, 2 runs, in the air and lands safely. Short and rising, Hardik moves across and tries to swat the pull into the leg-side, the top-edge goes straight up and drops behind the bowler near mid-off, quick brace"
19.2,•,"Green to Hardik, no run no run length ball wide of off, 134kph, he miscues towards long off","Green to Hardik Pandya, no run, on a length and outside off, Hardik drills it to long-off and denies the single. He wants to face all the balls in this over and needs a change of bat. Might have damaged it with this mistimed shot"
19.1,1,"Green to Harshal,  1 run 1 run full on off, 139kph, he drives to long on","Green to Harshal Patel, 1 run, full and not quite in the blockhole, Harshal drills it straight down and it is only a single"
18.6,4,"Ellis to Hardik, FOUR runs FOUR runs delightful late cut to bring up 50 off 25! Short and wide, deep point is on square, he let it come and placed it behind point with superb timing See all photos","Nathan Ellis to Hardik Pandya, FOUR, fifty for Hardik. His second in T20Is and both have come since he made his return to the team. Today the platform was set and he came and unleashed himself. This is a cracking shot to reach the landmark. Off-pace and fraction short, Hardik just delays the bat swing to ensure that the cut goes square and not close to the sweeper"
18.5,1,"Ellis to Harshal,  1 run 1 run shorter slower ball, he miscues a pull shot to long on on the bounce","Nathan Ellis to Harshal Patel, 1 run, slower short of length delivery and Harshal pulls it on the bounce to long-on"
18.4,1,"Ellis to Hardik,  1 run 1 run good length, chopped into the off side","Nathan Ellis to Hardik Pandya, 1 run, off-pace delivery, Hardik chops it into the cover region and he takes the single"
18.3,1,"Ellis to Harshal,  1 run 1 run magnificent save from Maxwell at long on! Lofted powerfully to long on, looks a certain six, Maxwell leaps high over the rope, catches it in mid air, flicks it back, lands outside the rope without the ball but saves five runs. Poetry in motion See all photos","Nathan Ellis to Harshal Patel, 1 run, brilliance by Maxi. He's saved five runs for his team. Slower ball and Harshal picked it right out of the hand, lofts through the line and stands there admiring the shot, but Maxi jumps high and catches it with both hands, releases the ball before he hits the ground beyond the rope"
18.2,4,"Ellis to Harshal, FOUR runs FOUR runs creamed through cover! A wide half volley and Harshal climbs in first ball smashing it through the gap","Nathan Ellis to Harshal Patel, FOUR, whoa! Stand and deliver stuff. Width outside off and Harshal dismisses the drive from his presence, he thumps it between extra cover and mid-off. No need to run for that"
18.1,W,"Ellis to Karthik, OUT OUT huge lbw appeal turned down. Australia review. Full and straight, DK was trying to whip square. No bat involved. Was it tailing past leg? He was very deep in the crease. Ball tracking says out! Three reds. Smashing leg stump. Good review. Ellis strikes again.","Nathan Ellis to Karthik, out Lbw!! Excellent review from Ellis. He was the only one appealing, even Wade was not convinced but Ellis made Finch go upstairs and they have got the big wicket. Karthik gets caught in the crease and the skiddy good length ball beats everything, hits the front pad and then the back right in front of the stumps, ball-tracking shows it to be smashing leg-stump. Karthik lbw b Nathan Ellis 6(5)"
17.6,2,"Cummins to Hardik,  2 runs 2 runs length ball, outside off, he smears a pull to deep midwicket and they run two on Ellis' arm","Cummins to Hardik Pandya, 2 runs, slower ball bowled into the surface, Hardik pulls it in front of square and Karthik races back for the second"
