ball,score,commentary,second_commentary
19.6,6,"green to hardik ,  six runs six runs three in a row  upper-cut over deep-third  the full array from hardik  short and climbing outside-off and he uses the pace to loft it into the crowd ","green to hardik pandya , six , hat-trick of sixes to finish the innings  hardik has played a blinder here and he walks off delighted  green goes short and outside-off , there was deep backward-point in place but it didn't matter to hardik , he went for the upper-cut and beat the fielder easily  the last over from green was always going to be targeted and hardik ensured india made the most of it"
19.5,6,"green to hardik ,  six runs six runs lofted over long-off  sublime  silky  he was sitting back , gets a full ball in the slot and just checks a drive through the line and it sails over the rope","green to hardik pandya , six , this is why he denied the single  the confidence in hardik is just oozing at the moment  this is a tremendous shot  green misses the yorker length by a couple of inches and that is enough for hardik , he lofts it with minimal followthrough and the ball sails comfortably outside-off"
19.4,6,"green to hardik ,  six runs six runs leg-stump  leg-stump , he was sitting deep and waiting to smack it flat over the fence","green to hardik pandya , six , geez  that ball hardly took off  as flat a six as you'd see  slower ball dug into the wicket , hardik waits on the back foot with his front leg cleared and nails the pull well beyond deep-mid-wicket"
19.3,2,"green to hardik ,  2 runs 2 runs top edge flies over the bowler and lands safe  good bouncer , hurried him and he gets a thick top edge that lands at the bowler  mark as the men run in","green to hardik pandya , 2 runs , in the air and lands safely  short and rising , hardik moves across and tries to swat the leg-stump , the top-edge goes straight up and drops behind the bowler near mid-off , quick brace"
19.2,•,"green to hardik , no run no run length ball wide of off , 134kph , he miscues towards long-off","green to hardik pandya , no run , on a length and outside-off , hardik drills it to long-off and denies the single  he wants to face all the balls in this over and needs a change of bat  might have damaged it with this mistimed shot"
19.1,1,"green to harshal ,  1 run 1 run outside-off , 139kph , he drives to long-on","green to harshal patel , 1 run , outside-off , harshal drills it straight down and it is only a single"
18.6,4,"ellis to hardik , four runs four runs delightful late cut to bring up 50 off 25  short and wide , deep-point is on square , he let it come and placed it behind point with superb timing see all photos","nathan ellis to hardik pandya , four , fifty for hardik  his second in t20is and both have come since he made his return to the team  today the platform was set and he came and unleashed himself  this is a cracking shot to reach the landmark  off-pace and fraction short , hardik just delays the bat swing to ensure that the cut goes square and not close to the sweeper"
18.5,1,"ellis to harshal ,  1 run 1 run shorter slower ball , he miscues a pull-shot to long-on on the bounce","nathan ellis to harshal patel , 1 run , slower short of length delivery and harshal pulls it on the bounce to long-on"
18.4,1,"ellis to hardik ,  1 run 1 run good length , chopped into the off-side","nathan ellis to hardik pandya , 1 run , off-pace delivery , hardik chops it into the cover region and he takes the single"
18.3,1,"ellis to harshal ,  1 run 1 run magnificent save from maxwell at long-on  lofted powerfully to long-on , looks a certain six , maxwell leaps high over the rope , catches it in mid air , flicks it back , lands outside the rope without the ball but saves five runs  poetry in motion see all photos","nathan ellis to harshal patel , 1 run , brilliance by maxi  he  saved five runs for his team  slower ball and harshal picked it right out of the hand , lofts through the line and stands there admiring the shot , but maxi jumps high and catches it with both hands , releases the ball before he hits the ground beyond the rope"
