ball,score,commentary,second_commentary
19.6,2,"ellis to rinku singh ,  2 runsshort of a length outside-off , and swiped wide of long-on as rinku pinches two","nathan ellis to rinku singh , 2 runs , length ball , slammed to the left of long-on for a couple of runs  20 runs off the 20 over , india end with a whooping 235 runs "
19.5,4,"ellis to rinku singh , four runshelps this past the keeper  opens the face of the bat pretty late at this high-ish full toss , which is wide of off  he just reaches out without any foot movement , playing between wade and short third","nathan ellis to rinku singh , four , full toss outside-off , rinku reaches out and just opens the bat face at the last moment to tickle it between keeper and short third for a boundary"
19.4,1,"ellis to tilak varma ,  1 runyorker length , angled in and dipping to finish on sixth stump  jammed to deep-point","nathan ellis to tilak varma , 1 run , wide yorker , dug out towards deep extra-cover"
19.3,6,"ellis to tilak varma ,  six runsjust beats the man at deep-point  the fielder moved to his left , but the ball barely went over him  ellis bowled on a length , angling it in but bowling wide of off  tilak presented the full face of the bat , and lofted with little effort","nathan ellis to tilak varma , six , full and quick outside-off , tilak varma slams it over sweeper cover for a six  used a lot of bottom hand power on that one , felt like he might be caught out to the deep fielder but the man could only see it sail over"
19.3,6,"ellis to tilak varma ,  six runsjust beats the man at deep-point  the fielder moved to his left , but the ball barely went over him  ellis bowled on a length , angling it in but bowling wide of off  tilak presented the full face of the bat , and lofted with little effort","nathan ellis to tilak varma , wide , slower bouncer , a bit too high"
19.3,1w,"ellis to tilak varma , 1 widebowls a slower short ball , but it  too high  called first bouncer too , as ellis bowled short and around off , with tilak letting it go","nathan ellis to tilak varma , six , full and quick outside-off , tilak varma slams it over sweeper cover for a six  used a lot of bottom hand power on that one , felt like he might be caught out to the deep fielder but the man could only see it sail over"
19.3,1w,"ellis to tilak varma , 1 widebowls a slower short ball , but it  too high  called first bouncer too , as ellis bowled short and around off , with tilak letting it go","nathan ellis to tilak varma , wide , slower bouncer , a bit too high"
19.2,W,"ellis to gaikwad , outtaken at long-on  another slower ball from ellis , although the length was pretty much ideal for the hoick across the line , and over long-on  but there was little timing there , as the ball went to long-on , where david took it over his head with a reverse cupruturaj gaikwad c david b ellis 58  43b 3x4 2x6 100m  sr: 134 88","nathan ellis to gaikwad , out caught by tim david   slower delivery , was in the slot but ruturaj couldn't get the desired power on that shot  a big swing across the line but holes out to long-on  gaikwad c tim david b nathan ellis 58 43  [4s-3 6s-2]"
19.1,6,"ellis to gaikwad ,  six runsgaikwad joins the fun  six over the bowler  head  a slower ball on a fullish length outside-off , as he gets down early to have a launch with a flat bat","nathan ellis to gaikwad , six , back of the hand slower delivery , pitches right under ruturaj  bat as he waits for it to arrive and then heaves it down the ground for a straight six"
18.6,6,"abbott to rinku singh ,  six runspulled again over deep midwicket  abbott bowls short again , and keeps getting pounded  the ball was banged outside-off , and slammed hard over the boundary","abbott to rinku singh , six , short ball on leg , rinku pulls it over deep-mid-wicket into the stands  a six to end the over , 25 runs off it "
18.5,4,"abbott to rinku singh , four runsmisfield by smith    and four more  should have ideally been a single  the ball was short and ended wide of off , as he swatted hard and far from his body  smith at mid-off failed to grab low , and the ball rolled away","abbott to rinku singh , four , a misfield and it is steve smith of all people   wonder if he  still reeling from the aftereffects of the world cup win celebration  hard length outside-off , slapped towards mid-off and smith lets it slide between his hands for a boundary"
18.4,4,"abbott to rinku singh , four runspulled between deep backward square and deep midwicket  short ball again from abbott - it pitched on middle and moved away towards off - even as there wasn't too much of room for rinku  but he rides the bounce and clubs that","abbott to rinku singh , four , banged short near the helmet , rinku very easily pulls it away to the right of deep-square into a vacant pocket of the ground for a boundary"
18.3,6,"abbott to rinku singh ,  six runslow full toss deposited over the bowler  head  excellently played  he reaches out for this low full toss , which is angling away and ending wide of off  the bat turns in his hands as he lofts away from his body , but the ball travels way beyond","abbott to rinku singh , six , low full toss , rinku just made a single movement of swinging through the line  didn't move any other muscle and didn't even bother running for that one  such was the conviction in that connection from the southpaw"
18.2,•,"abbott to rinku singh , no runshortish ball again , and just outside-off this time  rinku went to slash , but was beaten  the ball seemed to have come on very rapidly there","abbott to rinku singh , no run , pace off , back of length and angling away  rinku tried to slap it over point but the ball goes over his bat"
18.2,•,"abbott to rinku singh , no runshortish ball again , and just outside-off this time  rinku went to slash , but was beaten  the ball seemed to have come on very rapidly there","abbott to rinku singh , wide , cutter that goes very wide outside-off"
18.2,1w,"abbott to rinku singh , 1 widevery wide outside leg , as rinku lets this go  this was bowled fuller though","abbott to rinku singh , no run , pace off , back of length and angling away  rinku tried to slap it over point but the ball goes over his bat"
18.2,1w,"abbott to rinku singh , 1 widevery wide outside leg , as rinku lets this go  this was bowled fuller though","abbott to rinku singh , wide , cutter that goes very wide outside-off"
18.1,4,"abbott to rinku singh , four runspulled to deep midwicket  the ball is short from abbott , and angling across to end wide of off  but rinku fetches it from there , and finds the gap on the leg-side","abbott to rinku singh , four , length ball on off , pulled hard in front of square and beats the dive of deep-mid-wicket  rinku getting into his groove now"
17.6,•,"ellis to gaikwad , no runfull length , and just outside-off , as gaikwad went to heave across the line but was beaten","nathan ellis to gaikwad , no run , full outside-off , goes under the bat as gaikwad tried a big swing across the line  first sign of that variable bounce we were promised during pitch report"
17.5,1,"ellis to rinku singh ,  1 runshort of a length leg-stump , almost cramping him for room  punched to extra-cover","nathan ellis to rinku singh , 1 run , back of length and straight , rinku guides it towards covers for a single"
17.4,W,"ellis to suryakumar , outwell taken by stoinis  he moved to his left from extra-cover , all the while looking up at the ball while ending very close to the deep-point fielder  they almost had a mix-up , but stoinis did well in the end  ellis had bowled fullish and pretty wide of off , as surya reached out with a flat bat  but he ended up ballooning it up , beaten by the slower ballsuryakumar yadav c stoinis b ellis 19  10b 0x4 2x6 13m  sr: 190","nathan ellis to suryakumar yadav , out caught by stoinis   gone   end of an entertaining cameo from the indian skipper  smart from ellis to keep it well wide outside-off , beyond the hitting arc and tempting sky to chase it  he gets closer and tries to drive it but toe-ends it in the high  extra-cover runs backwards and completes a safe catch  suryakumar yadav c stoinis b nathan ellis 19 10  [6s-2]"
17.3,2,"ellis to suryakumar ,  2 runslofts over mid-on , as ellis bowls another slower ball  but this is on a length around off , with surya spotting the fielder inside the circle","nathan ellis to suryakumar yadav , 2 runs , slower delivery , was pitched up  sky just about lifted it over mid-on for a couple of runs  didn't time it off the middle"
17.3,2,"ellis to suryakumar ,  2 runslofts over mid-on , as ellis bowls another slower ball  but this is on a length around off , with surya spotting the fielder inside the circle","nathan ellis to suryakumar yadav , wide , bumper , a bit too high"
17.3,1w,"ellis to suryakumar , 1 widewide called , but i think this is good bowling  he saw surya step across , and bowled short around off stump  surya let it go , even as the height seemed to be too much","nathan ellis to suryakumar yadav , 2 runs , slower delivery , was pitched up  sky just about lifted it over mid-on for a couple of runs  didn't time it off the middle"
17.3,1w,"ellis to suryakumar , 1 widewide called , but i think this is good bowling  he saw surya step across , and bowled short around off stump  surya let it go , even as the height seemed to be too much","nathan ellis to suryakumar yadav , wide , bumper , a bit too high"
17.2,1,"ellis to gaikwad ,  1 runellis turns around and runs forward , but the ball lands wide in front of him , where an imaginary mid-off fielder would have run forward  short ball from ellis to gaikwad , who looked to pull , but got that off the higher side of the bat","nathan ellis to gaikwad , 1 run , surprises the batter with a full pace bouncer  ruturaj late on the shot and top-egdes his pull but it falls safe between ellis and extra-cover"
17.1,2,"ellis to gaikwad ,  2 runsmisfield by short third to his right , and that allows gaikwad two  that is also his fifty  it was a slower ball on a length on sixth stump , as he slashed behind the wicket","nathan ellis to gaikwad , 2 runs , pace off , full and wide  ruturaj underedges his cut past the short third fielder who doesn't cover himself in glory with that effort  two runs taken and that  50 for gaikwad , a very controlled knock by the indian opener"
16.6,•,"zampa to suryakumar , no runshort of a length just outside-off , and hacked on the bounce to point , where david goes low to his right to grab that","zampa to suryakumar yadav , no run , flat on off , cut towards point  well stopped by tim david"
16.5,2,"zampa to suryakumar ,  2 runsshort ball on the stumps , with a hint of turn back in  punched aerially to long-off  left , as they pick two","zampa to suryakumar yadav , 2 runs , flat delivery on middle , punched down the ground and ruturaj had to duck under quickly to avoid a headshot  long-on cuts it off at the expense of a couple"
16.4,6,"zampa to suryakumar ,  six runsover the sightscreen  now uses his bottom hand to loft this length ball which is on a stump-to-stump line , only leaning into the shot to grab six more","zampa to suryakumar yadav , six , middle-stump-stump , sky holds his shape and lifts it straight as an arrow over zampa  head onto the sightscreens  six more and nobody is complaining"
16.3,•,"zampa to suryakumar , no runsurya also charges down looking to left , but gets an inside-edge on to his back pad as he went to loft at this length ball outside-off","zampa to suryakumar yadav , no run , pitched fuller and was the googly , suryakumar dances out for a big heave but edges it onto his pads"
16.2,1,"zampa to gaikwad ,  1 runskips down , with the ball ending up to very full for him on the stumps  flicked wide of long-on","zampa to gaikwad , 1 run , dances out and drives towards long-on for a single"
16.1,1,"zampa to suryakumar ,  1 runshort of a length , and skids through to middle-stump  punched to extra-cover","zampa to suryakumar yadav , 1 run , darts one through on a length , punched towards mid-off"
15.6,1,"stoinis to suryakumar ,  1 runmakes room , but stoinis bowls a sharp short ball which is climbing rather considerably outside-off  surya guides it behind point","stoinis to suryakumar yadav , 1 run , back of length and offering no pace again  sky shuffles away to slash but underedges it towards short third"
