ball,score,commentary,second_commentary
19.6,4,"Maxwell to Gaikwad, FOUR runs FOUR runs a 30-run over! Slogged to deep midwicket, and there's a chance of a catch, but the ball falls just short of the fielding running in, and squirts behind him for four more. Gaikwad unbeaten on 123, India finish on 222",
19.5,6,"Maxwell to Gaikwad,  SIX runs SIX runs short ball on middle and off. Gaikwad stays in his crease and pummels a six over wide long on!",
19.4,6,"Maxwell to Gaikwad,  SIX runs SIX runs pumped! Full ball, Gaikwad gives him the charge, and then sends the six over long on!",
19.4,1w,"Maxwell to Gaikwad, 1 wide 1 wide full ball around leg. Attempts the sweep, misses. Wade not happy. Was there some touch?",
19.3,1,"Maxwell to Tilak Varma,  1 run 1 run off the pad to the leg side for one",
19.2,1,"Maxwell to Gaikwad,  1 run 1 run struck to deep midwicket",
19.2,5nb,"Maxwell to Gaikwad, (no ball) FOUR runs (no ball) FOUR runs he's overstepped too!",
19.1,6,"Maxwell to Gaikwad,  SIX runs SIX runs there's the hundred! Fullish ball. Steps forward and then muscles a shot over wide long on! That's hundred in 52 balls. Crazy acceleration See all photos",
18.6,2,"Ellis to Tilak Varma,  2 runs 2 runs short ball. He moves to the off side and plays a paddle over his shoulder past Wade for a couple",
18.5,4,"Ellis to Tilak Varma, FOUR runs FOUR runs short ball. Waits for it, then pulls behind square, and its one-bounce four!",
18.4,2,"Ellis to Tilak Varma,  2 runs 2 runs short of length ball on middle. Tilak spots the slower ball and paddles it over Wade's head",
18.3,•,"Ellis to Tilak Varma, no run no run short ball, attempts the pull. Misses it after losing his shape",
18.2,1,"Ellis to Gaikwad,  1 run 1 run full ball just outside off. Guided to deep backward point",
18.1,1,"Ellis to Tilak Varma,  1 run 1 run full ball on middle. Can't get underneath it very well. Hit to wide long on",
18.1,1w,"Ellis to Tilak Varma, 1 wide 1 wide full and wide again. They collect the extra again",
18.1,1w,"Ellis to Tilak Varma, 1 wide 1 wide full and wide outside off. Left alone. That's the hundred partnership with Tilak's contribution 21",
17.6,2,"Hardie to Gaikwad,  2 runs 2 runs full and wide ball outside off again. Gaikwad moves off side to repeat the previous shot. Hit to deep square leg this time and the fielder cuts it off. 25 runs off the over!",
