ball,score,commentary,second_commentary,output_labels_primary,output_labels_secondary
19.6,2,"ellis to rinku singh ,  2 runsshort of a length outside-off , and swiped wide of long-on as rinku pinches two","nathan ellis to rinku singh , 2 runs , length ball , slammed to the left of long-on for a couple of runs  20 runs off the 20 over , india end with a whooping 235 runs ","['Bowler: ellis', 'Batsman: rinku singh', 'Runs: 2', 'Length: Length', 'Line: Outside-off', 'Shot Position: Long-on', 'Batsman: rinku singh']","['Bowler: nathan ellis', 'Batsman: rinku singh', 'Runs: 2', 'Length: Length', 'Shot Position: Long-on', 'Batsman: rinku singh']"
19.5,4,"ellis to rinku singh , four runshelps this past the keeper  opens the face of the bat pretty late at this high-ish full toss , which is wide of off  he just reaches out without any foot movement , playing between wade and short third","nathan ellis to rinku singh , four , full toss outside-off , rinku reaches out and just opens the bat face at the last moment to tickle it between keeper and short third for a boundary","['Bowler: ellis', 'Batsman: rinku singh', 'Outcome: Four', 'Length: Full', 'Outcome: Out', 'Length: Short', 'Batsman: rinku singh']","['Bowler: nathan ellis', 'Batsman: rinku singh', 'Outcome: Four', 'Length: Full', 'Line: Outside-off', 'Outcome: Out', 'Length: Short', 'Batsman: rinku singh']"
19.4,1,"ellis to tilak varma ,  1 runyorker length , angled in and dipping to finish on sixth stump  jammed to deep-point","nathan ellis to tilak varma , 1 run , wide yorker , dug out towards deep extra-cover","['Bowler: ellis', 'Batsman: tilak varma', 'Runs: 1', 'Length: Length', 'Shot Position: Deep-point', 'Batsman: tilak varma']","['Bowler: nathan ellis', 'Batsman: tilak varma', 'Runs: 1', 'Length: Yorker', 'Outcome: Out', 'Shot Position: Extra-cover', 'Batsman: tilak varma']"
19.3,6,"ellis to tilak varma ,  six runsjust beats the man at deep-point  the fielder moved to his left , but the ball barely went over him  ellis bowled on a length , angling it in but bowling wide of off  tilak presented the full face of the bat , and lofted with little effort","nathan ellis to tilak varma , six , full and quick outside-off , tilak varma slams it over sweeper cover for a six  used a lot of bottom hand power on that one , felt like he might be caught out to the deep fielder but the man could only see it sail over","['Bowler: ellis', 'Batsman: tilak varma', 'Outcome: Six', 'Field Activity: Bowled', 'Length: Length', 'Length: Full', 'Shot Position: Deep-point', 'Batsman: tilak varma']","['Bowler: nathan ellis', 'Batsman: tilak varma', 'Outcome: Six', 'Length: Full', 'Line: Outside-off', 'Outcome: Six', 'Outcome: Out', 'Shot Position: Cover', 'Batsman: tilak varma']"
19.3,6,"ellis to tilak varma ,  six runsjust beats the man at deep-point  the fielder moved to his left , but the ball barely went over him  ellis bowled on a length , angling it in but bowling wide of off  tilak presented the full face of the bat , and lofted with little effort","nathan ellis to tilak varma , wide , slower bouncer , a bit too high","['Bowler: ellis', 'Batsman: tilak varma', 'Outcome: Six', 'Field Activity: Bowled', 'Length: Length', 'Length: Full', 'Shot Position: Deep-point', 'Batsman: tilak varma']","['Bowler: nathan ellis', 'Batsman: tilak varma', 'Speed: Slower', 'Batsman: tilak varma']"
19.3,1w,"ellis to tilak varma , 1 widebowls a slower short ball , but it  too high  called first bouncer too , as ellis bowled short and around off , with tilak letting it go","nathan ellis to tilak varma , six , full and quick outside-off , tilak varma slams it over sweeper cover for a six  used a lot of bottom hand power on that one , felt like he might be caught out to the deep fielder but the man could only see it sail over","['Bowler: ellis', 'Batsman: tilak varma', 'Runs: 1', 'Speed: Slower', 'Length: Short', 'Field Activity: Bowled', 'Length: Short', 'Batsman: tilak varma']","['Bowler: nathan ellis', 'Batsman: tilak varma', 'Outcome: Six', 'Length: Full', 'Line: Outside-off', 'Outcome: Six', 'Outcome: Out', 'Shot Position: Cover', 'Batsman: tilak varma']"
19.3,1w,"ellis to tilak varma , 1 widebowls a slower short ball , but it  too high  called first bouncer too , as ellis bowled short and around off , with tilak letting it go","nathan ellis to tilak varma , wide , slower bouncer , a bit too high","['Bowler: ellis', 'Batsman: tilak varma', 'Runs: 1', 'Speed: Slower', 'Length: Short', 'Field Activity: Bowled', 'Length: Short', 'Batsman: tilak varma']","['Bowler: nathan ellis', 'Batsman: tilak varma', 'Speed: Slower', 'Batsman: tilak varma']"
19.2,W,"ellis to gaikwad , outtaken at long-on  another slower ball from ellis , although the length was pretty much ideal for the hoick across the line , and over long-on  but there was little timing there , as the ball went to long-on , where david took it over his head with a reverse cupruturaj gaikwad c david b ellis 58  43b 3x4 2x6 100m  sr: 134 88","nathan ellis to gaikwad , out caught by tim david   slower delivery , was in the slot but ruturaj couldn't get the desired power on that shot  a big swing across the line but holes out to long-on  gaikwad c tim david b nathan ellis 58 43  [4s-3 6s-2]","['Bowler: ellis', 'Batsman: gaikwad', 'Speed: Slower', 'Length: Length', 'Shot Position: Long-on', 'Batsman: gaikwad']","['Bowler: nathan ellis', 'Batsman: gaikwad', 'Outcome: Out', 'Speed: Slower', 'Outcome: Out', 'Shot Position: Long-on', 'Batsman: gaikwad']"
19.1,6,"ellis to gaikwad ,  six runsgaikwad joins the fun  six over the bowler  head  a slower ball on a fullish length outside-off , as he gets down early to have a launch with a flat bat","nathan ellis to gaikwad , six , back of the hand slower delivery , pitches right under ruturaj  bat as he waits for it to arrive and then heaves it down the ground for a straight six","['Bowler: ellis', 'Batsman: gaikwad', 'Outcome: Six', 'Outcome: Six', 'Speed: Slower', 'Length: Length', 'Line: Outside-off', 'Batsman: gaikwad']","['Bowler: nathan ellis', 'Batsman: gaikwad', 'Outcome: Six', 'Speed: Slower', 'Outcome: Six', 'Batsman: gaikwad']"
18.6,6,"abbott to rinku singh ,  six runspulled again over deep midwicket  abbott bowls short again , and keeps getting pounded  the ball was banged outside-off , and slammed hard over the boundary","abbott to rinku singh , six , short ball on leg , rinku pulls it over deep-mid-wicket into the stands  a six to end the over , 25 runs off it ","['Bowler: abbott', 'Batsman: rinku singh', 'Outcome: Six', 'Length: Short', 'Line: Outside-off', 'Shot Position: Midwicket', 'Batsman: rinku singh']","['Bowler: abbott', 'Batsman: rinku singh', 'Outcome: Six', 'Length: Short', 'Outcome: Six', 'Shot Position: Deep-mid-wicket', 'Batsman: rinku singh']"
