Over,Ball No.,Bowler,Batsman,Outcome,Runs,Length,Line,Shot Type,Position,Hit Type,Variation,Speed,Field Activity
19,6,ellis,rinku singh,2,2,Length,Outside-off,,Long-on,,,,
19,5,ellis,rinku singh,4,4,Full,Outside-off,,,,,,
19,4,ellis,tilak varma,1,1,Length,,,Deep-point,,,,
19,3,ellis,tilak varma,6,6,Length,Outside-off,,Deep-point,,,,Bowled
19,3,ellis,tilak varma,6,6,Length,,,Deep-point,,,Slower,Bowled
19,3,ellis,tilak varma,1w,1,Short,Outside-off,,Cover,,,Slower,Bowled
19,3,ellis,tilak varma,1w,1,Short,,,,,,Slower,Bowled
19,2,ellis,gaikwad,W,0,Length,,,Long-on,,,Slower,
19,1,ellis,gaikwad,6,6,Length,Outside-off,,,,,Slower,
18,6,abbott,rinku singh,6,6,Short,Outside-off,,Midwicket,,,,
18,5,abbott,rinku singh,4,4,Short,Outside-off,,Mid-off,,,,Misfield
18,4,abbott,rinku singh,4,4,Short,,,Midwicket,,,,
18,3,abbott,rinku singh,6,6,Full,,,,,,,
18,2,abbott,rinku singh,•,0,Length,Outside-off,,Point,,,Pace,
18,2,abbott,rinku singh,•,0,,Outside-off,,,,,,
18,2,abbott,rinku singh,1w,1,Length,,,Point,,,Pace,Bowled
18,2,abbott,rinku singh,1w,1,,Outside-off,,,,,,Bowled
18,1,abbott,rinku singh,4,4,Short,,,Midwicket,,,,Dive
17,6,ellis,gaikwad,•,0,Length,Outside-off,,,,,,
17,5,ellis,rinku singh,1,1,Length,Leg-stump,,Extra-cover,,,,
17,4,ellis,suryakumar,W,0,,Outside-off,Drive,Extra-cover,,,Slower,Bowled
17,3,ellis,suryakumar,2,2,Length,,,Mid-on,,,Slower,
17,3,ellis,suryakumar,2,2,Length,,,Mid-on,,,Slower,
17,3,ellis,suryakumar,1w,1,Good,,,Mid-on,,,Slower,Bowled
17,3,ellis,suryakumar,1w,1,Good,,,,,,,Bowled
17,2,ellis,gaikwad,1,1,Short,,Pull,Mid-off,,,Pace,
17,1,ellis,gaikwad,2,2,Short,,Cut,Cover,,,Slower,
16,6,zampa,suryakumar,•,0,Length,Outside-off,Cut,Point,,,,
16,5,zampa,suryakumar,2,2,,,,Long-off,,,,
16,4,zampa,suryakumar,6,6,Length,,,,,,,
16,3,zampa,suryakumar,•,0,Length,Outside-off,,,Inside-edge,Googly,,
16,2,zampa,gaikwad,1,1,Full,,,Long-on,,,,
16,1,zampa,suryakumar,1,1,Length,Middle-stump,,Extra-cover,,,,
15,6,stoinis,suryakumar,1,1,Short,Outside-off,,Point,,,Pace,
15,5,stoinis,gaikwad,1,1,Full,,,Deep-square-leg,,,Slower,
15,4,stoinis,suryakumar,1,1,Short,Outside-off,,Point,,,Slower,
15,3,stoinis,suryakumar,6,6,Length,,,Fine-leg,,,,
