ball,score,commentary,second_commentary
18.4,4lb,"alzarri joseph to dube , 4 leg byes 4 leg byes that  that  csk  winning run against rcb at fort chepauk continues  there is a review , but more in desperation , i think  aims for the yorker that hits dube  pad and goes to the fine-leg fence  ball tracker confirms the ball pitched outside leg  ruturaj gaikwad has made a winning start to his captaincy tenure  see all photos long-stop","alzarri joseph to shivam dube , leg byes , four , that'll do well enough for csk  they get their 2024 campaign off to a winning start  fired in full and at the boots , was just a touch down leg , shivam dube looked to flick it and missed , brushed his boot and went down fine to the fine-leg ropes"
18.3,6,"alzarri joseph to dube ,  six runs six runs tonked  there was some aggression from dube on that six  banged in short outside-off  he unleashes the pull and sends the ball soaring over deep backward-square-leg ","alzarri joseph to shivam dube , six , high and mighty  banged in short on middle , there  only one thing coming at shivam dube and he knows what it is , he sits back comfortably and nails the hook high and over the long-leg ropes"
18.2,•,"alzarri joseph to dube , no run no run banged in short now , good bumper this aiming at dube  body  he is beaten for pace","alzarri joseph to shivam dube , no run , banged in short on middle , shivam dube looks to take it on and misses , just went over the gloves , called one for the over"
18.2,•,"alzarri joseph to dube , no run no run banged in short now , good bumper this aiming at dube  body  he is beaten for pace","alzarri joseph to shivam dube , wide , full and just down leg , shivam dube looks to glance it fine and misses , will be a wide"
18.2,1w,"alzarri joseph to dube , 1 wide 1 wide goes fuller and down leg even as dube was looking to back away  called a wide ","alzarri joseph to shivam dube , no run , banged in short on middle , shivam dube looks to take it on and misses , just went over the gloves , called one for the over"
18.2,1w,"alzarri joseph to dube , 1 wide 1 wide goes fuller and down leg even as dube was looking to back away  called a wide ","alzarri joseph to shivam dube , wide , full and just down leg , shivam dube looks to glance it fine and misses , will be a wide"
18.1,1,"alzarri joseph to jadeja ,  1 run 1 run good ball on off , he pulls to deep midwicket","alzarri joseph to jadeja , 1 run , good on leg-stump , pulled away to deep-square-leg"
17.6,•,"siraj to dube , no run no run banged in short outside-off , he misses the ramp again","siraj to shivam dube , no run , good and slanting across outside-off , shivam dube looks to slash it away and misses"
17.5,4,"siraj to dube , four runs four runs he gets another four to his name  slower good ball on off  he stands tall and flat-bats it over the bowler  head  mid-off and mid-on were in","siraj to shivam dube , four , lovely shot  rcb just adamant about bowling short here and they're paying for it , good on middle , was pace off , shivam dube backed away to free his arms and slapped it back over the bowler , both mid-on and mid-off were up"
17.4,•,"siraj to dube , no run no run low full toss outside-off , he whacks it to extra-cover  no run there","siraj to shivam dube , no run , low full-toss on outside-off , shivam dube finds cover with the drive"
17.3,•,"siraj to dube , no run no run banged in short outside-off , he misses his ramp as the ball goes to the keeper ","siraj to shivam dube , no run , slower short ball outside-off , shivam dube looks to reach it and tap it down and misses"
17.2,4,"siraj to dube , four runs four runs good ball and he  found the gap to perfection  on leg-stump , he gets across , and pulls it neatly in the gap between square-leg and deep fine  leg","siraj to shivam dube , four , 50-run stand comes up  this is just poor bowling , good and on the hips , no one back at fine-leg and these are easy pickings for dube as he tucks it away to the fine-leg fence"
17.1,•,"siraj to dube , no run no run very high full toss , almost a waist-high no ball  it was on the stump and dube can only bunt it to extra-cover","siraj to shivam dube , no run , yorker goes horribly wrong but siraj gets away with it , nearly a waist-high full-toss on middle , shivam dube was sitting back expecting a short one and he just bunted it towards cover"
16.6,1,"alzarri joseph to dube ,  1 run 1 run good ball on off , he pushes it to long-off for a run","alzarri joseph to shivam dube , 1 run , good cricket again , good length delivery on outside-off , gently bunted towards mid-off for a quick single , even faf isn't quick enough to stop the single"
16.5,4b,"alzarri joseph to dube , 4 byes 4 byes beats the batter , beats the keeper and csk collect four byes  that was banged in short at pace outside-off  dube looks for a ramp , misses as the ball hurries to rawat who leaps with both hands up  the ball clips the tip of his fingers and runs away  looks like he has hurt his fingers as well  out comes the physio ","alzarri joseph to shivam dube , byes , four , my my that went at pace  good on middle , this was bowled at full-throttle , shivam dube backed away a little looking to run it down but it whistled past his visor , kept rising on anuj rawat and he tipped it over with his fingertips as he leapt looking to stop it , rcb cannot afford these"
16.5,4b,"alzarri joseph to dube , 4 byes 4 byes beats the batter , beats the keeper and csk collect four byes  that was banged in short at pace outside-off  dube looks for a ramp , misses as the ball hurries to rawat who leaps with both hands up  the ball clips the tip of his fingers and runs away  looks like he has hurt his fingers as well  out comes the physio ","alzarri joseph to shivam dube , wide , banged in short and going over the batter  head , that  both short deliveries allowed being wasted in wides"
16.5,1w,"alzarri joseph to dube , 1 wide 1 wide another wayward bouncer down leg  called a wide again","alzarri joseph to shivam dube , byes , four , my my that went at pace  good on middle , this was bowled at full-throttle , shivam dube backed away a little looking to run it down but it whistled past his visor , kept rising on anuj rawat and he tipped it over with his fingertips as he leapt looking to stop it , rcb cannot afford these"
16.5,1w,"alzarri joseph to dube , 1 wide 1 wide another wayward bouncer down leg  called a wide again","alzarri joseph to shivam dube , wide , banged in short and going over the batter  head , that  both short deliveries allowed being wasted in wides"
16.4,4,"alzarri joseph to dube , four runs four runs oh , that  so neatly done by dube  good ball on off  dube stays leg-side of the ball and just helps it past point  used the pace of the ball much to his advantage","alzarri joseph to shivam dube , four , expertly guided  rcb have telegraphed their intentions here , good on outside-off , shivam dube hung back and stayed leg-side , let it come to him and just opened the face of the blade to steer it well to the left of third-man"
16.4,4,"alzarri joseph to dube , four runs four runs oh , that  so neatly done by dube  good ball on off  dube stays leg-side of the ball and just helps it past point  used the pace of the ball much to his advantage","alzarri joseph to shivam dube , wide , rcb seem to be going a little overboard with the short stuff , alzarri joseph bangs it far too short , that was never even going to be close to dube"
16.4,1w,"alzarri joseph to dube , 1 wide 1 wide banged in short and again that is quite short outside  a wide is a result","alzarri joseph to shivam dube , four , expertly guided  rcb have telegraphed their intentions here , good on outside-off , shivam dube hung back and stayed leg-side , let it come to him and just opened the face of the blade to steer it well to the left of third-man"
16.4,1w,"alzarri joseph to dube , 1 wide 1 wide banged in short and again that is quite short outside  a wide is a result","alzarri joseph to shivam dube , wide , rcb seem to be going a little overboard with the short stuff , alzarri joseph bangs it far too short , that was never even going to be close to dube"
16.3,1,"alzarri joseph to jadeja ,  1 run 1 run good ball outside-off , he pulls it to deep midwicket","alzarri joseph to jadeja , 1 run , length delivery outside-off , swatted down to long-on"
16.2,2,"alzarri joseph to jadeja ,  2 runs 2 runs banged in short at pace hurrying jadeja who mistimes his pull towards long-on  but because he had completely miscued it , the bowler had to sprint across  they take two ","alzarri joseph to jadeja , 2 runs , excellent running agian , good on middle , rushes jadeja on the pull and it dribbles towards mid-wicket , joseph runs to it himself but they're so quick between the wickets to pinch that second"
16.1,2,"alzarri joseph to jadeja ,  2 runs 2 runs good ball outside-off , he thrashes it away to deep-point  some confusion and the result is an over-throw  what happened is a throw was fired from the deep who hit direct at the striker  end  rawat , meanwhile feels there is a chance of a run-out at the non-striker  end  he lobs the ball , misses and there is no one backing up","alzarri joseph to jadeja , 2 runs , length delivery just outside-off , cut away towards deep-point  oh dear , comedy of errors , the throw that came back in hit the stumps at the keeper  end and the keeper then had a shy at the stumps at the other end while the bowler had turned and was walking back to his mark"
15.6,1,"green to jadeja ,  1 run 1 run shimmies down the track and scythes the good length ball to deep-cover","green to jadeja , 1 run , full and just outside-off , carved out towards deep-point"
15.5,1,"green to dube ,  1 run 1 run good ball on the stumps  he is on the backfoot as he gets a thick inside-edge back onto the pad and close to the stumps  they pinch a single","green to shivam dube , 1 run , good length delivery on outside-off , shivam dube hung back looking to tuck it into the leg-side and got a thick inside-edge onto the pads , it dribbled just off the surface and they pinch a single"
15.4,1,"green to jadeja ,  1 run 1 run shimmies down the track to the good ball outside-off and slaps it to deep-point","green to jadeja , 1 run , length delivery just outside-off , jadeja charges at it and makes some room before slapping it down to sweeper cover"
15.3,3,"green to dube ,  3 runs 3 runs nicely done  banged in short outside-off , he stays still and ramps it in the gap to the right of deep-point  the fielder gets across and saves a run  oh , hang on   was dagar in contact with the ropes there? on first replay  , it seemed that way  wasn't checked though","green to shivam dube , 3 runs , very clever batting , good and outside-off , shivam dube hung back and just opened the face of the blade to steer it up and over backward-point , man running across to his right did really well to stop it with a dive but just pushed it too far back in , they get a third"
15.3,3,"green to dube ,  3 runs 3 runs nicely done  banged in short outside-off , he stays still and ramps it in the gap to the right of deep-point  the fielder gets across and saves a run  oh , hang on   was dagar in contact with the ropes there? on first replay  , it seemed that way  wasn't checked though","green to shivam dube , wide , banged in very short , that sailed over the batter and shivam dube is a fairly tall man"
15.3,1w,"green to dube , 1 wide 1 wide another bouncer but this one is too short  called a wide  one bouncer for the over as well ","green to shivam dube , 3 runs , very clever batting , good and outside-off , shivam dube hung back and just opened the face of the blade to steer it up and over backward-point , man running across to his right did really well to stop it with a dive but just pushed it too far back in , they get a third"
15.3,1w,"green to dube , 1 wide 1 wide another bouncer but this one is too short  called a wide  one bouncer for the over as well ","green to shivam dube , wide , banged in very short , that sailed over the batter and shivam dube is a fairly tall man"
15.2,4,"green to dube , four runs four runs finds the gap  banged in short on the hips of dube as he helps it and pierces the gap between deep backward-square-leg and fine-leg ","green to shivam dube , four , right into the gap  good and on the hips , this didn't rise much , shivam dube got inside the line and used the pace to pull it away right into the gap between deep backward-square-leg and long-leg"
15.1,1,"green to jadeja ,  1 run 1 run good ball just outside-off , he works it with soft hands to wide long-on but only for a run","green to jadeja , 1 run , good length delivery on outside-off , tucked down towards mid-on gently , they thought of two but it wasn't on"
14.6,•,"siraj to dube , no run no run slower short ball beats dube all ends up  was bowled at 131kph outside-off  dube is early into his pull with the ball going to rawat on the bounce","siraj to shivam dube , no run , good slower delivery , goes across and shivam dube is through his pull too early"
14.5,1,"siraj to jadeja ,  1 run 1 run another short ball on jadeja  hips that he pulls to maxwell once more  they are doing it well , for now","siraj to jadeja , 1 run , good on middle , pulled down to deep-square-leg"
14.4,1,"siraj to dube ,  1 run 1 run another bouncer on middle  dube controls his pull to the right of deep backward-square-leg for only a run this time around","siraj to shivam dube , 1 run , good on middle-off , doesn't rise and shivam dube crunches the pull towards deep-square-leg , can't beat maxwell to his right though"
14.3,1,"siraj to jadeja ,  1 run 1 run banged in short just outside-off , he pulls it down and in control to deep backward-square-leg","siraj to jadeja , 1 run , good on middle , pulled down to deep-square-leg"
14.2,2,"siraj to jadeja ,  2 runs 2 runs good down leg , he helps it to green at deep fine-leg  a slight misfield and that is enough for jadeja to steal a second","siraj to jadeja , 2 runs , too straight again , siraj gets away with another , good and just down leg , jadeja got inside the line and pulled it very fine , long-leg got around to cut it off but two more taken"
14.1,2,"siraj to jadeja ,  2 runs 2 runs on a length on the pads of jadeja who clips it to the right of deep-square-leg  the fielder does well to keep them down to two  maxwell it was , who hared across","siraj to jadeja , 2 runs , full and on the pads , lovely looking whip into the leg-side towards deep-mid-wicket , was very well timed and maxwell had to be at the top of his game , stopped it with a slide to his right"
13.6,•,"maxwell to dube , no run no run huge appeal for caught behind but think that went off the pad  not out says the umpire  pushed quicker down leg , he looks to work it fine , can't get a bat on it  and the ball flicks his pad through to the keeper ","maxwell to shivam dube , no run , flatter delivery and just pushed down leg , shivam dube looked to glance it fine and there was a loud appeal for caught behind , umpire stood unmoved so it might've brushed thigh pad"
13.5,•,"maxwell to dube , no run no run short and wide , he rocks back and hammers the cut but straight to point","maxwell to shivam dube , no run , flatter delivery just outside-off , shivam dube presses back and cuts , backward-point does well to stop it after tumbling to his left"
13.4,•,"maxwell to dube , no run no run flatter on leg-stump , he stays back and bunts it back to maxwell","maxwell to shivam dube , no run , fired in flat on middle , knocked straight back to the bowler"
13.3,1,"maxwell to jadeja ,  1 run 1 run slower through the air on middle , he pushes to long-on","maxwell to jadeja , 1 run , middle-stump , pushed down the ground to long-on"
13.2,6,"maxwell to jadeja ,  six runs six runs pumped   tossed up just on the middle  jadeja jumps down , reaches the pitch of the ball and tonks him over long-on","maxwell to jadeja , six , in the slot and it goes the distance  tossed up a little too full on outside-off , a real freebie and jadeja smoked it over long-on with a clean swing of the blade"
13.1,•,"maxwell to jadeja , no run no run floated on off stump , he looks to drive , gets a thick inside-edge back onto the pad","maxwell to jadeja , no run , tossed up full on outside-off , slides on with the arm and catches a thick inside-edge onto the pads as jadeja looks to drive it into the off-side"
12.6,1,"green to jadeja ,  1 run 1 run slower good ball outside-off  was bowled at 126kph  jadeja pulls it down and towards deep midwicket","green to jadeja , 1 run , good on outside-off , pulled away towards deep-mid-wicket"
12.5,2,"green to jadeja ,  2 runs 2 runs goes fuller now well outside-off , he leans into the drive to the left of deep-cover  they get two ","green to jadeja , 2 runs , full outside-off , driven out through to deep extra-cover , decently timed but not enough to beat the sweeper running to his left"
12.5,2,"green to jadeja ,  2 runs 2 runs goes fuller now well outside-off , he leans into the drive to the left of deep-cover  they get two ","green to jadeja , wide , excellent take from anuj rawat , very short on middle , sailed over jadeja  head , rawat timed his jump to perfection behind the stumps and kept it in"
12.5,1w,"green to jadeja , 1 wide 1 wide another bouncer but this one is way too short  rawat leaps and saves a few runs","green to jadeja , 2 runs , full outside-off , driven out through to deep extra-cover , decently timed but not enough to beat the sweeper running to his left"
12.5,1w,"green to jadeja , 1 wide 1 wide another bouncer but this one is way too short  rawat leaps and saves a few runs","green to jadeja , wide , excellent take from anuj rawat , very short on middle , sailed over jadeja  head , rawat timed his jump to perfection behind the stumps and kept it in"
12.4,•,"green to jadeja , no run no run length ball on off , he pushes towards point and was looking for a run  is sent back ","green to jadeja , no run , good length delivery angling into the batter on outside-off , jadeja has to get on his toes as he drops it into the off-side"
12.3,W,"green to mitchell , out out the short ball does the trick for green  banged in short outside-off , mitchell was looking to go over long-on  does not get any power on the pull and patidar makes no mistake at long-on  see all photos","green to mitchell , out caught by rajat patidar   the short-ball tactic finally pays off for rcb  looks like rcb had a plan and they stuck with it  banged into the deck on outside-off , mitchell made a bit of room by backing away and looked to flat-bat this over long-on , didn't get nearly enough and it came off the top half  went straight down patidar  throat at long-on and another timely wicket for rcb  mitchell c rajat patidar b green 22 18  [6s-2]"
12.2,1,"green to dube ,  1 run 1 run another miscue and the ball falls in no-man  land  banged in short just above his hip  he mistimes his pull completely but the balls falls around the vacant square-leg area","green to shivam dube , 1 run , in the air but safe  again green goes good and into the body , cramps him for room as he looks to pull and lobs up , lands safely in the square-leg region"
12.1,•,"green to dube , no run no run loud , loud appeal as dube looks for a pull and gets beaten  but the umpire is unmoved  faf has asked for a review  don't think there was any bat there , though  bouncer just outside-off  he eyes the pull , is late again on it  rawat was absolutely certain there was an edge  but replays confirm there was a gap between bat and ball ","green to shivam dube , no run , nothing on ultraedge , review lost  banged into the deck and going across the batter again , was just outside-off , rushed him with the pace and cramped him for room as he looked to pull , just about went over the top-edge , was extremely close but nothing on ultraedge to rcb  plight"
11.6,2,"alzarri joseph to mitchell ,  2 runs 2 runs slower short of a length ball on off stump  mitchell waits for it and pulls in the gap between midwicket and long-on  they scurry back for two","alzarri joseph to mitchell , 2 runs , pace off this time , good and just outside-off , mitchell sat deep in his crease and waited for it before pulling it away towards deep-mid-wicket , no timing again but it was in the gap , they shuffle back for two"
11.5,1,"alzarri joseph to dube ,  1 run 1 run another short ball on off stump  dube , once more can't get a clean connection  shanks it to deep-square-leg ","alzarri joseph to shivam dube , 1 run , good on middle , mistimed pull goes towards square-leg this time"
11.4,1,"alzarri joseph to mitchell ,  1 run 1 run joseph is rushing the batters for sure  banged in short at 143 9kph  mitchell is camped on the backfoot looking for the pull  but even then he can only miscue to long-on","alzarri joseph to mitchell , 1 run , and again , the zippy pace of alzarri joseph rushes the batter , good length just outside-off , mitchell was waiting on the backfoot looking to heave it away again and mistimed it down to long-on"
11.3,1,"alzarri joseph to dube ,  1 run 1 run banged in short around off stump , dube is late on the pull again and miscues towards deep midwicket","alzarri joseph to shivam dube , 1 run , good on middle , takes it on with a pull but is clearly rushed again , mistimes it and it goes towards deep-mid-wicket"
11.2,1,"alzarri joseph to mitchell ,  1 run 1 run good ball at 142kph on off stump  he goes on the backfoot but ends up bunting it towards long-on","alzarri joseph to mitchell , 1 run , good length delivery just outside-off , mitchell was hanging back looking to heave it away , rushed him and went towards mid-on off the splice"
11.1,1,"alzarri joseph to dube ,  1 run 1 run good ball outside-off , he cuts it to deep-point","alzarri joseph to shivam dube , 1 run , length delivery outside-off , cut away towards deep backward-point"
10.6,1,"green to dube ,  1 run 1 run flies away to deep-third  was a good ball well outside-off  he flashes at it and gets a thick outside-edge down to deep-third on the bounce ","green to shivam dube , 1 run , good length delivery slanting across outside-off , shivam dube flashed at it and got a thick outside-edge , went down to third-man who was placed quite fine"
10.5,•,"green to dube , no run no run another short ball at pace  banged in short at 133 6kph as dube looks for a pull and misses  that looked quicker than 133kph to be honest","green to shivam dube , no run , banged in short and at good pace , rushes shivam dube as he looks to take it on and beats him , anuj rawat fumbles behind the stumps"
10.4,1,"green to mitchell ,  1 run 1 run length on the pads of mitchell who shuffles across and works him to deep backward-square-leg","green to mitchell , 1 run , good length delivery on middle , mitchell shuffles across and tucks it away towards deep-square-leg"
10.3,1,"green to dube ,  1 run 1 run good ball outside-off  he pulls it , not with too much control towards deep midwicket","green to shivam dube , 1 run , good and slanting across just outside-off , shivam dube shafts the pull towards mid-wicket off the toe end"
10.2,W,"green to rahane , out out excellent catch by maxwell at square-leg and rahane  sprightly knock ends  good ball but the line was crucial here  it was outside-off , which meant rahane had to fetch it and he could not control his pull  maxwell is a few steps in from the boundary  but he adjusts well , and takes a reverse-cupped catch over his head see all photos","green to rahane , out caught by maxwell   superb catch from maxwell in the deep  rahane perishes but he  done his job  good on middle-leg again , didn't rise as much though and rahane was hanging back again , he just checked his pull this time and it went off the top half , was still traveling but maxwell intercepted it on the deep backward-square-leg ropes  he was a few yards in but did brilliantly to run to his left and jump at the right second to reel it in  much needed for rcb , just keeps the morale up  rahane c maxwell b green 27 19  [6s-2]"
10.1,6,"green to rahane ,  six runs six runs hooked for a hug six  good ball on off stump , he gets across and pulls it with disdain over backward-square-leg  head","green to rahane , six , into the stands  just good on middle-leg , poor line again and rahane seemingly was waiting for the short one , he was sitting back and pulled this away to the deep backward-square-leg with ease"
10.1,6,"green to rahane ,  six runs six runs hooked for a hug six  good ball on off stump , he gets across and pulls it with disdain over backward-square-leg  head","green to rahane , wide , good length delivery that just angles down leg , rahane looked to glance it fine and missed , called a wide"
10.1,1w,"green to rahane , 1 wide 1 wide wide first up  was a length ball but sprays it down leg ","green to rahane , six , into the stands  just good on middle-leg , poor line again and rahane seemingly was waiting for the short one , he was sitting back and pulled this away to the deep backward-square-leg with ease"
10.1,1w,"green to rahane , 1 wide 1 wide wide first up  was a length ball but sprays it down leg ","green to rahane , wide , good length delivery that just angles down leg , rahane looked to glance it fine and missed , called a wide"
9.6,1,"dagar to rahane ,  1 run 1 run slightly short on middle-stump , rahane hangs back and pats it to long-on for a run","mayank dagar to rahane , 1 run , flatter delivery on middle , worked away to wide long-on"
9.5,1,"dagar to mitchell ,  1 run 1 run full outside-off , he digs it to cover for a quick run","mayank dagar to mitchell , 1 run , fired in full outside-off , mitchell was looking for a big one and could only jam it out towards cover"
9.4,•,"dagar to mitchell , no run no run keeps it quicker and on a length on middle  mitchell can only mistime it back towards the bowler","mayank dagar to mitchell , no run , flatter delivery on middle , knocked back towards the bowler who hops to his right to stop it"
9.3,•,"dagar to mitchell , no run no run flatter on middle-stump , he defends","mayank dagar to mitchell , no run , full on outside-off , driven straight back to the bowler"
9.2,1,"dagar to rahane ,  1 run 1 run shimmies down the track and outside the line of leg-stump , giving himself some room  dagar adjust his length as rahane drives to long-off","mayank dagar to rahane , 1 run , full and just outside-off , rahane makes room and skips down the track before slapping it down to long-off"
9.1,1,"dagar to mitchell ,  1 run 1 run on a length leg-stump , he brings out the sweep past short-fine-leg","mayank dagar to mitchell , 1 run , full on outside-off , mitchell leans right across his stumps and fetches it with a sweep , gets it to the left of short fine-leg but there  protection in the deep"
8.6,1,"karn to mitchell ,  1 run 1 run very full once more on the stumps , he eases it to long-on","karn sharma to mitchell , 1 run , middle-stump , pushed down the ground to long-on , good over for csk , 15 off it"
8.5,1,"karn to rahane ,  1 run 1 run a touch fuller on the stump , he pushes towards long-on  was looking for a second but the fielder is quick on the ball","karn sharma to rahane , 1 run , tossed up middle-stump , gently worked away towards wide mid-on , only went to the edge of the ring and rahane was looking for two but the man running in from long-on was quick"
8.4,1,"karn to mitchell ,  1 run 1 run dragged down leg-stump , as mitchell hangs back and works it to the on-side","karn sharma to mitchell , 1 run , length delivery on middle , mitchell covers his stumps and works it away towards mid-wicket for one , good cricket"
8.3,6,"karn to mitchell ,  six runs six runs this time over long-off  floated slower outside-off , he goes over long-off now  such clean striking  free swing of the blade from mitchell","karn sharma to mitchell , six , two in a row  tossed up full outside-off , more than enough room for mitchell to free his arms this time and he launches it outside-off , karn sharma under pressure"
8.2,6,"karn to mitchell ,  six runs six runs finally connect at one  tossed up just a touch but that was right in mitchell  arc  he extends his arm and swings it miles over long-on","karn sharma to mitchell , six , mitchell goes big  floated up full on outside-off , this was in his zone and he cleared his front-leg and mowed it straight down the ground , cleared the ropes so easily"
8.1,•,"karn to mitchell , no run no run darted quicker on off stump , he prods half-forward and pushes to cover","karn sharma to mitchell , no run , tossed up full on outside-off , mitchell prods forward and knocks it towards cover"
7.6,•,"dagar to rahane , no run no run pushes the length ball quicker on leg-stump , rahane goes back looking for a flick but misses and is rapped on the pad with the ball going down leg","mayank dagar to rahane , no run , fired in quicker on a length , angles into the pads and skids through this time , beats rahane who was looking to turn it into the leg-side and hits his pad , would've gone down leg"
7.5,1,"dagar to mitchell ,  1 run 1 run a touch quicker outside-off , he pushes to faf at cover who flicks in back-handed flick  but rahane was in","mayank dagar to mitchell , 1 run , flatter delivery outside-off , mitchell shuffles across his stumps early and knocks it towards cover for a quick single , even a quick pick-up and throw from faf can't find rahane short"
7.4,•,"dagar to mitchell , no run no run ooh , some turn outside-off  mitchell is camped on the backfoot and defends towards cover","mayank dagar to mitchell , no run , shade fuller and just outside-off , mitchell plays back again as he knocks it towards cover , bit of bite and turn again"
7.3,•,"dagar to mitchell , no run no run shimmies down the track but dagar shortens the length and mitchell has to defend","mayank dagar to mitchell , no run , length delivery on outside-off , saw the batter running down the track and dropped it just a touch shorter , just holds in the surface a touch too"
7.2,•,"dagar to mitchell , no run no run a tad short just outside-off , he stays back and eases to backward-point","mayank dagar to mitchell , no run , length delivery outside-off , punched straight to point"
7.1,1,"dagar to rahane ,  1 run 1 run length outside-off , he pushes it through point for a run","mayank dagar to rahane , 1 run , full outside-off , just a touch early through his drive but it goes into the gap and through to sweeper cover"
6.6,W,"karn to ravindra , out out he  gone now  one shot too many for rachin  was a length ball leg-stump  he sweeps eyeing another six , but doesn't connect as cleanly  deep backward-square-leg settles himself and takes a comfortable catch  lovely debut for rachin who falls for a 15-ball 37  see all photos","karn sharma to ravindra , out caught by rajat patidar   karn has his man now - was pushed through quicker and at the stumps , ravindra went down on his knee as he looked to play the slog-sweep - hit it hard and hit it flat , straight down patidar  throat at deep backward-square-leg  the dangerous ravindra departs and rcb can heave a sigh of relief  ravindra c rajat patidar b karn sharma 37 15  [4s-3 6s-3]"
6.5,6,"karn to ravindra ,  six runs six runs dropped short and he pumps it for six  on off stump , he rocks back and hammers him over deep midwicket fielder  head ","karn sharma to ravindra , six , a long hop and it  been hammered - dragged half-way by karn , ravindra rocks back and then thumps it powerfully over wide mid-wicket , there  a fielder in the deep , but he  well away from the ball"
6.4,1,"karn to rahane ,  1 run 1 run shimmies down the track to the length ball on leg-stump and pushes to long-on","karn sharma to rahane , 1 run , karn dragged the length back as rahane came down the pitch , worked down to long-on for a single"
6.3,•,"karn to rahane , no run no run flatter outside-off , he stays back and punches to backward-point","karn sharma to rahane , no run , pushed through by karn - rahane backs away and finds backward-point with the cut"
6.2,2,"karn to rahane ,  2 runs 2 runs fuller in length middle-stump , he flicks it to deep midwicket and some excellent running get them a couple of runs","karn sharma to rahane , 2 runs , loopy delivery leg-stump , clipped in front of square on the on-side and they race back for the second"
6.1,•,"karn to rahane , no run no run flatter on the stumps , he goes back and pushes to the on-side and karn gets across","karn sharma to rahane , no run , flighted delivery leg-stump , worked off the back-foot to the bowler"
5.6,3,"yash dayal to rahane ,  3 runs 3 runs fuller outside-off , he digs it to backward-point and sets off  the fielder throws down the stumps at the non-striker end , but rahane is in  also gets two extra runs via the ricochet","yash dayal to rahane , 3 runs , more runs , this is so frustrating for rcb - yorker length delivery and it was jammed in front of cover-point , the run was always there , but the fielder has a shy at the bowler  end , no one  backing him up and rahane gets a couple of more runs in the bargain"
