ball,score,commentary,second_commentary
19.6,W,"deshpande to karthik  , out out wide yorker again  , dk has shuffled across so it won't be called  rawat tries to steal a bye  , and dhoni catches him short with a direct-hit  ""you still got it""","tushar deshpande to karthik  , out anuj rawat run-out   a run-out to end the innings  , anuj rawat  spunky 25-ball 48 is ended by ms  sharp eyes and rcb finish with 173  was full and just outside-off - dk swung hard and missed  , they were always trying to sneak in the single  , but ms is too fast for anuj rawat  , who is short despite a big dive  an underarm shy catching him well short  anuj rawat run-out  dhoni  48 25  [4s-4 6s-3]"
19.5,4,"deshpande to karthik  , four runs four runs thick-edge to a wide length ball  , gets far enough of short third  , and then outfield does the rest  sower offcutter so the bowler has done the batter in  hard luck","tushar deshpande to karthik  , four  , streaky and four  , was the slower ball  , but deshpande had telegraphed the line  , allowed dk to move across on the mow  , gets a thick-edge that lobbed wide of the fielder at third-man  , who was inside the ring"
19.5,4,"deshpande to karthik  , four runs four runs thick-edge to a wide length ball  , gets far enough of short third  , and then outfield does the rest  sower offcutter so the bowler has done the batter in  hard luck","tushar deshpande to anuj rawat  , 2 wides  , deshpande loses his line and spills one full and well down leg  , dhoni makes a half stop and they sneak in an extra run"
19.5,2w,"deshpande to rawat  , 2 wide 2 wide well outside leg  , dk calls him through for the run as dhoni is diving to collect the wide  dhoni also fumbles the ball  , and is not happy with himself","tushar deshpande to karthik  , four  , streaky and four  , was the slower ball  , but deshpande had telegraphed the line  , allowed dk to move across on the mow  , gets a thick-edge that lobbed wide of the fielder at third-man  , who was inside the ring"
19.5,2w,"deshpande to rawat  , 2 wide 2 wide well outside leg  , dk calls him through for the run as dhoni is diving to collect the wide  dhoni also fumbles the ball  , and is not happy with himself","tushar deshpande to anuj rawat  , 2 wides  , deshpande loses his line and spills one full and well down leg  , dhoni makes a half stop and they sneak in an extra run"
19.4,•,"deshpande to rawat  , no run no run oh he has missed a straight length ball  no change of pace  , in the slot  , but he has missed it  hit on the pad but pitched outside leg","tushar deshpande to anuj rawat  , no run  , this is an excellent 20th over so far from deshpande - slower cutter angled across the left-hander  , rawat pokes at that and misses"
19.3,1,"deshpande to karthik  ,  1 run 1 run moves across  , looks to ramp the wide yorker over short third  , but gets a bit of an inside-edge for a single to fine-leg","tushar deshpande to karthik  , 1 run  , cheeky  , very full and just outside-off - dk was shaping for the reverse-sweep  , was through with the shot and the ball rolls off the back of the bat  , towards long-leg for a single"
19.3,1,"deshpande to karthik  ,  1 run 1 run moves across  , looks to ramp the wide yorker over short third  , but gets a bit of an inside-edge for a single to fine-leg","tushar deshpande to karthik  , wide  , this is clearly a wide  , full and miles wide of off  , called by the umpire"
19.3,1w,"deshpande to karthik  , 1 wide 1 wide this time dk doesn't move across  , and the wide yorker ends up being called a wide","tushar deshpande to karthik  , 1 run  , cheeky  , very full and just outside-off - dk was shaping for the reverse-sweep  , was through with the shot and the ball rolls off the back of the bat  , towards long-leg for a single"
19.3,1w,"deshpande to karthik  , 1 wide 1 wide this time dk doesn't move across  , and the wide yorker ends up being called a wide","tushar deshpande to karthik  , wide  , this is clearly a wide  , full and miles wide of off  , called by the umpire"
19.2,•,"deshpande to karthik  , no run no run this time dk stands on off  , and slightly outside  deshpande goes for the wide yorker  , does him in  , beats him  dk calls for drs again  the ball is outside the tram line but he has moved acorss  so the dot ball is mupheld","tushar deshpande to karthik  , no run  , deshpande pushes one full and well wide of off - dk stays close to the outside-off as he swung and missed  he  reviewing once again for a wide and he loses it once again  so  , rcb have burnt both reviews"
19.1,•,"deshpande to karthik  , no run no run this time dk shuffles across  , and he goes for the wide yorker again  this time not called a wide  , and dk reviews it again  again quick replays  the umpire says the ball is wthin his rewach  no wide","tushar deshpande to karthik  , no run  , fuller length delivery and well wide of off  , dk shuffles across on the swipe and missed  , not called as a wide and dk reviews  , it  past the tramlines  , but the shuffle had got him close and they lose the review"
19.1,•,"deshpande to karthik  , no run no run this time dk shuffles across  , and he goes for the wide yorker again  this time not called a wide  , and dk reviews it again  again quick replays  the umpire says the ball is wthin his rewach  no wide","tushar deshpande to karthik  , wide  , deshpande spears one miles wide of off  , past the tramlines and is called as a wide"
19.1,1w,"deshpande to karthik  , 1 wide 1 wide looks for then wide yorker  , anticipating dk to move across  dk stands his ground  , and he ends up bowling a wide","tushar deshpande to karthik  , no run  , fuller length delivery and well wide of off  , dk shuffles across on the swipe and missed  , not called as a wide and dk reviews  , it  past the tramlines  , but the shuffle had got him close and they lose the review"
19.1,1w,"deshpande to karthik  , 1 wide 1 wide looks for then wide yorker  , anticipating dk to move across  dk stands his ground  , and he ends up bowling a wide","tushar deshpande to karthik  , wide  , deshpande spears one miles wide of off  , past the tramlines and is called as a wide"
18.6,1lb,"mustafizur to karthik  , 1 leg bye 1 leg bye oh dk has got inside the line again and is looking to hit this behind square on the leg-side  gets a leading edge  , though  , and has to settle for the single","mustafizur to karthik  , leg byes  , 1 run  , yorker length delivery on the pads  , dk was shaping for the whip and missed  , off the pad and rolled to the on-side"
18.6,1lb,"mustafizur to karthik  , 1 leg bye 1 leg bye oh dk has got inside the line again and is looking to hit this behind square on the leg-side  gets a leading edge  , though  , and has to settle for the single","mustafizur to karthik  , wide  , the slower bouncer  , dk shapes for the pull and misses  , bounced through to the keeper and dk wants a review for a wide  it  clearly over the head and a wide is called  successful review from rcb"
18.6,1w,"mustafizur to karthik  , 1 wide 1 wide slower bouncer  , dk is beaten by it  , looks for the wide call  , doesn't get it  , and reviews it  quick replays  it is over the head  dk wins the call  it is a wide","mustafizur to karthik  , leg byes  , 1 run  , yorker length delivery on the pads  , dk was shaping for the whip and missed  , off the pad and rolled to the on-side"
18.6,1w,"mustafizur to karthik  , 1 wide 1 wide slower bouncer  , dk is beaten by it  , looks for the wide call  , doesn't get it  , and reviews it  quick replays  it is over the head  dk wins the call  it is a wide","mustafizur to karthik  , wide  , the slower bouncer  , dk shapes for the pull and misses  , bounced through to the keeper and dk wants a review for a wide  it  clearly over the head and a wide is called  successful review from rcb"
18.5,4,"mustafizur to karthik  , four runs four runs misses the line on the on-pace yorker  well outside leg  , and all he needs to do it get a touch on it  and he does so","mustafizur to karthik  , four  , an expensive 19th over from mustafizur - too full and too straight  , dk shuffles across  , gets inside the lkine and then whips it away fine  , to the long-leg boundary"
18.4,1,"mustafizur to rawat  ,  1 run 1 run nearly a five-for  slower bouncer  , rawat looks to ramp it over short third  , gets nothing behind it  , and it falls short of the fielder","mustafizur to anuj rawat  , 1 run  , slower short ball from mustafizur - rawat adjusts and then tries to run it past the keeper  , gets a thick top-edge that loops teasingly and drops in front of deepak chahar  , diving forward at short third"
18.3,6,"mustafizur to rawat  ,  six runs six runs rawat has defeated the slower ball with his own momentum  he has guessed right and left the crease early  , and that forward momentum gets enough into the slight ms-hit to be able to land over the rope  good thing is  , he is looking to hit straight and back over his head","mustafizur to anuj rawat  , six  , anuj rawat is dealing in boundaries at the moment - runs down the pitch  , takes the momentum into the drive and lofts it back over the bowler  head  , has enough to clear the ropes on the full"
18.2,1,"mustafizur to karthik  ,  1 run 1 run wide on the crease  , misses the yoker  , but the full toss has been hit down and straight to long-on","mustafizur to karthik  , 1 run  , full-toss from mustafizur  , dk went hard on the slog and mistimed it to long-on"
18.1,2,"mustafizur to karthik  ,  2 runs 2 runs mis-hit but mid-off is in the circle  slower ball from fizz  , karthik is done in  , toe ends it  , but gets just enough behind it to clear mid-off","mustafizur to karthik  , 2 runs  , fuller length delivery outside-off - dk was looking to clear mid-off with the lofted drive  , but he  toe-ended this  , high and just out of gaikwad  reach  , running back from mid-off"
