ball,commentary
18.4,"Alzarri Joseph to Shivam Dube, leg byes, FOUR, that'll do well enough for CSK! They get their 2024 campaign off to a winning start! Fired in full and at the boots, was just a touch down leg, Shivam Dube looked to flick it and missed, brushed his boot and went down fine to the fine-leg ropes"
18.3,"Alzarri Joseph to Shivam Dube, SIX, high and mighty! Banged in short on middle, there's only one thing coming at Shivam Dube and he knows what it is, he sits back comfortably and nails the hook high and over the long leg ropes"
18.2,"Alzarri Joseph to Shivam Dube, no run, banged in short on middle, Shivam Dube looks to take it on and misses, just went over the gloves, called one for the over"
18.2,"Alzarri Joseph to Shivam Dube, wide, full and just down leg, Shivam Dube looks to glance it fine and misses, will be a wide"
18.1,"Alzarri Joseph to Jadeja, 1 run, back of a length on leg-stump, pulled away to deep square leg"
17.6,"Siraj to Shivam Dube, no run, back of a length and slanting across outside off, Shivam Dube looks to slash it away and misses"
17.5,"Siraj to Shivam Dube, FOUR, lovely shot! RCB just adamant about bowling short here and they're paying for it, back of a length on middle, was pace off, Shivam Dube backed away to free his arms and slapped it back over the bowler, both mid-on and mid-off were up"
17.4,"Siraj to Shivam Dube, no run, low full-toss on off-stump, Shivam Dube finds cover with the drive"
17.3,"Siraj to Shivam Dube, no run, slower short ball outside off, Shivam Dube looks to reach it and tap it down and misses"
17.2,"Siraj to Shivam Dube, FOUR, 50-run stand comes up! This is just poor bowling, back of a length and on the hips, no one back at fine-leg and these are easy pickings for Dube as he tucks it away to the fine-leg fence"
17.1,"Siraj to Shivam Dube, no run, yorker goes horribly wrong but Siraj gets away with it, nearly a waist-high full-toss on middle, Shivam Dube was sitting back expecting a short one and he just bunted it towards cover"
16.6,"Alzarri Joseph to Shivam Dube, 1 run, good cricket again, good length delivery on off-stump, gently bunted towards mid-off for a quick single, even Faf isn't quick enough to stop the single"
16.5,"Alzarri Joseph to Shivam Dube, byes, FOUR, my my that went at pace! Back of a length on middle, this was bowled at full-throttle, Shivam Dube backed away a little looking to run it down but it whistled past his visor, kept rising on Anuj Rawat and he tipped it over with his fingertips as he leapt looking to stop it, RCB cannot afford these"
16.5,"Alzarri Joseph to Shivam Dube, wide, banged in short and going over the batter's head, that's both short deliveries allowed being wasted in wides"
16.4,"Alzarri Joseph to Shivam Dube, FOUR, expertly guided! RCB have telegraphed their intentions here, back of a length on off-stump, Shivam Dube hung back and stayed leg-side, let it come to him and just opened the face of the blade to steer it well to the left of third man"
16.4,"Alzarri Joseph to Shivam Dube, wide, RCB seem to be going a little overboard with the short stuff, Alzarri Joseph bangs it far too short, that was never even going to be close to Dube"
16.3,"Alzarri Joseph to Jadeja, 1 run, length delivery outside off, swatted down to long-on"
16.2,"Alzarri Joseph to Jadeja, 2 runs, excellent running agian, back of a length on middle, rushes Jadeja on the pull and it dribbles towards mid-wicket, Joseph runs to it himself but they're so quick between the wickets to pinch that second"
16.1,"Alzarri Joseph to Jadeja, 2 runs, length delivery just outside off, cut away towards deep point. Oh dear, comedy of errors, the throw that came back in hit the stumps at the keeper's end and the keeper then had a shy at the stumps at the other end while the bowler had turned and was walking back to his mark"
15.6,"Green to Jadeja, 1 run, full and just outside off, carved out towards deep point"
15.5,"Green to Shivam Dube, 1 run, good length delivery on off-stump, Shivam Dube hung back looking to tuck it into the leg-side and got a thick inside edge onto the pads, it dribbled just off the surface and they pinch a single"
15.4,"Green to Jadeja, 1 run, length delivery just outside off, Jadeja charges at it and makes some room before slapping it down to sweeper cover"
15.3,"Green to Shivam Dube, 3 runs, very clever batting, back of a length and outside off, Shivam Dube hung back and just opened the face of the blade to steer it up and over backward point, man running across to his right did really well to stop it with a dive but just pushed it too far back in, they get a third"
15.3,"Green to Shivam Dube, wide, banged in very short, that sailed over the batter and Shivam Dube is a fairly tall man"
15.2,"Green to Shivam Dube, FOUR, right into the gap! Back of a length and on the hips, this didn't rise much, Shivam Dube got inside the line and used the pace to pull it away right into the gap between deep backward square leg and long leg"
15.1,"Green to Jadeja, 1 run, good length delivery on off-stump, tucked down towards mid-on gently, they thought of two but it wasn't on"
14.6,"Siraj to Shivam Dube, no run, back of a length slower delivery, goes across and Shivam Dube is through his pull too early"
14.5,"Siraj to Jadeja, 1 run, back of a length on middle, pulled down to deep square leg"
14.4,"Siraj to Shivam Dube, 1 run, back of a length on middle-off, doesn't rise and Shivam Dube crunches the pull towards deep square leg, can't beat Maxwell to his right though"
14.3,"Siraj to Jadeja, 1 run, back of a length on middle, pulled down to deep square leg"
14.2,"Siraj to Jadeja, 2 runs, too straight again, Siraj gets away with another, back of a length and just down leg, Jadeja got inside the line and pulled it very fine, long leg got around to cut it off but two more taken"
14.1,"Siraj to Jadeja, 2 runs, full and on the pads, lovely looking whip into the leg-side towards deep mid-wicket, was very well timed and Maxwell had to be at the top of his game, stopped it with a slide to his right"
13.6,"Maxwell to Shivam Dube, no run, flatter delivery and just pushed down leg, Shivam Dube looked to glance it fine and there was a loud appeal for caught behind, umpire stood unmoved so it might've brushed thigh pad"
13.5,"Maxwell to Shivam Dube, no run, flatter delivery just outside off, Shivam Dube presses back and cuts, backward point does well to stop it after tumbling to his left"
13.4,"Maxwell to Shivam Dube, no run, fired in flat on middle, knocked straight back to the bowler"
13.3,"Maxwell to Jadeja, 1 run, full on middle, pushed down the ground to long on"
