ball,score,commentary,second_commentary
18.4,4lb,"Alzarri Joseph to Dube, 4 leg byes 4 leg byes That's that! CSK's winning run against RCB at Fort Chepauk continues. There is a review, but more in desperation, I think. Aims for the yorker that hits Dube's pad and goes to the fine leg fence. Ball tracker confirms the ball pitched outside leg. Ruturaj Gaikwad has made a winning start to his captaincy tenure. See all photos","Alzarri Joseph to Shivam Dube, leg byes, FOUR, that'll do well enough for CSK! They get their 2024 campaign off to a winning start! Fired in full and at the boots, was just a touch down leg, Shivam Dube looked to flick it and missed, brushed his boot and went down fine to the fine-leg ropes"
18.3,6,"Alzarri Joseph to Dube,  SIX runs SIX runs TONKED! There was some aggression from Dube on that six. Banged in short outside off. He unleashes the pull and sends the ball soaring over deep backward square leg.","Alzarri Joseph to Shivam Dube, SIX, high and mighty! Banged in short on middle, there's only one thing coming at Shivam Dube and he knows what it is, he sits back comfortably and nails the hook high and over the long leg ropes"
18.2,•,"Alzarri Joseph to Dube, no run no run Banged in short now, good bumper this aiming at Dube's body. He is beaten for pace","Alzarri Joseph to Shivam Dube, no run, banged in short on middle, Shivam Dube looks to take it on and misses, just went over the gloves, called one for the over"
18.2,•,"Alzarri Joseph to Dube, no run no run Banged in short now, good bumper this aiming at Dube's body. He is beaten for pace","Alzarri Joseph to Shivam Dube, wide, full and just down leg, Shivam Dube looks to glance it fine and misses, will be a wide"
18.2,1w,"Alzarri Joseph to Dube, 1 wide 1 wide Goes fuller and down leg even as Dube was looking to back away. Called a wide.","Alzarri Joseph to Shivam Dube, no run, banged in short on middle, Shivam Dube looks to take it on and misses, just went over the gloves, called one for the over"
18.2,1w,"Alzarri Joseph to Dube, 1 wide 1 wide Goes fuller and down leg even as Dube was looking to back away. Called a wide.","Alzarri Joseph to Shivam Dube, wide, full and just down leg, Shivam Dube looks to glance it fine and misses, will be a wide"
18.1,1,"Alzarri Joseph to Jadeja,  1 run 1 run Back of a length ball on off, he pulls to deep midwicket","Alzarri Joseph to Jadeja, 1 run, back of a length on leg-stump, pulled away to deep square leg"
17.6,•,"Siraj to Dube, no run no run Banged in short outside off, he misses the ramp again","Siraj to Shivam Dube, no run, back of a length and slanting across outside off, Shivam Dube looks to slash it away and misses"
17.5,4,"Siraj to Dube, FOUR runs FOUR runs He gets another four to his name! Slower back of a length ball on off. He stands tall and flat-bats it over the bowler's head. Mid-off and mid-on were in","Siraj to Shivam Dube, FOUR, lovely shot! RCB just adamant about bowling short here and they're paying for it, back of a length on middle, was pace off, Shivam Dube backed away to free his arms and slapped it back over the bowler, both mid-on and mid-off were up"
17.4,•,"Siraj to Dube, no run no run Low full toss outside off, he whacks it to extra cover. No run there","Siraj to Shivam Dube, no run, low full-toss on off-stump, Shivam Dube finds cover with the drive"
17.3,•,"Siraj to Dube, no run no run Banged in short outside off, he misses his ramp as the ball goes to the keeper.","Siraj to Shivam Dube, no run, slower short ball outside off, Shivam Dube looks to reach it and tap it down and misses"
17.2,4,"Siraj to Dube, FOUR runs FOUR runs Back of a length ball and he's found the gap to perfection. On leg stump, he gets across, and pulls it neatly in the gap between square leg and deep fine  leg","Siraj to Shivam Dube, FOUR, 50-run stand comes up! This is just poor bowling, back of a length and on the hips, no one back at fine-leg and these are easy pickings for Dube as he tucks it away to the fine-leg fence"
17.1,•,"Siraj to Dube, no run no run Very high full toss, almost a waist-high no ball. It was on the stump and Dube can only bunt it to extra cover","Siraj to Shivam Dube, no run, yorker goes horribly wrong but Siraj gets away with it, nearly a waist-high full-toss on middle, Shivam Dube was sitting back expecting a short one and he just bunted it towards cover"
16.6,1,"Alzarri Joseph to Dube,  1 run 1 run Back of a length ball on off, he pushes it to long off for a run","Alzarri Joseph to Shivam Dube, 1 run, good cricket again, good length delivery on off-stump, gently bunted towards mid-off for a quick single, even Faf isn't quick enough to stop the single"
16.5,4b,"Alzarri Joseph to Dube, 4 byes 4 byes Beats the batter, beats the keeper and CSK collect four byes! That was banged in short at pace outside off. Dube looks for a ramp, misses as the ball hurries to Rawat who leaps with both hands up. The ball clips the tip of his fingers and runs away. Looks like he has hurt his fingers as well. Out comes the physio.","Alzarri Joseph to Shivam Dube, byes, FOUR, my my that went at pace! Back of a length on middle, this was bowled at full-throttle, Shivam Dube backed away a little looking to run it down but it whistled past his visor, kept rising on Anuj Rawat and he tipped it over with his fingertips as he leapt looking to stop it, RCB cannot afford these"
16.5,4b,"Alzarri Joseph to Dube, 4 byes 4 byes Beats the batter, beats the keeper and CSK collect four byes! That was banged in short at pace outside off. Dube looks for a ramp, misses as the ball hurries to Rawat who leaps with both hands up. The ball clips the tip of his fingers and runs away. Looks like he has hurt his fingers as well. Out comes the physio.","Alzarri Joseph to Shivam Dube, wide, banged in short and going over the batter's head, that's both short deliveries allowed being wasted in wides"
16.5,1w,"Alzarri Joseph to Dube, 1 wide 1 wide Another wayward bouncer down leg. Called a wide again","Alzarri Joseph to Shivam Dube, byes, FOUR, my my that went at pace! Back of a length on middle, this was bowled at full-throttle, Shivam Dube backed away a little looking to run it down but it whistled past his visor, kept rising on Anuj Rawat and he tipped it over with his fingertips as he leapt looking to stop it, RCB cannot afford these"
16.5,1w,"Alzarri Joseph to Dube, 1 wide 1 wide Another wayward bouncer down leg. Called a wide again","Alzarri Joseph to Shivam Dube, wide, banged in short and going over the batter's head, that's both short deliveries allowed being wasted in wides"
16.4,4,"Alzarri Joseph to Dube, FOUR runs FOUR runs Oh, that's so neatly done by Dube. Back of a length ball on off. Dube stays leg side of the ball and just helps it past point. Used the pace of the ball much to his advantage","Alzarri Joseph to Shivam Dube, FOUR, expertly guided! RCB have telegraphed their intentions here, back of a length on off-stump, Shivam Dube hung back and stayed leg-side, let it come to him and just opened the face of the blade to steer it well to the left of third man"
16.4,4,"Alzarri Joseph to Dube, FOUR runs FOUR runs Oh, that's so neatly done by Dube. Back of a length ball on off. Dube stays leg side of the ball and just helps it past point. Used the pace of the ball much to his advantage","Alzarri Joseph to Shivam Dube, wide, RCB seem to be going a little overboard with the short stuff, Alzarri Joseph bangs it far too short, that was never even going to be close to Dube"
