ball,score,commentary
18.4,4lb,"Alzarri Joseph to Dube, 4 leg byes 4 leg byes That's that! CSK's winning run against RCB at Fort Chepauk continues. There is a review, but more in desperation, I think. Aims for the yorker that hits Dube's pad and goes to the fine leg fence. Ball tracker confirms the ball pitched outside leg. Ruturaj Gaikwad has made a winning start to his captaincy tenure. See all photos"
18.3,6,"Alzarri Joseph to Dube,  SIX runs SIX runs TONKED! There was some aggression from Dube on that six. Banged in short outside off. He unleashes the pull and sends the ball soaring over deep backward square leg."
18.2,•,"Alzarri Joseph to Dube, no run no run Banged in short now, good bumper this aiming at Dube's body. He is beaten for pace"
18.2,1w,"Alzarri Joseph to Dube, 1 wide 1 wide Goes fuller and down leg even as Dube was looking to back away. Called a wide."
18.1,1,"Alzarri Joseph to Jadeja,  1 run 1 run Back of a length ball on off, he pulls to deep midwicket"
17.6,•,"Siraj to Dube, no run no run Banged in short outside off, he misses the ramp again"
17.5,4,"Siraj to Dube, FOUR runs FOUR runs He gets another four to his name! Slower back of a length ball on off. He stands tall and flat-bats it over the bowler's head. Mid-off and mid-on were in"
17.4,•,"Siraj to Dube, no run no run Low full toss outside off, he whacks it to extra cover. No run there"
17.3,•,"Siraj to Dube, no run no run Banged in short outside off, he misses his ramp as the ball goes to the keeper."
17.2,4,"Siraj to Dube, FOUR runs FOUR runs Back of a length ball and he's found the gap to perfection. On leg stump, he gets across, and pulls it neatly in the gap between square leg and deep fine  leg"
17.1,•,"Siraj to Dube, no run no run Very high full toss, almost a waist-high no ball. It was on the stump and Dube can only bunt it to extra cover"
16.6,1,"Alzarri Joseph to Dube,  1 run 1 run Back of a length ball on off, he pushes it to long off for a run"
16.5,4b,"Alzarri Joseph to Dube, 4 byes 4 byes Beats the batter, beats the keeper and CSK collect four byes! That was banged in short at pace outside off. Dube looks for a ramp, misses as the ball hurries to Rawat who leaps with both hands up. The ball clips the tip of his fingers and runs away. Looks like he has hurt his fingers as well. Out comes the physio."
16.5,1w,"Alzarri Joseph to Dube, 1 wide 1 wide Another wayward bouncer down leg. Called a wide again"
16.4,4,"Alzarri Joseph to Dube, FOUR runs FOUR runs Oh, that's so neatly done by Dube. Back of a length ball on off. Dube stays leg side of the ball and just helps it past point. Used the pace of the ball much to his advantage"
16.4,1w,"Alzarri Joseph to Dube, 1 wide 1 wide Banged in short and again that is quite short outside. A wide is a result"
16.3,1,"Alzarri Joseph to Jadeja,  1 run 1 run Back of a length ball outside off, he pulls it to deep midwicket"
16.2,2,"Alzarri Joseph to Jadeja,  2 runs 2 runs Banged in short at pace hurrying Jadeja who mistimes his pull towards long on. But because he had completely miscued it, the bowler had to sprint across. They take two."
16.1,2,"Alzarri Joseph to Jadeja,  2 runs 2 runs Back of a length ball outside off, he thrashes it away to deep point. Some confusion and the result is an over-throw. What happened is a throw was fired from the deep who hit direct at the striker's end. Rawat, meanwhile feels there is a chance of a run out at the non-striker's end. He lobs the ball, misses and there is no one backing up"
15.6,1,"Green to Jadeja,  1 run 1 run Shimmies down the track and scythes the good length ball to deep cover"
15.5,1,"Green to Dube,  1 run 1 run Back of a length ball on the stumps. He is on the backfoot as he gets a thick inside-edge back onto the pad and close to the stumps. They pinch a single"
15.4,1,"Green to Jadeja,  1 run 1 run Shimmies down the track to the back of a length ball outside off and slaps it to deep point"
15.3,3,"Green to Dube,  3 runs 3 runs Nicely done. Banged in short outside off, he stays still and ramps it in the gap to the right of deep point. The fielder gets across and saves a run. Oh, hang on...was Dagar in contact with the ropes there? On first replay , it seemed that way. Wasn't checked though"
15.3,1w,"Green to Dube, 1 wide 1 wide Another bouncer but this one is too short. Called a wide. One bouncer for the over as well."
15.2,4,"Green to Dube, FOUR runs FOUR runs Finds the gap. Banged in short on the hips of Dube as he helps it and pierces the gap between deep backward square leg and fine leg."
15.1,1,"Green to Jadeja,  1 run 1 run Back of a length ball just outside off, he works it with soft hands to wide long-on but only for a run"
14.6,•,"Siraj to Dube, no run no run Slower short ball beats Dube all ends up. Was bowled at 131kph outside off. Dube is early into his pull with the ball going to Rawat on the bounce"
14.5,1,"Siraj to Jadeja,  1 run 1 run Another short ball on Jadeja's hips that he pulls to Maxwell once more. They are doing it well, for now"
