Over,Ball No.,Bowler,Batsman,Outcome,Runs,Length,Line,Shot Type,Position,Hit Type,Variation,Speed,Field Activity
19,6,green,hardik,6,6,Full,,Upper-cut,Backward-point,,,Pace,
19,5,green,hardik,6,6,Full,,Drive,Long-off,,,,
19,4,green,hardik,6,6,,,Pull,Midwicket,,,Slower,
19,3,green,hardik,2,2,Good,,Pull,,Top-edge,,,
19,2,green,hardik,•,0,,Wide,,Long-off,,,,
19,1,green,harshal,1,1,Full,,,Long-on,,,,
18,6,ellis,hardik,4,4,Short,,Cut,Deep-point,,,,
18,5,ellis,harshal,1,1,Short,,Pull-shot,Long-on,,,Slower,
18,4,ellis,hardik,1,1,Good,,,Off-side,,,,
18,3,ellis,harshal,1,1,,,,Long-on,,,Slower,
18,2,ellis,harshal,4,4,,Wide,Drive,Cover,,,,
18,1,ellis,karthik,W,0,Full,Leg-stump,,,,,,
17,6,cummins,hardik,2,2,,,Pull,Midwicket,,,Slower,Bowled
17,5,cummins,hardik,4,4,Full,,,Mid-off,,,,
17,4,cummins,karthik,1,1,,,,Deep-square,,,,
17,3,cummins,karthik,2,2,,,,Leg-side,,,,
17,2,cummins,hardik,1,1,Full,Wide,,Backward-point,,,,
17,1,cummins,hardik,6,6,,,,Square-leg,,,,
16,6,hazlewood,hardik,1,1,Good,,Pull,Midwicket,,,,
16,5,hazlewood,hardik,4,4,Full,,,,,,,
16,4,hazlewood,hardik,•,0,Yorker,,,,,,,
16,3,hazlewood,hardik,4,4,Full,Wide,Drive,Short-third-man,,,,
16,2,hazlewood,karthik,1,1,Good,,,Third-man,,,,
16,2,hazlewood,karthik,1,1,Good,Wide,,,,,,
16,2,hazlewood,karthik,1w,1,,Wide,,Third-man,,,,
16,2,hazlewood,karthik,1w,1,,Wide,,,,,,
16,1,hazlewood,hardik,1,1,,,,Midwicket,,,,
15,6,ellis,karthik,2,2,Full,,,Leg-side,,,,
15,5,ellis,axar patel,W,0,,Wide,,Long-off,,,Slower,Catch
15,4,ellis,hardik,1,1,Short,,,Short-third-man,,,Slower,
15,3,ellis,hardik,•,0,,,,,,,,
15,2,ellis,hardik,•,0,,,Drive,,,,Slower,Stop
15,1,ellis,hardik,4,4,Short,Wide,Drive,Short-third-man,,,,
14,6,cummins,hardik,1,1,Full,Wide,Drive,Backward-point,,,,
14,5,cummins,hardik,4,4,Short,,,Cover-point,,,Slower,
14,4,cummins,hardik,•,0,,Wide,,,,,,
