ball,score,commentary,second_commentary
19.6,1W,"Behrendorff to Ravi Bishnoi, 1 run, OUTvery full on middle and leg, hoicked away into the leg side. Bishnoi scampers back for the second and why not! But he's caught short on the second at the striker's end, despite a full-length dive. Caught well shortRavi Bishnoi run out (Philippe/†Wade) 4 (3b 0x4 0x6 5m) SR: 133.33","Behrendorff to Ravi Bishnoi, out Ravi Bishnoi Run Out!! 1 run completed. Full delivery at the stumps, Bishnoi flicks it straight to deep mid-wicket and decides to make the most of it, he goes for the second run and is caught well short of the crease. Philippe with the pick up and throw while Wade did the rest at the striker's end. Ravi Bishnoi run out (Philippe/Head) 4(3)"
19.6,1W,"Behrendorff to Ravi Bishnoi, 1 run, OUTvery full on middle and leg, hoicked away into the leg side. Bishnoi scampers back for the second and why not! But he's caught short on the second at the striker's end, despite a full-length dive. Caught well shortRavi Bishnoi run out (Philippe/†Wade) 4 (3b 0x4 0x6 5m) SR: 133.33","Behrendorff to Ravi Bishnoi, wide, Wade saves a few for his team. Horrible delivery from Behrendorff, way down leg and it needed a full dive from Wade to just parry the ball to short fine. Avesh wanted a single but Bishnoi sends him back"
19.6,1w,"Behrendorff to Ravi Bishnoi, 1 widevery full and veering down the leg side, wide called. Great stop from Wade behind the stumps","Behrendorff to Ravi Bishnoi, out Ravi Bishnoi Run Out!! 1 run completed. Full delivery at the stumps, Bishnoi flicks it straight to deep mid-wicket and decides to make the most of it, he goes for the second run and is caught well short of the crease. Philippe with the pick up and throw while Wade did the rest at the striker's end. Ravi Bishnoi run out (Philippe/Head) 4(3)"
19.6,1w,"Behrendorff to Ravi Bishnoi, 1 widevery full and veering down the leg side, wide called. Great stop from Wade behind the stumps","Behrendorff to Ravi Bishnoi, wide, Wade saves a few for his team. Horrible delivery from Behrendorff, way down leg and it needed a full dive from Wade to just parry the ball to short fine. Avesh wanted a single but Bishnoi sends him back"
19.5,2,"Behrendorff to Ravi Bishnoi,  2 runsback of a length and angling into middle, hoicked away to deep square, where Short, I think, takes it on the half-volley","Behrendorff to Ravi Bishnoi, 2 runs, angled in from round the wicket, Bishnoi pulls it towards deep square leg where McDermott takes it on the half volley, the batters go back for the second even though Bishnoi lost his bat at the non-striker's end and make it in comfortably"
19.4,1,"Behrendorff to Avesh Khan,  1 runanother pinpoint yorker, squirted out to mid-off","Behrendorff to Avesh Khan, 1 run, yorker around off, Avesh digs it towards cover and gets off strike"
19.3,W,"Behrendorff to Chahar, OUTslower ball, 111ks, on a length and outside off, Chahar winds up for a big hit but can't clear the man at long-on. Green, the debutant, slides on his knees and grabs itDeepak Chahar c Green b Behrendorff 0 (2b 0x4 0x6 5m) SR: 0","Behrendorff to Chahar, out Caught by Chris Green!! Another batter bites the dust looking for quick runs. India have lost 4 wickets in the last 9 balls. This was in the slot but since it was the slower ball, Chahar could not generate power on his heave, mistimes it towards long-on and Green runs in to take an easy catch. Chahar c Chris Green b Behrendorff 0(2)"
19.2,1,"Behrendorff to Ravi Bishnoi,  1 runfull-toss on middle, slogged away to deep midwicket","Behrendorff to Ravi Bishnoi, 1 run, full toss around leg, Bishnoi mistimes the heave to deep mid-wicket"
19.1,W,"Behrendorff to Rinku Singh, OUTyorker from Benrendroff. He gets it to tail in from left-arm over the wicket and has Rinku falling over slightly. Pinged on the back pad. No bat involved. Given out lbw. Rinku has asked for a review. It would've just clipped leg stump, enough for umpire Madanagopal's on-field out call to be upheld. No fifty for RinkuRinku Singh lbw b Behrendorff 46 (29b 4x4 2x6 50m) SR: 158.62See all photos","Behrendorff to Rinku Singh, out Lbw!! That looked more out on first instance than it did on ball-tracker. Rinku departs but does not waste a review. India losing their way a bit towards the end. This was the yorker from Behrendorff and Rinku fails to get his bat down to keep it out, struck low on the pad and right in front of the stumps, ball-tracking showed it to be just brushing leg-stump. Rinku is disappointed but has to walk back. Rinku Singh lbw b Behrendorff 46(29) [4s-4 6s-2]"
18.6,•,"Dwarshuis to Chahar, no runback of a length and skidding away outside off, Chahar is beaten on the outside edge","Dwarshuis to Chahar, no run, excellent over from Dwarshuis, 7 runs and 2 wickets. Back of a length delivery angled across, Chahar has a tentative poke and is beaten on the outside edge. He was looking to steer it to third man"
