ball,score,commentary,second_commentary
7.2,4,"Sams to Karthik, FOUR runsnailed forward of square! India level the series 1-1! Short slower ball, he hammered a pull shot and found the gapSee all photos","Daniel Sams to Karthik, FOUR, short and into the pitch, DK pulls, deep mid-wicket can't get around and India level the series 1-1. The capacity crowd hung in there and got their moneys worth. What an atmosphere in Nagpur"
7.1,6,"Sams to Karthik,  SIX runshoicked over wide fine leg! Slower ball but it was drifting down leg and DK swings it away with the angle over the fenceSee all photos","Daniel Sams to Karthik, SIX, the finisher! The reason why they back him. Slower delivery on the pads, DK gets inside the line and smacks this over backward square leg. Thank you very much shot from DK"
6.6,4,"Cummins to Rohit Sharma, FOUR runsclassy cut shot! Sat and waited for the wide slower ball and placed it with pure timing backward of point","Cummins to Rohit, FOUR, what timing! Length delivery outside off stump, Ro stays leg-side of the ball and just guides it, but it rockets past backward point for four as if he smashed that hard. This hit swings it India's way again"
6.6,4,"Cummins to Rohit Sharma, FOUR runsclassy cut shot! Sat and waited for the wide slower ball and placed it with pure timing backward of point","Cummins to Rohit, wide, slower delivery wide of off stump, Ro knows he can ill afford to make this a dot and swings hard, too wide"
6.6,1w,"Cummins to Rohit Sharma, 1 wideswing and miss but it's wide of off and called! That was too wide","Cummins to Rohit, FOUR, what timing! Length delivery outside off stump, Ro stays leg-side of the ball and just guides it, but it rockets past backward point for four as if he smashed that hard. This hit swings it India's way again"
6.6,1w,"Cummins to Rohit Sharma, 1 wideswing and miss but it's wide of off and called! That was too wide","Cummins to Rohit, wide, slower delivery wide of off stump, Ro knows he can ill afford to make this a dot and swings hard, too wide"
6.5,W,"Cummins to Hardik, OUTskied straight up and Finch takes it! Short slower ball works this time. Hardik was waiting trying to launch over straight long on, he sliced a thick outside edge high to cover and Finch runs from point to take a good catch.Hardik Pandya c Finch b Cummins 9 (9b 1x4 0x6) SR: 100See all photos","Cummins to Hardik Pandya, out Caught by Finch!! Key ball this. Cummins bowls short into the wicket, Hardik could have played along the ground to ease this game, but he goes across and goes hard for a big hit over the leg-side, slices it high for extra-cover to complete a pressure catch. Tell you what, if Cummins manages to close with a dot, India will feel the pressure. Hardik Pandya c Finch b Cummins 9(9) [4s-1]"
6.4,•,"Cummins to Hardik, no runfull wide yorker right on the guide line. Hardik can't make contact and the umpire is happy it wasn't a wide","Cummins to Hardik Pandya, no run, almost a wide, Pandya swings and misses. Tight call that from the ump"
6.3,2,"Cummins to Hardik,  2 runssliced in the air off a thick outside edge but it lands safe forward of deep point for two","Cummins to Hardik Pandya, 2 runs, moves across and tries to launch it over the ropes, slices it high but it clears the man running back from the ring, lands in front of deep point"
6.2,4,"Cummins to Hardik, FOUR runscarved over cover! Sitting so deep, he's offered width and length, at a slow pace and he nails it over cover","Cummins to Hardik Pandya, FOUR, yep, the field gives it away easily and Hardik waited for this slower delivery outside off stump. Thumped it off the back foot over deep cover"
