ball,score,commentary,second_commentary
19.6,4,"Maxwell to Gaikwad, FOUR runsa 30-run over! Slogged to deep midwicket, and there's a chance of a catch, but the ball falls just short of the fielding running in, and squirts behind him for four more. Gaikwad unbeaten on 123, India finish on 222","Maxwell to Gaikwad, FOUR, India finish with 222/3 in 20 overs! Gaikwad spanks this over deep mid-wicket and the fielder sprinting across only manages to get his hands to it, can't grab the ball though and India finish on a high"
19.5,6,"Maxwell to Gaikwad,  SIX runsshort ball on middle and off. Gaikwad stays in his crease and pummels a six over wide long on!","Maxwell to Gaikwad, SIX, stays put and clubs this floated delivery over long-on for six more. Maxwell has no answers to this onslaught by Gaikwad"
19.4,6,"Maxwell to Gaikwad,  SIX runspumped! Full ball, Gaikwad gives him the charge, and then sends the six over long on!","Maxwell to Gaikwad, SIX, shimmies down the wicket and smokes this floated delivery over long-on for a maximum more. Insane hitting"
19.4,6,"Maxwell to Gaikwad,  SIX runspumped! Full ball, Gaikwad gives him the charge, and then sends the six over long on!","Maxwell to Gaikwad, wide, fired down the leg-side, it's a wide ball"
19.4,1w,"Maxwell to Gaikwad, 1 widefull ball around leg. Attempts the sweep, misses. Wade not happy. Was there some touch?","Maxwell to Gaikwad, SIX, shimmies down the wicket and smokes this floated delivery over long-on for a maximum more. Insane hitting"
19.4,1w,"Maxwell to Gaikwad, 1 widefull ball around leg. Attempts the sweep, misses. Wade not happy. Was there some touch?","Maxwell to Gaikwad, wide, fired down the leg-side, it's a wide ball"
19.3,1,"Maxwell to Tilak Varma,  1 runoff the pad to the leg side for one","Maxwell to Tilak Varma, 1 run, off an inside edge and off the pads towards the leg-side"
19.2,1,"Maxwell to Gaikwad,  1 runstruck to deep midwicket","Maxwell to Gaikwad, 1 run, into the slot and Gaikwad has heaved this towards deep mid-wicket on the bounce"
19.2,1,"Maxwell to Gaikwad,  1 runstruck to deep midwicket","Maxwell to Gaikwad, no ball, FOUR, smashes this floated delivery right over the bowler's head and manages to beat long-off, but Maxwell has overstepped. Free-hit coming up!"
19.2,5nb,"Maxwell to Gaikwad, (no ball) FOUR runshe's overstepped too!","Maxwell to Gaikwad, 1 run, into the slot and Gaikwad has heaved this towards deep mid-wicket on the bounce"
19.2,5nb,"Maxwell to Gaikwad, (no ball) FOUR runshe's overstepped too!","Maxwell to Gaikwad, no ball, FOUR, smashes this floated delivery right over the bowler's head and manages to beat long-off, but Maxwell has overstepped. Free-hit coming up!"
19.1,6,"Maxwell to Gaikwad,  SIX runsthere's the hundred! Fullish ball. Steps forward and then muscles a shot over wide long on! That's hundred in 52 balls. Crazy accelerationSee all photos","Maxwell to Gaikwad, SIX, maiden T20I century for Gaikwad! What a special moment as he takes off the helmet and celebrates it in style. Has a wide smile on his face too. Brings it up with a maximum over deep mid-wicket and Tilak walks up to him and congratulates him. Not for the first time have we seen him play such a knock. Has done this on several previous occasions in India's domestic circuit and in the Indian Premier League.."
18.6,2,"Ellis to Tilak Varma,  2 runsshort ball. He moves to the off side and plays a paddle over his shoulder past Wade for a couple","Nathan Ellis to Tilak Varma, 2 runs, slashed over cover as it's a widish delivery, but it lands just in front of the fielder who was charging in from the deep"
18.5,4,"Ellis to Tilak Varma, FOUR runsshort ball. Waits for it, then pulls behind square, and its one-bounce four!","Nathan Ellis to Tilak Varma, FOUR, runs coming thick and fast from both the ends! A short ball by Nathan Ellis and Tilak Varma swivel-pulls this towards deep square leg as the ball almost goes the distance"
18.4,2,"Ellis to Tilak Varma,  2 runsshort of length ball on middle. Tilak spots the slower ball and paddles it over Wade's head","Nathan Ellis to Tilak Varma, 2 runs, scoops this short ball over the keeper's head for a couple of runs. Couldn't really middle it as there wasn't much pace on offer"
18.3,•,"Ellis to Tilak Varma, no runshort ball, attempts the pull. Misses it after losing his shape","Nathan Ellis to Tilak Varma, no run, slower bouncer outside off, Tilak Varma swings and misses, got deceived due to the lack of pace"
18.2,1,"Ellis to Gaikwad,  1 runfull ball just outside off. Guided to deep backward point","Nathan Ellis to Gaikwad, 1 run, opens the bat face and slices this towards backward point for one"
18.1,1,"Ellis to Tilak Varma,  1 runfull ball on middle. Can't get underneath it very well. Hit to wide long on","Nathan Ellis to Tilak Varma, 1 run, good field placement as Tilak Varma whips it towards deep mid-wicket, nothing more than a single though"
18.1,1,"Ellis to Tilak Varma,  1 runfull ball on middle. Can't get underneath it very well. Hit to wide long on","Nathan Ellis to Tilak Varma, wide, fired outside off, Tilak Varma can't reach for it, back-to-back wides"
18.1,1,"Ellis to Tilak Varma,  1 runfull ball on middle. Can't get underneath it very well. Hit to wide long on","Nathan Ellis to Tilak Varma, wide, starts off with a wide, goes slow, but misses the tramline outside off"
18.1,1w,"Ellis to Tilak Varma, 1 widefull and wide again. They collect the extra again","Nathan Ellis to Tilak Varma, 1 run, good field placement as Tilak Varma whips it towards deep mid-wicket, nothing more than a single though"
18.1,1w,"Ellis to Tilak Varma, 1 widefull and wide again. They collect the extra again","Nathan Ellis to Tilak Varma, wide, fired outside off, Tilak Varma can't reach for it, back-to-back wides"
18.1,1w,"Ellis to Tilak Varma, 1 widefull and wide again. They collect the extra again","Nathan Ellis to Tilak Varma, wide, starts off with a wide, goes slow, but misses the tramline outside off"
18.1,1w,"Ellis to Tilak Varma, 1 widefull and wide outside off. Left alone. That's the hundred partnership with Tilak's contribution 21","Nathan Ellis to Tilak Varma, 1 run, good field placement as Tilak Varma whips it towards deep mid-wicket, nothing more than a single though"
