ball,score,commentary,second_commentary
19.6,1,"Nitish Kumar to Tanzim Hasan Sakib,  1 runfull and wide outside off. Dragged to wide long on for one and India win by 133 runs and claim the series 3-0!","Nitish Reddy to Tanzim Hasan Sakib, 1 run, pace off, full and outside off, Sakib jams it to long-on. India whitewash Bangladesh with this 133-run win"
19.5,1,"Nitish Kumar to Towhid Hridoy,  1 runsearches for the yorker, ends up as a low full toss. Hridoy wants to hit it down the ground but toe-ends the shot. Chance of a catch, or atleast a half chance, as Riyan runs forward from long on to take a tough one. But the ball just evades him","Nitish Reddy to Towhid Hridoy, 1 run, low full toss, Hridoy miscues the loft as it comes off the toe-end of the bat. Parag charges in from long-on and dives forward. Not sure if it carried. Excellent effort though and even Nitish applauds"
19.4,•,"Nitish Kumar to Towhid Hridoy, no runlength ball on off but pace off. Angling into the batter. He tries to scoop it over short fine leg but misses. Ball hits him on the finger. Tries to shake it off","Nitish Reddy to Towhid Hridoy, no run, 112.7kph, off-cutter, Hridoy shapes to club it over midwicket, misses and gets hit on the body"
19.3,1,"Nitish Kumar to Tanzim Hasan Sakib,  1 runfull ball around off. Clears the front leg and hammers a shot to wide long on","Nitish Reddy to Tanzim Hasan Sakib, 1 run, 131.1kph, pitched up, drilled to long-on"
19.2,1,"Nitish Kumar to Towhid Hridoy,  1 runback of a length ball outside off. Pulls across the line, and Tanzim wants two, but he's sent back by Hridoy. Good call because Bishnoi's throw from the deep could've been a run-out at the keeper's end","Nitish Reddy to Towhid Hridoy, 1 run, cutter into the deck, pulled to deep midwicket and the batters decide against the second"
19.1,4,"Nitish Kumar to Towhid Hridoy, FOUR runsshort and wide. Towhid waits for it to get to him before cutting it expertly over cover point for an easy boundary","Nitish Reddy to Towhid Hridoy, FOUR, slow, short and wide of off, Towhid Hridoy slaps it over point. Easy pickings as there was no fielder in the deep on the off-side"
18.6,1,"Yadav to Towhid Hridoy,  1 runfull ball outside off. Cut to point and they scurry for one, but Tanzim is in trouble! Direct hit from Tilak at point but luckily for Bangladesh, Tanzim had made it in","Mayank Yadav to Towhid Hridoy, 1 run, 109.6kph, slower ball, chopped to short third man off the under-edge. There's a direct-hit at the keeper's end and the Indians are excited. The TV umpire is summoned and Sakib is in"
18.5,1,"Yadav to Tanzim Hasan Sakib,  1 runslower ball gone wrong, ends up as high full toss outside off. Tanzim tries to cut it over the off side, but slices it instead to short third","Mayank Yadav to Tanzim Hasan Sakib, 1 run, high full toss, Sakib swings across the line an outside-edges to third man"
18.4,•,"Yadav to Tanzim Hasan Sakib, no runshort ball around middle. Tanzim makes room again, exposing his stumps, before trying to swat it over the leg side. No connection again","Mayank Yadav to Tanzim Hasan Sakib, no run, bouncer, another swing and miss from Sakib"
18.3,•,"Yadav to Tanzim Hasan Sakib, no runas expected. Short ball on middle. Tanzim backs away and tries to hammer him over the leg side. But zero contact. Through to Samson","Mayank Yadav to Tanzim Hasan Sakib, no run, Mayank responds with a short ball, Sakib swings wildly and misses"
