ball,score,commentary
19.2,W,"Parag to Madushanka, OUTParag closes it out with a double-strike. He pumps his fist and celebrates. Back-of-the-hand variation from Parag. Seems like the wrong'un. Madushanka swings for the hills and misses. Parag hits leg stump and finishes with 3 for 5. Positive signs for India. SL have lost 9 for 30. Wouldja believe it?Dilshan Madushanka b Parag 0 (1b 0x4 0x6 1m) SR: 0See all photos"
19.1,W,"Parag to Theekshana, OUTParag helps himself to another wicket. Theekshana backs a long way outside leg. Parag follows him with a yorker. Theekshana jams his bat down and edges it back onto his own stumps. India are closing in on a 1-0 leadMaheesh Theekshana b Parag 2 (5b 0x4 0x6 14m) SR: 40"
18.6,â€¢,"Siraj to Asitha Fernando, no runmighty full on middle, Asitha backs away and jabs it down to mid-off"
18.5,W,"Siraj to Pathirana, OUTon a length and slanting into off stump, looped into the lap of mid-on. Pathirana doesn't have enough power or elevation to clear AxarMatheesha Pathirana c Patel b Mohammed Siraj 6 (7b 0x4 0x6 8m) SR: 85.71"
18.4,4,"Siraj to Pathirana,  4 runsPathirana gets a taste of his own medicine. Searing yorker, swinging into middle and leg, inside-edged onto the pad. Theekshana wants a single. Siraj has a shy at the non-striker's end and misses. The ball bursts out of SKY's hands and rolls into the boundary"
18.3,1,"Siraj to Theekshana,  1 runhacked away to deep midwicket off the inner half"
18.2,1,"Siraj to Pathirana,  1 runfull and on off, smeared to mid-off"
18.1,â€¢,"Siraj to Pathirana, no runwide yorker, play and a miss from Pathirana"
17.6,â€¢,"Arshdeep Singh to Theekshana, no runoff-stump yorker, slanting in from round the stumps, jammed back to Arshdeep"
17.5,â€¢,"Arshdeep Singh to Theekshana, no runbouncer, angling across off, Theekshana rocks his head out of the way"
17.4,1,"Arshdeep Singh to Pathirana,  1 runshort, angling into leg stump and ducking away. Pathirana hops and plinks it to cover"
17.3,â€¢,"Arshdeep Singh to Pathirana, no runslower cutter outside off, beats him on the outside edge once again"
17.2,â€¢,"Arshdeep Singh to Pathirana, no runfull and slanting away outside off, beats the outside edge"
17.1,W,"Arshdeep Singh to Hasaranga, OUTjust short of a good length and slanting away outside off. Hasaranga has to fetch it from a wide line. He can only drag it to Parag moving to his right from mid-onWanindu Hasaranga c Parag b Arshdeep Singh 2 (3b 0x4 0x6 5m) SR: 66.66"
16.6,1,"Parag to Hasaranga,  1 runtossed up and outside off, smeared away to the off-side sweeper on the front foot"
16.5,1,"Parag to Theekshana,  1 runflat and quick on middle and leg, weakly slog-swept away to deep midwicket"
16.4,W,"Parag to Kamindu Mendis, OUTParag castles Mendis and lets out a big roar! Shortish and angling into middle from around the wicket, then turns away from Mendis. He slashes and misses. Parag hits the top of off stump for his first international wicketKamindu Mendis b Parag 12 (8b 2x4 0x6 15m) SR: 150"
16.3,â€¢,"Parag to Kamindu Mendis, no runshort and turns away outside off with some extra bounce. Mendis slashes and misses"
16.2,1,"Parag to Hasaranga,  1 runangling into leg stump and drifts away, Hasaranga is squared up as he ekes out an outside edge past the keeper"
16.1,2W,"Parag to Kamindu Mendis, 2 runs, OUTpushed through on middle, Mendis tickles a reverse-sweep past Pant. Siraj chases hard, slides, and swiftly throws it to Pant who gathers the ball and takes the bails off. Shanka dishes out a full-length dive, but is still caught short. Terrific work from Siraj. Shanka has been caught short on the third. He has been run-out without facing a deliveryDasun Shanaka run out (Mohammed Siraj/â€ Pant) 0 (0b 0x4 0x6 1m) SR: 0"
15.6,W,"Ravi Bishnoi to Asalanka, OUTBishnoi has Asalanka caught at deep square leg. Pushed through flat and quick on off, think this was the wrong'un too. Asalanka shapes for a slog-sweep and top-edges it to Jaiswal. The SL captain is gone for a duckCharith Asalanka c Jaiswal b Ravi Bishnoi 0 (2b 0x4 0x6 7m) SR: 0"
15.5,â€¢,"Ravi Bishnoi to Asalanka, no runslower wrong'un, good length and curves away outside off, quietly played back to Bishnoi on the back foot"
15.4,1,"Ravi Bishnoi to Kamindu Mendis,  1 runhacks at this googly and sends this to deep midwicket from wide of off"
15.3,4,"Ravi Bishnoi to Kamindu Mendis, FOUR runsmanufactures swinging room and crunnnnnnnnnches it through extra-cover. Places it to the right of that infielder"
15.2,4,"Ravi Bishnoi to Kamindu Mendis, FOUR runsMendis was anticipating this googly, she gets into position for a reverse-sweep and lifts it over short third"
15.1,â€¢,"Ravi Bishnoi to Kamindu Mendis, no runBishnoi drops it off his own bowling this time. Flat and quick into the pitch and leaves Mendis. Another googly, Bishnoi stretches out his right hand but the ball pops out. Bishnoi goes down as well. The ball bounces into the ground and then into his face. Bishnoi writhing in pain, resulting in a break in play at Pallekele. Talking about adding injury to insult. There's a cut under his eye. Bishnoi is now having his face taped up.See all photos"
14.6,W,"Axar Patel to Perera, OUTHoles out to deep square this time. Bishnoi holds onto this catch in the outfield. Axar slows this up on off stump and finds a bit of extra bounce to mess with KJP's sweep. He can only splice it to Bishnoi. Both set batters gone in the same overKusal Perera c Ravi Bishnoi b Patel 20 (14b 3x4 0x6 33m) SR: 142.85See all photos"
14.5,4,"Axar Patel to Perera, FOUR runshoicked away to the midwicket boundary. Axar fires a half-tracker outside off, duly put away"
14.4,â€¢,"Axar Patel to Perera, no runshorter and darted across off, KJP flashes and only meets with thin air"
14.3,4,"Axar Patel to Perera, FOUR runsreverse-swept successfully over short third. Pushed through outside off, excellent execution from KJP"
14.2,1,"Axar Patel to Kamindu Mendis,  1 runshuffles across and scoops to fine leg"
14.1,W,"Axar Patel to Nissanka, OUTfizzing arm ball from Axar. Keeps veering in from wide of the crease and cramps Nissanka for room. He chops hastily and watches the ball cannon into leg stump. End of a fine innings from Nissanka, though. Finally some respite for IndiaPathum Nissanka b Patel 79 (48b 7x4 4x6 69m) SR: 164.58"
13.6,1,"Hardik to Nissanka,  1 runOh my, what have you done, Bishnoi? He has dropped it at deep midwicket. Hip-high short ball, angling into off stump, pulled flat and hard. Bishnoi should've taken this but the ball bursts out of his hands. Is this the game?"
